abbreviation	full name	smiles
3-chlorophenylalanine	3-chlorophenylalanine	
4-acetamidopyrrole-2-carboxylic acid	4-acetamidopyrrole-2-carboxylic acid	
glutamic acid	glutamic acid	
N5-hydroxyornithine	N5-hydroxyornithine	
4R-methylproline	4R-methylproline	
2,4-diaminobutyric acid	2,4-diaminobutyric acid	
2-fluorophenylalanine	2-fluorophenylalanine	
4-methoxytryptophan	4-methoxytryptophan	
3-hydroxy-O-methyltyrosine	3-hydroxy-O-methyltyrosine	
D-pipecolic acid	D-pipecolic acid	
N-formylglycine	N-formylglycine	
arginine	arginine	
(E)-4-methylhex-2-enoic acid	(E)-4-methylhex-2-enoic acid	
2-hydroxy-4-methylpentanoic acid	2-hydroxy-4-methylpentanoic acid	
S-beta-hydroxyphenylalanine	S-beta-hydroxyphenylalanine	
3-chlorotyrosine	3-chlorotyrosine	
4-hydroxyindole-3-carboxylic acid	4-hydroxyindole-3-carboxylic acid	
3-aminoisobutyric acid	3-aminoisobutyric acid	
homoleucine	homoleucine	
3-chloro-N-methylalanine	3-chloro-N-methylalanine	
N5-acetyl-N5-hydroxyornithine	N5-acetyl-N5-hydroxyornithine	
N5-cis-anhydromevalonyl-N5-hydroxyornithine	N5-cis-anhydromevalonyl-N5-hydroxyornithine	
2,4-dihydroxypentanoic acid	2,4-dihydroxypentanoic acid	
6S-methyl-pipecolic acid	6S-methyl-pipecolic acid	
homophenylalanine	homophenylalanine	
3-hydroxyleucine	3-hydroxyleucine	
4-oxoproline	4-oxoproline	
2-chlorophenylalanine	2-chlorophenylalanine	
alanine	alanine	
2-amino-3,5-dimethyl-4-hexenoic Acid	2-amino-3,5-dimethyl-4-hexenoic Acid	
N5-formyl-N5-hydroxyornithine	N5-formyl-N5-hydroxyornithine	
threonine	threonine	
2-(1-methylcyclopropyl)-D-glycine	2-(1-methylcyclopropyl)-D-glycine	
3-hydroxyquinaldic acid	3-hydroxyquinaldic acid	
3S-hydroxyproline	3S-hydroxyproline	
pentanoic acid	pentanoic acid	
benzoxazolinate	benzoxazolinate	
N-methylserine	N-methylserine	
graminine	graminine	
3-hydroxykynurenine	3-hydroxykynurenine	
piperazic acid	piperazic acid	
5-aminolevulinic acid	5-aminolevulinic acid	
p-hydroxymandelate	p-hydroxymandelate	
5R-hydroxy-2S-aminopentanoic acid	5R-hydroxy-2S-aminopentanoic acid	
(S,E)-2-amino-4-decenoic acid	(S,E)-2-amino-4-decenoic acid	
D-phenyllactic acid	D-phenyllactic acid	
asparagine	asparagine	
butyric acid	butyric acid	
2-aminoisobutyric acid	2-aminoisobutyric acid	
betaine	betaine	
2-aminobutyric acid	2-aminobutyric acid	
5,5-dimethylpipecolic acid	5,5-dimethylpipecolic acid	
malic acid	malic acid	
2-carboxy-6-hydroxyoctahydroindole	2-carboxy-6-hydroxyoctahydroindole	
valine	valine	
4,5-dihydroxyornithine	4,5-dihydroxyornithine	
4S-methylazetidine-2S-carboxylic acid	4S-methylazetidine-2S-carboxylic acid	
6-chloro-4-hydroxy-1-methyl-indole-3-carboxylic acid	6-chloro-4-hydroxy-1-methyl-indole-3-carboxylic acid	
4-methylproline	4-methylproline	
4-hydroxyglutamine	4-hydroxyglutamine	
3S-hydroxy-4S-methylproline	3S-hydroxy-4S-methylproline	
succinic semialdehyde	succinic semialdehyde	
2-amino-6-hydroxy-4-methyl-8-oxodecanoic acid	2-amino-6-hydroxy-4-methyl-8-oxodecanoic acid	
4-hydroxyproline	4-hydroxyproline	
phenylpyruvic acid	phenylpyruvic acid	
N5-nitroso-N5-hydroxyornithine	graminine	
2-ketoisocaproic acid	2-ketoisocaproic acid	
3S-methylproline	3S-methylproline	
lysine	lysine	
R-beta-methyltryptophan	R-beta-methyltryptophan	
2,3-diamino-3-methylpropanoic acid	2,3-diamino-3-methylpropanoic acid	
3-methylasparagine	3-methylasparagine	
An acid hydrazine polyene (intermediate 14)	An acid hydrazine polyene (intermediate 14)	
3-hydroxy-O-methyl-5-methyltyrosine	3-hydroxy-O-methyl-5-methyltyrosine	
aspartic acid	aspartic acid	
