abbreviation	full name	smiles
Tryptophan	tryptophan	
3-methyltyrosine	beta-methyltyrosine	CC(C1=CC=C(C=C1)O)[C@@H](C(=O)O)N
4-butenyl-4-methyl threonine	4R-E-butenyl-4R-methylthreonine	
Alaninol	alaninol	
norcoronamic acid	norcoronamic acid	
Ornithine	ornithine	
Threonine	threonine	
allo-Threonine	allo-threonine	
D-lysergic acid	D-lysergic acid	CN1C[C@@H](C=C2C1CC3=CNC4=CC=CC2=C34)C(=O)O
Leucine	leucine	
2,4-diaminobutyric acid	2,4-diaminobutyric acid	
dehydrobutyrine	Z-dehydroaminobutyric acid	C/C=C(/C(=O)O)\N
L-piperazic acid	piperazic acid	
2-Methylserine	2-methylserine	
3-Hydroxyglutamine	3-hydroxyglutamine	
4,5-Dihydroxyornithine	4,5-dihydroxyornithine	
2,3-diamino-3-methyl-propanoic acid	2,3-diamino-3-methylpropanoic acid	
Phenylalanine	phenylalanine	
Cysteine	cysteine	
isovaline	isovaline	NC(CC)(C)C(=O)O
Asparagine	asparagine	
Lysine	lysine	
4-methylproline	4-methylproline	
kynurenine	kynurenine	
Methionine	methionine	
dehydrotyrosine	Z-dehydrotyrosine	C1=CC(=CC=C1/C=C(/C(=O)O)\N)O
2-hydroxyisovalerate	2R-hydroxyisovaleric acid	
Dehydrobutyrine	Z-dehydroaminobutyric acid	C/C=C(/C(=O)O)\N
2-Aminobutyric acid	2-aminobutyric acid	
Histidine	histidine	
2-methyl-beta-alanine	3R-methylbeta-alanine	
phenylglycine	phenylglycine	
Glycine	glycine	
(R)beta-tyrosine	R-beta-tyrosine	
Homotyrosine	homotyrosine	
3-(3-Pyridyl)-Alanine	3-(3-pyridyl)-alanine	
2,3-dihydroxybenzoic acid	2,3-dihydroxybenzoic acid	
Serine	serine	
Glutamine	glutamine	
D-Alanine	D-alanine	
Valine	valine	
Proline	proline	
alpha-ketoisocaproic acid	2-ketoisocaproic acid	
Aspartic Acid	aspartic acid	
N-acetylphenylalanine	N-acetylphenylalanine	CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O
valinol	valinol	CC(C)[C@@H](CO)N
3-[(1R,2R)-2-Nitrocyclopropyl]-L-alanine	3-(2-nitrocyclopropylalanine)	
Alanine	alanine	
Glycocyamine	guanidinoacetic acid	
Homoserine	homoserine	
alpha-ketoisovaleric acid	2-ketoisovaleric acid	
salicylic acid	salicylic acid	
beta-lysine	beta-lysine	
4-Hydroxyvaline	3-hydroxyvaline	
phenylacetic acid	phenylacetic acid	C1=CC=C(C=C1)CC(=O)O
Glycolic acid	glycolic acid	
4,5-dehydroarginine	4,5-dehydroarginine	
3-hydroxy-4-O-methyl-5-methyl-tyrosine	3-hydroxy-O-methyl-5-methyltyrosine	
HydroxyPhenylGlycine	4-hydroxyphenylglycine	
Pipecolic acid	pipecolic acid	
4,5-Dihydroxyhomotyrosine	3S,4S-dihydroxyhomotyrosine	
3-aminopropanimidamide	3-aminopropanimidamide	C(CN)C(=N)N
Beta-hydroxycyclohex-2-enylalanine	3S-cyclohex-2-enylalanine	
2-Aminoadipic acid	2-aminoadipic acid	
Glutamic Acid	glutamic acid	
2-Amino-9,10-epoxy-8-oxodecanoic acid	2S-amino-9,10-epoxy-8-oxodecanoic acid	
4-Hydroxyindole-3-carboxylic acid	4-hydroxyindole-3-carboxylic acid	
3,5-dihydroxyphenylglycine	3,5-dihydroxyphenylglycine	
beta-Alanine	beta-alanine	
Tyrosine	tyrosine	
hydrocinnamic acid	hydrocinnamic acid	
(2S,3R)-2-amino-3-hydroxy-4-(4-nitrophenyl)butanoate	(2S,3R)-2-amino-3-hydroxy-4-(4-nitrophenyl)butanoic acid	
cysteic acid	cysteic acid	
Arginine	arginine	
Isoleucine	isoleucine	
