protein_id	domain	kingdom	phylum	class	order	family	genus	species	strain
A05163	Eukaryota	Metazoa	Chordata	Craniata	Perciformes	Cottidae	Myoxocephalus	Myoxocephalus scorpius	Unknown
A0FCL0	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces violaceusniger	Unknown
A45086	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris zeicola	Unknown
A6P624	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa	K-139
A8BB73	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Lysobacter	Lysobacter enzymogenes	C3
A8KCJ2	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Caldimonas	Caldimonas brevitalea	DSM 7029
AAA03914.1	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus nidulans	Unknown
AAA25234.1	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus casei	Unknown
AAA27636.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica	Ye 8081
AAA33023.2	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris zeicola	SB111
AAA34747.1	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	S288C
AAA63415.1	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium chrysogenum	ASP-78
AAA92015.1	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	Unknown
AAA93464.1|Q56950	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pestis	Unknown
AAB00093.1|Q45563	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	Unknown
AAB39900.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces clavuligerus	Unknown
AAB60198.1|Q51338	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	Unknown
AAB80955.2|O30980	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	Unknown
AAB80956.1|O30981	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	Unknown
AAB93493.1	Eukaryota	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis	Unknown
AAC05774.1|Q53526.4	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans UA159	Unknown
AAC06346.1	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	ATCC 10716
