domain	clade
CAJ46692.1.A1	0
ATO51563.1.A4	1
AGA37267.1.A2	2
AGA37269.1.A2	2
ctg16_307.A2	2
CAD55498.1.A2|Q8CJX2.A2	3
ALV82388.1.A2	3
QXJ21808.1.A3	4
CAB38518.1.A3|Q9Z4X6.A3	5
ALV82356.1.A3	5
AAT12283.1.A2	6
AFO85453.1.A2	6
BAE98162.1.A1	7
AET98916.1.A1	7
BAI63283.1.A1	7
BAH04173.1.A1	7
AHF21228.1.A5	8
WP_043882190.1.A1	8
WP_129549303.1.A5	8
EAL89049.1.A2	9
ADY16697.1.A2	9
CAP96445.1.A1	10
EAQ93004.1.A1|XP_001220460.1.A1	11
chaP_not_in_genbank.A2	12
AGZ03651.1.A2	13
BAW32323.1.A2	14
BBB04327.1.A1	15
XP_020057667.1.A1	15
CAD92852.1.A3	16
CAD92851.1.A5	17
CAE15497.1.A5	18
CAD92851.1.A3	19
CAD92852.1.A1	19
AHB82071.1.A2	20
AHB82058.1.A2	21
DAD54576.1.A1	22
AAX31557.1.A1|Q50E74.A1	23
AHH53506.1.A1	23
BAW32333.1.A2	24
EAL92291.2.A1	25
ATY37608.1.A3	26
ATY37608.1.A8	26
CCB53264.1.A2	27
XP_002379984.1.A1	28
A8M6W3.A1|ABW00331.1.A1	29
AAK81824.1.A2|Q93N89.A2	30
WP_126900393.1.A2	30
AZM57022.1.A3	30
MCC5036783.1.A1	30
AQZ71347.1.A1	30
RSO11556.1.A2	30
WP_125938383.1.A1	30
AEP18655.1.A3	31
BAV56271.1.A3	32
QWM97320.1.A3	32
WP_234859472.1.A2	32
Ga0173608_112053.A1	33
Ga0173608_111990.A6	33
Ga0173608_111989.A4	33
EAU39346.1.A1	34
AAZ23075.1.A1|Q45R85.A1	35
A8KNE2.A1|CAO91861.1.A1	36
AFA26384.1.A1|BAI43678.1.A1	37
B6F209.A1	37
AJW76711.1.A1	38
AGC83576.1.A2	39
ADM34138.1.A2	40
EAU29302.1.A2	41
AFI_55290.A2	41
OJJ96433.1.A1	42
AEA30273.1.A4	43
WP_015507663.1.A1	44
QBG38784.1.A3	44
CBZ42146.1.A3	45
