domain	clade
CBG75492.1.A1	0
WP_084702182.1.A1	0
BAA83994.1.A1|Q9S1A7.A1	1
AAL82383.1.A1|Q8RTG4.A1	1
Q93LR1.A1	1
ACU36654.1.A2	2
ABG94125.1.A2|YP_702283.1.A2	3
EXU96269.1.A1	4
AAC06347.1.A1|O68007.A1	5
AMM63162.1.A1	6
AFT91378.1.A1	6
EPE34341.1.A1	6
BAN91483.1.A1	6
BAH43766.1.A5	7
ATY37608.1.A4	7
ATY37608.1.A5	7
ATY37608.1.A7	7
APD26279.1.A1	7
BAA06146.1.A3|Q44928.A3	7
CAA84360.1.A2|P39845.A2	7
AAC36721.1.A2|O87606.A2	7
O30409.A5	7
P0C063.A3	7
CFJ82030.1.A1|O86329.A1|Q7D791.A1	8
Ga0173608_11676.A6	8
SOV25622.1.A2|WP_013184461.1.A2	9
AAY37647.1.A5	10
QUS58938.1.A1	10
AF047828.1.A5|O85168.A5	10
WP_041826607.1.A5	11
CAE14173.1.A1|WP_232507913.1.A1	12
AGM16413.1.A2	12
AGM16414.1.A2	12
EFL02193.1.A1	13
ABS74209.1.A2|CAE11277.1.A2	13
A8BB73.A1	13
AAC06347.1.A2|O68007.A2	14
AGM16412.1.A1	14
AGM16412.1.A4	14
CAA43838.1.A3	15
AHJ31215.1.A3	16
ATP76246.1.A3	16
AED90002.1.A2	17
ABD65957.1.A2	18
WP_013184463.1.A2	18
SOV25620.1.A2	18
OAL11435.1.A1	19
CAE15497.1.A1	19
BAW32334.1.A1	19
AEH59100.1.A2	19
AXA91302.1.A4	19
QOE83923.1.A1	19
AAT09804.1.A2	19
BAW32324.1.A1	19
AAG31130.1.A1	20
YP_856990.1.A1	20
QRK05501.1.A1	20
ACC81021.1.A2	20
ACZ55942.1.A2	20
ACZ55945.1.A2	20
CCP42826.1.A1	20
ABV79985.1.A2	20
AJY78094.1.A1	21
WP_013184461.1.A1	22
SOV25622.1.A1	22
SOV25619.1.A1|WP_013184464.1.A1	22
SOV25622.1.A3|WP_013184461.1.A3	23
AFH75322.1.A6	24
CCJ67640.1.A6	24
APU91751.1.A6	24
PHM49485.1.A6	24
QIE07359.1.A1	25
AAY93354.1.A3	25
AAY93356.2.A3	25
WP_047195042.1.A1	25
AAS47562.1.A1	26
AAX16297.1.A2	26
EOY45602.1.A1	26
BAH22764.1.A1	26
ABX37382.1.A4	27
AAX16296.1.A1	28
CAJ96470.1.A1	29
CAQ71829.1.A1	29
CAQ71829.1.A3	29
ABX37382.1.A5	29
NAO96320.1.A4	29
AAY93354.1.A2	29
AAY93356.2.A2	29
AAX16297.1.A4	29
AAX16325.1.A2	29
AAX16296.1.A2	29
AAX16327.1.A3	29
ADJ63842.1.A7	29
QDG75033.1.A1	30
BAH33409.1.A1	31
ACU36654.1.A1	32
BAV56270.1.A7	32
QWM97319.1.A7	32
AEP18655.1.A4	32
AEP18656.1.A7	32
QWM97319.1.A2	32
BAV56270.1.A2	32
AHD05617.1.A1	32
ABB80392.1.A3	32
AHD05614.1.A1	33
AFP87549.1.A1	34
AFP87549.1.A4	34
AFP87549.1.A3	34
AFP87549.1.A5	34
CAE15497.1.A3	34
QWP75305.1.A3	34
ABV79985.1.A1	35
ACZ55945.1.A1	36
WP_234859471.1.A4	37
BAE06845.2.A2	38
AZC86156.1.A2	38
Ga0173608_112008.A9	39
Ga0173608_112053.A3	39
Ga0173608_112187.A4	39
CAB53322.1.A3|Q9RK14.A3	40
A4FE38.A3|CAM02313.1.A3	40
AAZ55898.1.A1	40
CBG75492.1.A3	40
WP_084702182.1.A3	40
ctg1_orf1265.A2	40
ctg1_orf1265.A3	40
ctg1_orf20.A3	40
O87314.A3	40
BAH33409.1.A3	40
AAC82550.1.A1|AAC82550.1.A3|O87314.A1	40
ABX37382.1.A2	41
WP_144411596.1.A1	41
ATO51563.1.A5	42
ctg1_orf20.A2	42
EFE73313.1.A2	43
WP_078857611.1.A1	43
EFL06867.1.A2	44
CAB53322.1.A1|Q9RK14.A1	44
AAC82549.1.A1|O87313.A1	44
CAD29798.1.A1|Q8G982.A1	45
QCQ67881.1.A1	45
AQH32486.1.A1	46
CBA63680.1.A1|D2TVG0.A1	47
EFL06866.1.A1	47
AGE11898.1.A2	47
CP001614.2.A1	47
AGE11899.1.A2	47
CBG75492.1.A5	47
WP_084702182.1.A6	47
AAZ23077.1.A1	47
AAZ55900.1.A1	47
CBG75492.1.A4	47
CAJ45639.1.A1	47
ctg1_orf1264.A2	47
QNH67550.1.A5	47
AAX31558.1.A1	47
AHH53507.1.A1	47
ARU08074.1.A1	47
NSC23530.1.A1	47
ANZ15839.1.A1	47
ATU31795.1.A1	47
CBL93718.1.A1	48
CAD29799.1.A1	49
ATP76244.1.A1	50
AAO62588.1.A1	51
CBJ79718.1.A1	52
ATY37589.1.A2	53
ATY37590.1.A4	53
ATY37591.1.A3	53
AAY29580.1.A4	53
