domain	clade
BAN91483.1.A5	0
AMM63162.1.A5	0
AFT91378.1.A5	0
EPE34341.1.A2	0
BAN91483.1.A2	0
AMM63162.1.A2	0
AFT91378.1.A2	0
QCC62999.1.A7	1
EKJ70673.1.A1	1
BAO73252.1.A1	1
QCC62999.1.A5	1
QCC62999.1.A4	1
QCC62999.1.A6	1
CBF73453.1.A2	2
CBF73453.1.A1	3
FGSG_15673.A3	3
ESU17760.1.A6	4
ESU17760.1.A4	5
FGSG_15673.A6	6
FGSG_15673.A7	6
ESU15173.1.A1	7
BN849_0052030.A1	7
EXU96269.1.A4	8
CRG85572.1.A1	9
EXU96269.1.A3	10
EXU96269.1.A7	10
CRG85572.1.A4	11
astN.A4	11
AGO86662.1.A1	12
KFH48607.1.A2|P25464.A2	13
AAA63415.1.A2|ABA70582.1.A2|ABR12615.1.A2|CAA38195.1.A2|P19787.A2|P26046.A2	13
AAA03914.1.A2|P27742.A2	13
EDY47118.1.A2	13
BAA08846.1.A2|P94873.A2	13
CAA40561.1.A2|P27743.A2	13
AAK1902.1.A2|AAK21902.1.A2|Q9C1G0.A2	13
OJJ98497.1.A1	14
AAM78457.1.A10	15
ADB02873.1.A1	16
AAP92491.1.A2	17
ABR67744.1.A1	17
AAP92491.1.A1	17
CBG67541.1.A2	18
BAE98155.1.A1	19
BAI63288.1.A1	19
BAV56270.1.A3	19
QWM97319.1.A3	19
WP_018540603.1.A1	20
WP_030498974.1.A1	21
EWM63002.1.A1	21
AYA44686.1.A2|AYA44686.1.A3	21
CAJ34374.1.A1	22
EWS95122.1.A1	22
ABV56588.1.A2	23
AEP18656.1.A1	24
AEP18656.1.A3	24
QNH85840.1.A4	24
BolH.A4	24
AET98906.1.A1	25
WP_047197778.1.A1	25
WP_047197779.1.A1	25
AVI26393.1.A2	25
BAC67535.1.A4|Q84BQ5.A4	26
BAC67536.1.A2|Q84BQ4.A2	26
AHY86403.1.A1	26
AEH59100.1.A7	26
AFH75329.1.A4	26
AFH75330.1.A3	26
AAY91420.2.A4	26
AAY91421.3.A3	26
CAY48789.1.A2	26
KPN90376.1.A8	26
WP_064118559.1.A2	26
WP_064118560.1.A4	26
ABA73955.1.A5	26
ABA73956.1.A3	26
QDF82255.1.A4	26
QDF82259.1.A2	26
AXA91302.1.A2	26
AXA94654.1.A1	26
QNL34617.1.A4	26
AFZ61526.1.A2	26
KPN93064.1.A3	26
AGE11899.1.A1	27
CAD17792.1.A4	28
CAD17793.1.A2	28
AAY37647.1.A1	28
AAO72425.1.A6|AAY37647.1.A2|Q83VS0.A9	28
AED90002.1.A1	28
CDF96614.1.A1	28
KPN93063.1.A9	28
KPN93065.1.A1	28
AF047828.1.A2|O85168.A2	28
AF047828.1.A1|O85168.A1	28
WP_053065269.1.A2	29
WP_019032755.1.A2	29
WP_082191961.1.A2	29
QPI18727.1.A2	29
CAK15814.1.A3	30
CAK15815.1.A8	30
ABW17376.1.A4	30
ABW17376.1.A7	30
ABW17377.1.A3	30
AGM14933.1.A5	30
BCJ07532.1.A3	30
AFJ23825.1.A4	30
AFJ23826.1.A2	30
ABH06368.2.A4	31
ABH06369.2.A2	31
CAY48788.1.A4	31
AHZ34243.1.A5	31
AFZ61525.1.A4	31
AGE25479.1.A4	31
AGE25480.1.A3	31
ANQ43349.1.A3	31
CCJ67636.1.A3	31
AFH75320.1.A3	31
CCJ67637.1.A3	31
APU91750.1.A3	31
APU91750.1.A6	31
WP_100939443.1.A2	31
ANQ43348.1.A4	32
B7X8D7.A1|BAH04162.1.A1	33
AAZ55899.1.A1	34
ADJ63842.1.A3	35
ADJ63842.1.A6	35
CAQ71829.1.A2	36
NSC20093.1.A1	37
OKJ61999.1.A1	37
AAG06715.1.A1|NP_252017.1.A1	37
WP_014143997.1.A1	37
WP_051462298.1.A1	37
AHD05677.1.A2	37
AFJ14795.1.A1	37
AHF21228.1.A4	37
AHF21228.1.A6	37
AHD05618.1.A1	37
WP_129549303.1.A4	37
WP_129549209.1.A3	37
RAT94090.1.A1	37
ATY37609.1.A3	37
ATO51563.1.A2	37
WP_129549303.1.A6	37
WP_013310342.1.A1	37
ABS74179.1.A1|CAE11248.1.A1	37
BAB69700.1.A2	37
AAF08797.1.A1	37
AAN07014.1.A1	37
Q93I54.A2	37
Q9R9I9.A1	37
AGM16412.1.A5	37
AGM16413.1.A3	37
CAJ76292.1.A1	37
WP_039806852.1.A1	38
WP_039806856.1.A2	38
ABX37382.1.A3	38
AAO55666.1.A2|Q884E4.A2	38
NAO96318.1.A1	38
NAO96319.1.A1	38
NAO96319.1.A2	38
NAO96320.1.A3	38
AAX16297.1.A1	38
AAX16297.1.A3	38
AAO55667.1.A2|Q884E3.A2	38
AAX16327.1.A1	38
BBA21073.1.A1	39
WP_016638469.1.A2	39
AAT09805.1.A1	39
BAP05591.1.A1	39
Q4U445.A1	39
ctg1_orf1265.A1	39
ctg1_orf1264.A3	39
QNH67551.1.A2	40
QED88054.1.A2	41
QEO74981.1.A3	42
QEO74982.1.A2	43
QEO75073.1.A3	44
QEO75075.1.A2	45
QNH85840.1.A1	46
BolH.A1	46
ALV86866.1.A2	47
CCA29203.1.A1	48
CDG12864.1.A1	48
AGC65516.1.A2	49
AGC65514.1.A2	49
UEF20578.1.A3	49
QKF54436.1.A3	49
UHJ79953.1.A2	49
ABX37385.1.A2	50
BAF50720.1.A1	51
QDA77059.1.A1	51
DAC76736.1.A1	51
AGN74895.1.A1	51
BAP05589.1.A1	52
BAP05597.1.A1	52
AAA92015.1.A1|P11454.A1	52
AAN42148.1.A1|P29698.A1	52
Q8FK25.A1	52
Q8XBV9.A1	52
Q8Z8L5.A1|Q8ZR37.A1	52
A4FE38.A2|CAM02313.1.A2	52
WP_084702182.1.A2	52
AAY89051.1.A1|Q2N3S9.A1	52
CCA89328.1.A1	52
CBG75492.1.A2	52
CAB38518.1.A1|Q9Z4X6.A1	52
CAJ45639.1.A2	52
ALV82356.1.A1	52
ctg1_orf1264.A1	52
ABU70377.1.A1	52
CP001614.2.A2	52
AAF00960.1.A1|Q9RNB1.A1	52
BAA83992.1.A1|Q9S1A9.A1	52
CAD29797.1.A1	53
PHM49485.1.A1	53
AAF15891.2.A2|Q9RAH4.A2	53
AQH32484.1.A1	53
AVI26390.1.A1	53
WP_012408783.1.A2	53
QCQ67879.1.A1	53
ABF87031.1.A2|YP_631961.1.A1	53
ABF87031.1.A5|YP_631961.1.A4	53
ABF87031.1.A7|YP_631961.1.A6	53
AAO23334.1.A2	53
ABA23460.1.A1	53
AAO62586.1.A1	53
EFL06867.1.A1	54
EFL06865.1.A2	54
EFL06865.1.A1	54
AAX31558.1.A6	54
AYJ71720.1.A1	55
ctg1_114.A1	55
KFL51883.1.A1	56
KFL51887.1.A2	56
B8RG41.A2	56
CBW75451.1.A1|QIH29229.1.A1	56
AAG02359.1.A2|Q9FB23.A1	56
ACG60776.1.A2|B9UJ01.A1	57
ABL74940.1.A2	57
QBG38784.1.A2	57
WP_054234643.1.A2	57
WP_084702182.1.A4	57
QRG35013.1.A2	57
WP_084702182.1.A5	57
ALG65317.1.A1	57
QBA57737.1.A2	57
DAB41476.1.A1	57
EFE73312.1.A3	57
EFE73313.1.A1	57
AJF34463.1.A3	57
AJF34464.1.A1	57
AXM42922.1.A1	58
WP_028678149.1.A1	59
BAX64246.1.A1	60
BAX64246.1.A2	60
AAX16327.1.A2	61
CAJ96472.1.A2	61
AAY93445.1.A4	61
AAG05812.1.A3	61
KFL51886.1.A1	62
WP_013184464.1.A2	63
chaP_not_in_genbank.A1|ctg1_orf10.A1	64
EAL88817.1.A2	64
ACA97580.1.A1|B9TTF7.A1	65
AHF21228.1.A2	65
AHF21228.1.A7	65
AHF21228.1.A8	65
AEZ51520.1.A1	65
AJM89738.1.A1	65
AFJ14793.1.A1	65
CUX79060.1.A1	65
CUX79060.1.A2	65
CUX79060.1.A3	65
CUX79061.1.A3	65
CUX79061.1.A4	65
AFJ14794.1.A2	65
AFJ14794.1.A5	65
ACA97576.1.A3	65
ACA97580.1.A4|B9TTF7.A4	65
ACA97580.1.A5|B9TTF7.A5	65
AEZ51516.1.A3	65
AEZ51516.1.A4	65
AEZ51520.1.A4	65
AEZ51520.1.A5	65
AJM89735.1.A3	65
AJM89735.1.A4	65
AJM89738.1.A4	65
AJM89738.1.A5	65
ACA97576.1.A4	65
WP_129549303.1.A2	65
WP_129549303.1.A7	65
WP_129549303.1.A8	65
ACA97580.1.A3|B9TTF7.A3	65
AEZ51520.1.A3	65
WP_013310343.1.A1	65
AJM89738.1.A3	65
WP_039806850.1.A2	66
KPN90376.1.A7	67
KPN93065.1.A2	67
AAY37647.1.A3	67
AAY37647.1.A4	67
AAO72425.1.A10	67
AAO72425.1.A11	67
AF047828.1.A3	67
AF047828.1.A4	67
O85168.A3	67
O85168.A4	67
Q83VS0.A2	67
Q83VS0.A3	67
WP_047195042.1.A4	67
WP_047197778.1.A3	67
AFH75322.1.A5	67
CCJ67640.1.A5	67
APU91751.1.A5	67
AHZ34243.1.A4	67
BAD55613.1.A1|YP_116977.1.A1	68
CAC17499.1.A1	68
AGE11891.1.A1	68
EFL06864.1.A1	68
AAK46746.1.A1|P71717.A1|Q7TYQ4.A1	68
DAC82028.1.A2	69
ATY69584.1.A1	69
BAI63289.1.A1	69
BAE98156.1.A1	69
BAH04161.1.A1	69
WP_028678148.1.A1	69
AET98905.1.A1	69
AAN85522.1.A1	69
ATY69551.1.A1	69
Q8GGP3.A1	69
CAJ34375.1.A1	69
ADQ55476.1.A2	70
AAG02365.1.A1|Q9FB17.A1|WP_004947046.1.A1	71
WP_012118250.1.A1	72
WP_012118250.1.A2|WP_012118250.1.A3	72
AAC83657.1.A1|O85740.A1	73
Q9HWG4.A1|Q9RFM7.A1	73
CCA53804.1.A1	73
CCC55921.1.A1	74
CCB53269.1.A1	74
WP_011146563.1.A1	74
Q2HQW8.A1	74
UHJ79951.1.A3	74
AGN74898.1.A1	74
AWI62627.1.A2	74
ATG32076.1.A1	75
CAQ18831.1.A1	75
ARO38317.1.A1	75
ADZ24995.1.A1	75
CAG69516.1.A1	75
