domain	clade
Ga0173608_111989.A5	0
EPE34341.1.A2	1
BAN91483.1.A2	1
AMM63162.1.A2	1
AFT91378.1.A2	1
QCC62999.1.A7	2
EKJ70673.1.A1	3
BAN91483.1.A5	4
AMM63162.1.A5	4
AFT91378.1.A5	4
CCJ67645.1.A1	5
CCJ67646.1.A1	5
Ga0173608_11675.A8	5
Ga0173608_111474.A6	5
AAG02358.1.A1|Q9FB24.A1|WP_004942671.1.A1	6
AAZ23075.1.A4|Q45R85.A4	7
AAX31557.1.A4|Q50E74.A4	7
ABD65956.1.A2|Q06YZ3.A2	7
ABD65957.1.A3	7
AAD44233.1.A2	7
AAY37650.1.A1|Q52400.A1	7
AED90004.1.A1	7
AGN74876.1.A1	7
CCJ67647.1.A1	7
DAB41477.1.A3	7
KPN90374.1.A1	7
AIW58892.1.A4	7
AIW58892.1.A5	7
ATL73036.1.A1	7
QUS58939.1.A2	7
NSC20090.1.A1	7
Ga0173608_112187.A2	7
Ga0173608_111474.A2	7
ABL74939.1.A1	8
AAD50521.1.A1	9
ADG27358.1.A1|O68487.A1|WP_057667184.1.A1	9
CAB38518.1.A2|Q9Z4X6.A2	9
CBA63680.1.A2|D2TVG0.A2	9
AEG64697.1.A6	9
AEH59100.1.A4	9
AEI70245.1.A2	9
AAY93355.1.A1	9
ABG94125.1.A1|YP_702283.1.A1	9
AEA30272.1.A1	9
EFE73312.1.A2	9
EFE73312.1.A4	9
AAY37647.1.A7	9
WP_010639240.1.A1	9
ADH01485.1.A1|AIC32693.1.A1	9
AEF33078.1.A1	9
AGN11881.1.A1	9
BAF50711.1.A1	9
CBZ42140.1.A1	9
AIW82283.1.A1	9
AIW82284.1.A1	9
AJF34464.1.A2	9
DAB41484.1.A1	9
ALV82356.1.A2	9
ALV86866.1.A3	9
ALV86866.1.A4	9
AKC91849.1.A3	9
antaC.A1	9
WP_067426775.1.A1	9
WP_047195042.1.A2	9
WP_047197779.1.A2	9
BAX64247.1.A1	9
BAV56270.1.A1	9
BAV56271.1.A5	9
AWX24482.1.A1	9
ARR97036.1.A2	9
ARR97038.1.A1	9
WP_015507663.1.A4	9
BBD17741.1.A1	9
BBD17759.1.A1	9
AXN93581.1.A1	9
AXN93581.1.A3|AXN93590.1.A1	9
AXN93590.1.A3	9
QBC75021.1.A5	9
QED55423.1.A4	9
DAD54486.1.A1	9
QEO74982.1.A1	9
QEO75075.1.A1	9
QNH67550.1.A1	9
QNH67551.1.A4	9
QDJ74273.1.A1	9
QPI18729.1.A2	9
QGA70148.1.A3	9
QKM21620.1.A5	9
QVQ62868.1.A1	9
QWM97319.1.A1	9
QWM97320.1.A5	9
CAA67248.1.A1|Q54959.A1	9
AF047828.1.A7|O85168.A7	9
Q81QP7.A2	9
ERG36782.1.A1|WP_010369425.1.A1	9
BAC67535.1.A1|Q84BQ5.A1	9
AAD56240.1.A2|CAB15186.3.A2|P45745.A2	9
CAB53322.1.A2|Q9RK14.A2	9
ABI26077.1.A2	9
AAZ03551.1.A1	9
AHB38497.1.A3	9
AHZ20773.1.A1	9
