domain	clade
APZ78729.1.A1	0
APZ78729.1.A2	0
APZ78744.1.A1	0
AQM37584.1.A1	0
APZ78809.1.A1	0
APZ78756.1.A1	0
APZ78795.1.A1	0
APZ78769.1.A1	0
APZ78782.1.A1	0
APZ78680.1.A1	1
APZ78704.1.A1	1
APZ78692.1.A1	1
APZ78716.1.A1	1
APZ78856.1.A1	1
AAF00961.1.A1|Q9RNB0.A1	2
BAA83993.1.A1|Q9S1A8.A1	2
CAJ21198.2.A1|Q0W980.A1	2
AAF17280.1.A1|Q9RAH2.A1	2
WP_012408785.1.A1	2
AAF15891.2.A4|Q9RAH4.A4	2
WP_012408783.1.A4	2
CAD92851.1.A4	2
CAD92850.1.A2	2
CAD92852.1.A2	2
CAD92851.1.A6	2
AWI62626.1.A3	2
ARO38317.1.A2	3
CAD70195.1.A2	4
CDN62030.1.A1	5
ABV56582.1.A1	6
WP_008704344.1.A2	7
WP_008704344.1.A3	7
AAN32978.1.A1|Q8GAQ6.A1	8
QCY50741.1.A1|ctg1_42.A1	9
CAD92849.1.A1	10
AAC06346.1.A3|O68006.A3	10
ATY37592.1.A1	10
AAU39360.1.A3	10
CAA06324.1.A3|O66070.A3|O69246.A3	10
O66069.A3	10
AAU22002.1.A3|AAU39359.1.A3	10
CAA06323.1.A3|Q45295.A3	10
BAA02522.1.A3|P27206.A3	10
Q45675.A3|WP_069322367.1.A3	10
Q04747.A3	10
CAE02630.1.A3	10
CAE02631.1.A3	10
ABQ96384.2.A3	11
A9LJA2.A3	11
AFJ14794.1.A4	12
CUX79061.1.A2	12
AFJ14794.1.A7	13
CUX79062.1.A1	14
ACA97576.1.A1	15
AJM89735.1.A1	15
ATO51563.1.A3	16
WP_008704344.1.A1	17
BAA06146.1.A4|CAA43838.1.A4|P0C063.A4|Q44928.A4	18
BAH43766.1.A6	18
O30409.A6	18
ABV79986.1.A1	19
ACZ55943.1.A1	19
ACC81022.1.A1	19
ACM68684.1.A1	19
ABV79988.1.A1	19
AAO23334.1.A1	19
CAC01606.1.A1|Q9K5L9.A1	19
ABI26079.1.A1	19
BAH22765.1.A1	19
BAH22764.1.A3	19
ABI26078.1.A3	19
ATP76246.1.A2	19
AAF15891.2.A1|Q9RAH4.A1	19
WP_012408783.1.A1	19
AEU11003.1.A3	19
WP_234859472.1.A3	19
WP_108867381.1.A1	19
WP_234859471.1.A2	19
ATY37592.1.A2	19
ATY37591.1.A1	19
ATY37589.1.A1	19
ATY37590.1.A3	19
ATY37591.1.A2	19
AAY29580.1.A3	19
AAY29580.1.A2	19
ATY37590.1.A2	19
ATY37590.1.A1	19
AAY29580.1.A1	19
AEZ51516.1.A2	19
AJM89735.1.A2	19
AFJ14794.1.A1	19
AGM16413.1.A4	19
AGM16414.1.A3	19
CAA49818.1.A1|Q08787.A1	19
AAD04759.1.A1|O66071.A1|O69247.A1	19
AAU22002.1.A2|AAU39359.1.A2	19
CAA06323.1.A2|O66069.A2|Q45295.A2	19
CAE02630.1.A2	19
BAA02522.1.A2|P27206.A2	19
RAT94091.1.A1	19
QRN75755.1.A2	19
ATY37609.1.A1	19
AAC06346.1.A1|O68006.A1	19
AAC06346.1.A5|O68006.A5	19
AAC06348.1.A1|O68008.A1	19
WP_234859471.1.A3	20
WP_234859472.1.A1	20
WP_234859472.1.A5	20
AEC14346.1.A2	21
AEC14349.1.A1	22
ATD05720.1.A1|ERG36783.1.A1|WP_010369428.1.A1	22
CCB53264.1.A1	22
CCB53267.1.A1	22
Ga0173608_11675.A7	23
Ga0173608_11675.A9	23
Ga0173608_112187.A6	23
Ga0173608_111989.A6	23
Ga0173608_111989.A7	24
Ga0173608_111792.A4	24
Ga0173608_112008.A4	24
Ga0173608_11674.A13	24
Ga0173608_11675.A10	24
Ga0173608_11676.A3	24
Ga0173608_11676.A1	24
Ga0173608_11676.A4	24
Ga0173608_111990.A5	25
Ga0173608_111498.A4	25
Ga0173608_111990.A3	25
Ga0173608_112008.A7	25
Ga0173608_111474.A3	25
Ga0173608_111474.A5	25
WP_234859471.1.A1	26
WP_234859472.1.A4	26
AZZ09613.1.A1	27
QOG08944.1.A1	28
AGZ15455.1.A1	29
WP_016638466.1.A1	29
CCB53266.1.A1	30
EHA53213.1.A1	31
BBC83957.1.A7	32
MAA_10043.A5	33
XP_003044554.1.A5	34
ACJ04424.1.A2|ACJ04424.1.A7|ACJ04424.1.A9|B6SF67.A2|B6SF67.A7|B6SF67.A9	35
ACJ04424.1.A8|B6SF67.A8	35
CAA79245.2.A2|Q00869.A2	36
ACR78148.1.A2|D1FVF0.A2	37
CAA82227.1.A2|Q09164.A4|ctg1_orf003.A2	38
ATQ39428.1.A2	38
CAA82227.1.A8|Q09164.A10|ctg1_orf003.A8	38
ATQ39428.1.A8	38
CAA82227.1.A10|Q09164.A2|ctg1_orf003.A10	38
ATQ39428.1.A10	38
CAA82227.1.A3|Q09164.A5|ctg1_orf003.A3	38
ATQ39428.1.A3	38
CAA82227.1.A9|Q09164.A11|ctg1_orf003.A9	39
ATQ39428.1.A9	39
