domain	clade
CCM44336.1.A1	0
A05163.A1	1
CAJ18237.2.A1	2
AEA30272.1.A3	3
AHH53506.1.A2	4
WP_107406787.1.A2	5
BAX89998.1.A2	5
AAZ23076.1.A2	6
AAZ23077.1.A2	6
AAX31557.1.A3|Q50E74.A3	7
AAX31558.1.A2	7
AAX31558.1.A4	7
ARU08074.1.A3	8
QBC75022.1.A1	9
QBC75022.1.A2	9
CAM56770.1.A2	10
CAM56770.1.A4	10
AHH53507.1.A4	10
AHH53506.1.A3	10
AHH53507.1.A2	10
AEG64696.1.A1	10
AEG64697.1.A2	10
AEG64697.1.A4	10
CAB38517.1.A1|Q9Z4X5.A1	11
CAB38518.1.A4|Q9Z4X6.A4	11
CAB38518.1.A5|Q9Z4X6.A5	11
ALV82356.1.A4	11
ALV82356.1.A5	11
ALV82384.1.A1	11
UEF20578.1.A2	11
QKF54436.1.A2	11
QED55422.1.A1	11
QED55423.1.A2	11
ABD65956.1.A1|Q06YZ3.A1	12
NAO96317.1.A1	13
AAY93356.2.A1	13
NAO96320.1.A1	13
CAJ96472.1.A1	13
CAQ71828.1.A2	13
AAO55665.1.A1	13
WP_006051170.1.A1	13
AAO55667.1.A1|Q884E3.A1	13
ABX37383.1.A1	13
CAQ71827.1.A1	13
ALK27916.1.A3	13
BAH22762.1.A1	13
CAJ96471.1.A1	13
AHI59109.1.A2	13
CAE02631.1.A2	13
AAU39360.1.A2	13
CAA06324.1.A2|O69246.A2	13
O66070.A2	13
AAC06348.1.A4|O68008.A4	13
Q45675.A2|WP_069322367.1.A2	13
Q04747.A2	13
Ga0173608_112008.A1	14
QNL34616.1.A2	15
BAC67534.2.A2|Q84BQ6.A2	15
BAC67536.1.A5|Q84BQ4.A5	15
AOA33121.1.A2	15
WP_064118559.1.A5	15
ABA73954.1.A2	15
QDF82254.1.A2	15
QDF82259.1.A5	15
WP_064118561.1.A2	15
ADB02855.1.A1	16
AXA91301.1.A2	17
AXA91302.1.A5	17
AAY37647.1.A8	17
AF047828.1.A8|O85168.A8	17
KPN90369.1.A3	17
BBC83957.1.A5	18
