domain	clade
AAA33023.2.A1|Q01886.A1	0
AGQ43600.1.A1	0
ACZ66258.1.A1|D2IKP5.A1	0
BAO73252.1.A3	1
MAA_10043.A3	2
CRG85572.1.A2	2
astN.A2	2
CAB39315.1.A3|O94205.A3	3
AFUA_8G00170.A1|BAH23995.1.A1	4
AGC83576.1.A1	4
ADM34138.1.A1	4
AAM78457.1.A13	5
AGA37267.1.A1	6
AFUA_8G00170.A2|BAH23995.1.A2	7
AAT28740.1.A1	8
AGC24265.1.A1	9
AWS21276.1.A1|AZY92000.1.A1	9
AEH42484.1.A1	9
ACN69986.1.A1	9
AXG22420.1.A1	9
MBA5221218.1.A1	9
ACR33075.1.A1	9
ADZ24989.1.A1	9
ATG32071.1.A1	9
CBW75455.1.A1|QIH29226.1.A1	9
CBW75453.1.A2|QIH29228.1.A2	10
P95819.A1	11
CDG76959.1.A1	12
WP_013184463.1.A3	13
SOV25620.1.A3	13
AWI62627.1.A1	13
QUS58938.1.A2	14
ATJ34002.1.A1	15
AFK57214.1.A1	15
AFK57220.1.A1	15
QBC75022.1.A3	15
ADG27359.1.A1|Q9L8H4.A1	15
AKC91856.1.A2	15
QED88054.1.A3	15
QED88055.1.A2	15
ALV86867.1.A3	15
AEA30273.1.A2	15
CAA67249.1.A1|O07944.A1	15
CAA72310.1.A1|O05647.A1	15
QBG38783.1.A2	15
CAM56771.1.A2	15
QED55422.1.A3	15
AEG64698.1.A2	15
AAC68816.1.A1|Q9ZGA6.A1	15
AAF86395.1.A1|Q9KID8.A1	15
CAA60461.1.A1|Q54298.A1	15
CAA67249.1.A3|O07944.A3	15
CAJ18237.2.A2	15
AEG64696.1.A2	15
ALV86868.1.A2	15
A0FCL0.A1	15
AEU11003.1.A1	15
AHJ31215.1.A2	15
AVR48535.1.A2	15
AAF17281.1.A2	15
Q9RAH1.A2	15
WP_012408786.1.A2	15
AEU11003.1.A4	15
AIW82277.1.A2	15
AXN93575.1.A2|AXN93584.1.A2	15
AXN93592.1.A2	15
AXN93605.1.A2	15
ADZ24999.1.A1	15
AXM43052.1.A2	15
ADA69239.2.A2	15
WP_051462298.1.A2	15
AGM16413.1.A5	15
BAH43765.1.A1	15
AAC45929.1.A1|O30408.A1	15
BAA06146.1.A1|P0C063.A1|Q44928.A1	15
CAA43838.1.A1	15
CAA84363.1.A1|P94459.A1	15
AAB80955.2.A1|O30980.A1	15
ABS74180.1.A3|CAE11249.1.A3	15
AAN07013.1.A3	15
ABS74206.1.A1	15
BAB69699.1.A4|Q93I55.A4	15
AHD05678.1.A4	15
AAF08796.1.A4|Q9R9J0.A4	15
ADQ74618.1.A1	15
Ga0173608_11676.A5	15
Ga0173608_111990.A4	15
Ga0173608_112008.A10	15
Ga0173608_111498.A5	15
Ga0173608_112053.A2	15
Ga0173608_111792.A2	15
Ga0173608_112008.A5	15
CDF96614.1.A2	15
WP_004571777.1.A2	15
CDG17980.1.A1	15
CDG17982.1.A3	15
AXA91302.1.A3	15
AXA91301.1.A1	15
AXA91302.1.A1	15
AAF99707.2.A2	15
Q9FDB3.A2	15
CCJ67636.1.A2	15
AHZ34238.1.A2	15
AFH75320.1.A2	15
KPN93063.1.A2	15
APU91750.1.A2	15
APZ78769.1.A2	15
APZ78782.1.A2	15
APZ78795.1.A2	15
APZ78744.1.A2	15
APZ78756.1.A2	15
AQM37584.1.A2	15
APZ78729.1.A3	15
APZ78809.1.A2	15
AXM43052.1.A3	15
ATD51279.1.A1	15
ATD51280.1.A1	15
WP_078889006.1.A1	15
QUS58936.1.A2	15
QKM21620.1.A4	15
NHN68325.1.A4	15
CBL93716.1.A1	15
AWI62628.1.A2	15
CAF05647.1.A1|Q5ZPB0.A1	15
ADH04678.1.A1	15
Q9KWY7.A1	16
PHM26613.1.A2	17
ACJ04424.1.A5|B6SF67.A5	18
BBC83957.1.A2	19
WP_064118616.1.A1	20
AQV04224.1.A1	21
AQV04230.1.A1	21
EFY95969.1.A1|EXU97982.1.A1	21
