domain	clade
QCC62999.1.A2	0
Q9RNB3.A1	1
AOZ21316.1.A1	2
AHH53508.1.A1	3
AAZ23078.1.A1	3
CAD55498.1.A1	3
ALV82388.1.A1	3
AAZ23075.1.A2|Q45R85.A2	4
QBC75021.1.A3	5
QBC75022.1.A5	5
QBC75023.1.A1	5
CAB13715.1.A1|P39847.A1	6
CAA84360.1.A1|P39845.A1	6
AAB80956.1.A1|O30981.A1	6
AAC36721.1.A1|O87606.A1	6
ABS74207.1.A1	6
ABS74209.1.A1|CAE11277.1.A1	6
AAY91419.3.A2	7
AFH75328.1.A2	8
ABW17375.1.A2	8
QNL34618.1.A5	8
BCJ07599.1.A1	8
AGM14925.1.A2	8
AFJ23819.1.A2	8
AFZ61501.1.A2	9
AGE26255.1.A2	9
ANQ43347.1.A2	9
AEP18655.1.A1	10
BAV56271.1.A1	10
QWM97320.1.A1	10
AAY93445.1.A2	11
AAG05812.1.A1|Q9I157.A1	11
Q9L6D0.A1	11
AXM43064.1.A1	12
ABV56594.1.A1	13
WP_013428774.1.A3	14
AAC06346.1.A4|O68006.A4	15
WP_043882190.1.A5	16
AHF21228.1.A10	17
WP_129549303.1.A10	17
ABS74180.1.A4|CAE11249.1.A4	18
AAN07013.1.A4	18
CAE02630.1.A1	18
BAA02522.1.A1	18
P27206.A1	18
WP_047197778.1.A2	19
QEO74981.1.A4	20
QEO75074.1.A1	20
