domain	clade
KFH48607.1.A3|P25464.A3	0
AAA63415.1.A3|ABA70582.1.A3|ABR12615.1.A3|P19787.A3|P26046.A3	0
AAA03914.1.A3|P27742.A3	0
AAK1902.1.A3|AAK21902.1.A3|Q9C1G0.A3	0
EDY47118.1.A3	0
BAA08846.1.A3|P94873.A3	0
CAA40561.1.A3|P27743.A3	0
CBW75453.1.A3	1
ABQ96384.2.A3	2
XP_003044554.1.A4	3
CBF87869.1.A2	4
ABF87031.1.A6|YP_631961.1.A5	5
AGZ15460.1.A1	6
Ga0173608_11674.A13	7
Ga0173608_11675.A10	7
Ga0173608_11676.A1	7
Ga0173608_11676.A3	7
Ga0173608_11676.A4	7
Ga0173608_111792.A4	7
Ga0173608_111989.A7	7
Ga0173608_112008.A4	7
AKC91849.1.A1	8
AKC91856.1.A1	8
AKA59447.1.A2	9
EFE73312.1.A5	10
ANI24100.1.A1	11
AGC65514.1.A3	12
AEC14349.1.A1	13
OAL11475.1.A1	13
AHZ34233.1.A3	14
AAO56329.1.A3	14
CCM44337.1.A2	15
ABA59547.1.A2|Q1PSF4.A2	16
ARO38317.1.A3	16
RLV71193.1.A2	16
BAV57451.1.A1	16
AXM43052.1.A1	16
QRN75755.1.A1	16
AGC65514.1.A1	16
CAK15814.1.A1	16
CAK15815.1.A2	16
CAK15815.1.A5	16
AGM14933.1.A2	16
AGM14933.1.A6	16
CAD17793.1.A1	16
AFJ23825.1.A2	16
QKM21619.1.A1	16
QKM21620.1.A2	16
BCJ07533.1.A2	16
BCJ07532.1.A4	16
NHN68324.1.A1	16
NHN68325.1.A2	16
ABW17376.1.A5	16
AFH75320.1.A5	16
AFH75321.1.A2	16
AFH75321.1.A3	16
AFH75321.1.A6	16
AAF99707.2.A3|Q9FDB3.A3	16
AAF99707.2.A4|Q9FDB3.A4	16
AAO72424.1.A2|Q83VS1.A2	16
AAO72424.1.A3|Q83VS1.A3	16
AAO72425.1.A1|Q83VS0.A1	16
CCJ67637.1.A2	16
CCJ67638.1.A2	16
CCJ67638.1.A3	16
CCJ67639.1.A3	16
AGC65516.1.A1	16
CAY48788.1.A2	16
AHZ34239.1.A3	16
AHZ34241.1.A1	16
AHZ34242.1.A1	16
AHZ34242.1.A3	16
KPN90376.1.A1	16
KPN90376.1.A3	16
KPN93063.1.A6	16
KPN93064.1.A1	16
APU91750.1.A5	16
APU91750.1.A8	16
APU91750.1.A9	16
APU91750.1.A12	16
AXN93601.1.A1	16
AXN93613.1.A1	16
AFZ61525.1.A2	16
AFH75329.1.A2	16
AFH75330.1.A4	16
AAY91421.3.A4	16
AAU39360.1.A1	17
AFJ14794.1.A6	17
CAE02631.1.A1	17
BAH43766.1.A4	17
CBJ90082.1.A1	17
CBJ90082.1.A3	17
CBJ90082.1.A4	17
WP_011146892.1.A7	17
WP_011146892.1.A9	17
WP_011146892.1.A11	17
WP_011146892.1.A14	17
WP_011146892.1.A15	17
WP_013428324.1.A7	17
WP_013428774.1.A1	17
CBW75452.1.A1|QIH29228.1.A4	17
CBW75453.1.A1|QIH29228.1.A1	17
QIH29228.1.A3	17
