domain	clade
EKJ70673.1.A6	0
EJP62835.1.A3	1
AQM58286.1.A2	2
MAA_10043.A4	3
AZZ09613.1.A1	4
ESU17760.1.A3	5
CBF73453.1.A3	6
ACZ66258.1.A2|D2IKP5.A2	7
EHA53213.1.A1	8
WP_015507662.1.A1	9
CAP93139.1.A2	10
AAZ23078.1.A2	11
A9LJA2.A3	12
QDJ74273.1.A3	13
AEG64698.1.A1	14
BAV56271.1.A4	15
QWM97320.1.A4	15
WP_041826607.1.A3	16
WP_015507661.1.A1	16
WP_041826607.1.A4	16
WP_041826607.1.A1	16
AFO85453.1.A1	17
DAB41478.1.A1	18
AHB38497.1.A1	19
AIW58892.1.A3	20
ANZ15840.1.A4	21
EJK79842.1.A1	22
A9LJA2.A2	23
AHF21229.1.A2	24
WP_129549209.1.A2	24
WP_129549303.1.A9	24
WP_129549209.1.A1	24
ABS74205.1.A1	24
AAB00093.1.A1|Q45563.A1	24
CAA84364.1.A1|P94460.A1	24
CAE15497.1.A2	25
CAE15497.1.A4	25
CAE15637.1.A1|WP_011147463.1.A1	26
QNH85840.1.A2	27
BolH.A2	27
ATL73036.1.A4	28
WP_100939443.1.A3	29
KPN90376.1.A9	30
AHY86403.1.A2	31
BAC67536.1.A3|Q84BQ4.A3	32
BAC67536.1.A4|Q84BQ4.A4	32
ABH06368.2.A2	32
ABH06369.2.A3	32
AAY91420.2.A2	32
KPN93064.1.A2	32
WP_064118559.1.A4	32
QDF82259.1.A4	32
QNL34618.1.A4	32
AFZ61526.1.A3	32
ANQ43348.1.A2	32
ANQ43349.1.A4	32
AGM14934.1.A4	33
BCJ07529.1.A3	33
CAY48789.1.A3	34
AFJ23826.1.A3	34
AGE25480.1.A4	35
AOA33123.1.A2	36
AFH75322.1.A3	36
APU91751.1.A3	36
ABA73955.1.A2	37
ABA73956.1.A4	37
AEH59100.1.A3	38
AJF34463.1.A2	38
AJF34463.1.A5	38
AJF34463.1.A6	38
AJF34464.1.A5	38
AHZ34241.1.A2	39
WP_108867381.1.A1	40
WP_234859471.1.A2	41
AFJ14794.1.A1	42
AGM16413.1.A4	42
AGM16414.1.A3	42
AAC06346.1.A1|O68006.A1	43
AAC06346.1.A5|O68006.A5	43
ATY37609.1.A1	43
AAC06348.1.A1|O68008.A1	43
RAT94091.1.A1	44
ATY37590.1.A1	45
AAY29580.1.A1	46
AAD04759.1.A1|O66071.A1|O69247.A1	47
WP_004571777.1.A1	48
ACC81022.1.A1	49
CDG17980.1.A5	50
WP_013428774.1.A4	51
WP_013428774.1.A6	51
ACM68684.1.A1	51
ADH04679.1.A1	51
AAF15891.2.A1|Q9RAH4.A1	51
AEU11003.1.A3	51
ATP76246.1.A2	51
WP_012408783.1.A1	51
CAC01606.1.A1|Q9K5L9.A1	51
ABV79988.1.A1	51
AAO23334.1.A1	51
ABI26078.1.A3	51
ABI26079.1.A1	51
BAH22764.1.A3	51
BAH22765.1.A1	51
QWP75304.1.A2	52
AFK57215.1.A3	53
BAX64247.1.A2	54
BBC83957.1.A7	55
ABW17376.1.A2	56
ABW17376.1.A6	57
WP_019634550.1.A1	58
Ga0173608_11675.A7	59
Ga0173608_11675.A9	59
Ga0173608_112187.A6	59
Ga0173608_111989.A6	59
AHB38497.1.A2	60
ABC36785.1.A3	61
AFR69334.1.A3	61
