domain	clade
BAO73252.1.A1	0
QCC62999.1.A5	1
QCC62999.1.A4	1
QCC62999.1.A6	1
CBF73453.1.A1	2
FGSG_15673.A3	2
ESU17760.1.A6	3
ESU17760.1.A4	4
ESU15173.1.A1	5
BN849_0052030.A1	5
EXU96269.1.A4	6
CRG85572.1.A1	7
EXU96269.1.A3	8
EXU96269.1.A7	8
CRG85572.1.A4	9
astN.A4	9
AGO86662.1.A1	10
OJJ98497.1.A1	11
AAM78457.1.A10	12
AAP92491.1.A2	13
ABR67744.1.A1	13
AAP92491.1.A1	13
BAE98155.1.A1	14
BAI63288.1.A1	14
BAV56270.1.A3	14
QWM97319.1.A3	14
WP_018540603.1.A1	15
WP_030498974.1.A1	16
EWM63002.1.A1	16
AYA44686.1.A2|AYA44686.1.A3	16
EWS95122.1.A1	17
ABV56588.1.A2	18
AEP18656.1.A1	19
AEP18656.1.A3	19
QNH85840.1.A4	19
BolH.A4	19
AET98906.1.A1	20
WP_047197778.1.A1	20
WP_047197779.1.A1	20
AVI26393.1.A2	20
BAC67535.1.A4|Q84BQ5.A4	21
BAC67536.1.A2|Q84BQ4.A2	21
AHY86403.1.A1	21
AEH59100.1.A7	21
AFH75329.1.A4	21
AFH75330.1.A3	21
AAY91420.2.A4	21
AAY91421.3.A3	21
CAY48789.1.A2	21
KPN90376.1.A8	21
WP_064118559.1.A2	21
WP_064118560.1.A4	21
ABA73955.1.A5	21
ABA73956.1.A3	21
QDF82255.1.A4	21
QDF82259.1.A2	21
AXA91302.1.A2	21
AXA94654.1.A1	21
QNL34617.1.A4	21
AFZ61526.1.A2	21
KPN93064.1.A3	21
AGE11899.1.A1	22
CAD17792.1.A4	23
CAD17793.1.A2	23
AAY37647.1.A1	23
AAO72425.1.A6|AAY37647.1.A2|Q83VS0.A9	23
AED90002.1.A1	23
CDF96614.1.A1	23
KPN93063.1.A9	23
KPN93065.1.A1	23
AF047828.1.A2|O85168.A2	23
AF047828.1.A1|O85168.A1	23
WP_053065269.1.A2	24
WP_019032755.1.A2	24
WP_082191961.1.A2	24
QPI18727.1.A2	24
CAK15814.1.A3	25
CAK15815.1.A8	25
ABW17376.1.A4	25
ABW17376.1.A7	25
ABW17377.1.A3	25
AGM14933.1.A5	25
BCJ07532.1.A3	25
AFJ23825.1.A4	25
AFJ23826.1.A2	25
ABH06368.2.A4	26
ABH06369.2.A2	26
CAY48788.1.A4	26
AHZ34243.1.A5	26
AFZ61525.1.A4	26
AGE25479.1.A4	26
AGE25480.1.A3	26
ANQ43349.1.A3	26
CCJ67636.1.A3	26
AFH75320.1.A3	26
CCJ67637.1.A3	26
APU91750.1.A3	26
APU91750.1.A6	26
WP_100939443.1.A2	26
ANQ43348.1.A4	27
B7X8D7.A1|BAH04162.1.A1	28
AAZ55899.1.A1	29
ADJ63842.1.A3	30
ADJ63842.1.A6	30
CAQ71829.1.A2	31
NSC20093.1.A1	32
OKJ61999.1.A1	32
AAG06715.1.A1|NP_252017.1.A1	32
WP_014143997.1.A1	32
WP_051462298.1.A1	32
AHD05677.1.A2	32
AFJ14795.1.A1	32
AHF21228.1.A4	32
AHF21228.1.A6	32
AHD05618.1.A1	32
WP_129549303.1.A4	32
WP_129549209.1.A3	32
RAT94090.1.A1	32
ATY37609.1.A3	32
ATO51563.1.A2	32
WP_129549303.1.A6	32
WP_013310342.1.A1	32
ABS74179.1.A1|CAE11248.1.A1	32
BAB69700.1.A2	32
AAF08797.1.A1	32
AAN07014.1.A1	32
Q93I54.A2	32
Q9R9I9.A1	32
AGM16412.1.A5	32
AGM16413.1.A3	32
CAJ76292.1.A1	32
WP_039806852.1.A1	33
WP_039806856.1.A2	33
ABX37382.1.A3	33
AAO55666.1.A2|Q884E4.A2	33
NAO96318.1.A1	33
NAO96319.1.A1	33
NAO96319.1.A2	33
NAO96320.1.A3	33
AAX16297.1.A1	33
AAX16297.1.A3	33
AAO55667.1.A2|Q884E3.A2	33
AAX16327.1.A1	33
BBA21073.1.A1	34
WP_016638469.1.A2	34
AAT09805.1.A1	34
BAP05591.1.A1	34
Q4U445.A1	34
ctg1_orf1265.A1	34
ctg1_orf1264.A3	34
QNH67551.1.A2	35
