domain	clade
WP_078586793.1.A1	0
AID65224.1.A2	1
ACZ55946.1.A1	2
AAC06348.1.A2|O68008.A2	3
AFJ14794.1.A3	4
CUX79061.1.A1	5
AEZ51516.1.A1	6
AHF21228.1.A9	7
WP_043882190.1.A3	8
AGZ03650.1.A1	9
BAH43765.1.A3	9
AAC45929.1.A3|O30408.A3	9
BAA00406.1.A1|P14687.A1	9
BAH43764.1.A1	9
CAA31623.1.A1|P09095.A1	9
BAH43765.1.A2	10
AAC45929.1.A2|O30408.A2	10
AEC14347.1.A1	11
AEC14348.1.A1	11
Ga0173608_111498.A3	12
Ga0173608_111474.A4	12
Ga0173608_111792.A1	12
Ga0173608_112008.A2	12
Ga0173608_112008.A8	12
Ga0173608_112187.A1	13
Ga0173608_111474.A1	13
Ga0173608_11675.A11	14
A7UC77.A1|ABS87601.1.A1|EAL85113.2.A1	15
EAW09117.1.A1	16
QNH68024.1.A1	17
smbA.A1	17
EAL88817.1.A1	18
EAU36744.1.A1|XP_001212648.1.A1	19
KAF7597140.1.A1	20
CEO59272.1.A1	20
ACJ04424.1.A3|ACJ04424.1.A4|B6SF67.A3|B6SF67.A4	21
ctg1_37.A2	22
ACI30655.1.A2	23
EJP62835.1.A2	24
EJP62835.1.A1	25
EGX96627.1.A1	25
XP_003044554.1.A1	26
CAP93139.1.A3	27
CAB39315.1.A2|O94205.A2	27
CBF87869.1.A1	28
WP_044618979.1.A1	29
WP_013184596.1.A2	30
WP_013184596.1.A3	30
OAL11436.1.A1	31
QOE83924.1.A1	31
AAU34202.1.A3|Q643C7.A3	32
ALG65318.1.A2	33
QBA57736.1.A2	33
ALK27916.1.A2	34
BAX90000.1.A3	35
AIW58892.1.A12	36
QGA70148.1.A11	37
A8M6W3.A2|ABW00331.1.A4	38
WP_015507661.1.A2	39
CAA72310.1.A2|O05647.A2	40
QNH67550.1.A2	41
QWM97319.1.A5	41
AEP18656.1.A5	41
BAV56270.1.A5	41
QDJ74273.1.A4	41
AEA30273.1.A1	41
DAB41477.1.A2	42
QEO74983.1.A1	43
QEO75077.1.A1	43
WP_054234643.1.A1	44
WP_010350605.1.A1	45
CAA67249.1.A2|O07944.A2	46
QED88054.1.A1	47
AAT01806.1.A1|CAB55600.1.A1|Q9RLP6.A1	48
CAJ77695.1.A1	48
CAJ77715.1.A1	48
AAD44233.1.A1	49
CCP42826.1.A2	49
AAY37647.1.A6	50
AF047828.1.A6|O85168.A6	50
AYA22335.1.A1	51
EHA27898.1.A1|PYH50506.1.A1	52
AAN32981.1.A1|Q8GAQ3.A1	53
ACC81021.1.A1	54
WP_051206727.1.A1	55
ABI26078.1.A4	56
AAZ03552.1.A3	57
AEU11003.1.A2	58
PHM26612.1.A2	59
AJF34463.1.A1	60
AVI26393.1.A3	61
ANI24100.1.A3	62
YP_856988.1.A1	62
AEH59099.1.A3	63
WP_013428774.1.A2	64
PHM49485.1.A3	65
PHM49485.1.A5	65
