domain	clade
ARO38317.1.A2	0
CAD70195.1.A2	1
CDN62030.1.A1	2
CAD92849.1.A1	3
ABQ96384.2.A3	4
ABV79986.1.A1	5
ACZ55943.1.A1	6
WP_234859472.1.A3	7
ATY37592.1.A2	8
ATY37591.1.A1	9
ATY37590.1.A3	10
AAY29580.1.A3	11
AAY29580.1.A2	12
ATY37590.1.A2	13
WP_234859471.1.A3	14
WP_234859472.1.A1	14
WP_234859472.1.A5	14
AEC14349.1.A1	15
ATD05720.1.A1|ERG36783.1.A1|WP_010369428.1.A1	15
CCB53264.1.A1	15
CCB53267.1.A1	15
Ga0173608_111989.A7	16
Ga0173608_111792.A4	16
Ga0173608_112008.A4	16
Ga0173608_11674.A13	16
Ga0173608_11675.A10	16
Ga0173608_11676.A3	16
Ga0173608_11676.A1	16
Ga0173608_11676.A4	16
MAA_10043.A5	17
ACJ04424.1.A2|ACJ04424.1.A7|ACJ04424.1.A9|B6SF67.A2|B6SF67.A7|B6SF67.A9	18
CAA79245.2.A2|Q00869.A2	19
CAA82227.1.A9|Q09164.A11|ctg1_orf003.A9	20
ATQ39428.1.A9	20
CAA82227.1.A4|Q09164.A6|ctg1_orf003.A4	20
ATQ39428.1.A4	20
BBC83957.1.A4	21
BBC83957.1.A3|BBC83957.1.A6	21
BBC83957.1.A9	21
ClsI.A1	22
AAM78457.1.A4	23
AQM58286.1.A1	24
BAO73252.1.A6	25
AN2545.A2|CBF87069.1.A2	26
CBF87869.1.A2	27
XP_003044554.1.A4	28
ESU17760.1.A5	29
CAP93139.1.A4	30
CBF87869.1.A4	30
AAA63415.1.A3|ABA70582.1.A3|ABR12615.1.A3|P19787.A3|P26046.A3	31
AAA03914.1.A3|P27742.A3	31
KFH48607.1.A3|P25464.A3	31
AAK1902.1.A3|AAK21902.1.A3|Q9C1G0.A3	31
BAA08846.1.A3|P94873.A3	31
EDY47118.1.A3	31
CAA40561.1.A3|P27743.A3	31
ABW00331.1.A5	32
AKC91849.1.A1	33
AKC91856.1.A1	33
EFE73312.1.A5	34
AKA59447.1.A2	35
QUS58936.1.A1	36
QKM21619.1.A1	37
QKM21620.1.A2	37
NHN68324.1.A1	37
NHN68325.1.A2	37
CAD17793.1.A1	38
WP_011146892.1.A15	39
WP_011146892.1.A7	39
WP_011146892.1.A14	39
WP_011146892.1.A9	39
WP_011146892.1.A4	39
WP_011146892.1.A11	39
CBJ90082.1.A1	40
CBJ90082.1.A3	41
CBJ90082.1.A4	41
AFJ23825.1.A2	42
ABW17376.1.A5	42
CAK15815.1.A5	42
CAK15814.1.A1	42
CAK15815.1.A2	42
BCJ07532.1.A4	42
AGM14933.1.A6	42
AGM14933.1.A2	42
BCJ07533.1.A2	42
AFH75321.1.A6	42
APU91750.1.A12	42
AFH75320.1.A5	42
AFH75321.1.A3	42
AFH75321.1.A2	42
APU91750.1.A8	42
APU91750.1.A5	42
APU91750.1.A9	42
CCJ67639.1.A3	42
CCJ67638.1.A2	42
