domain	clade
QKF54440.2.A1|UEF20583.1.A1	0
CCJ67646.1.A2	1
QDA77059.1.A3	2
AID65225.1.A1	3
C0LTL8.A1	4
ATY37591.1.A4	5
ATY37608.1.A2	6
WP_043882190.1.A4	7
ATO51563.1.A1	8
AHD05678.1.A1	9
AAF08796.1.A1|Q9R9J0.A1	9
AAN07013.1.A1	9
ABS74180.1.A1|CAE11249.1.A1	9
BAB69699.1.A1|Q93I55.A1	9
ABS74208.1.A1	10
CAA84361.1.A1|P39846.A1	10
CAA09819.1.A1|O87704.A1	10
ABS74206.1.A3	10
CAA84363.1.A3|P94459.A3	10
AAB80955.2.A3|O30980.A3	10
BAH43766.1.A3	11
O30409.A3	11
AHI59110.1.A1	12
Ga0173608_111989.A3	13
Ga0173608_111792.A6	13
Ga0173608_111498.A1	13
Ga0173608_112187.A3	13
Ga0173608_112187.A5	13
QXF14600.1.A1	14
AAV66110.2.A1	15
KKP04599.1.A1	16
EPS34234.1.A1	16
EAA67034.1.A1	16
CAL69597.1.A1	17
gene3.A1|iliA.A1	17
QBQ83704.1.A1	17
QVQ62857.1.A1	18
EKJ70673.1.A5	19
BAO73252.1.A5	19
XP_002379984.1.A2	20
CAP93139.1.A1	21
ADL64235.1.A2	22
AFK57221.1.A1	23
AGC65517.1.A1	24
AGC65515.1.A2	24
ALG65319.1.A2	25
QBA57735.1.A2	25
WP_003981346.1.A1	26
WP_003981346.1.A2	26
AZM57024.1.A2	27
AAK81826.1.A3|Q93N87.A3	28
WP_126902739.1.A3	28
CAD91212.1.A3|Q7WZ74.A3	29
QYC40289.1.A3	29
AAM80537.1.A3|Q8KLL5.A3	29
CAE53352.1.A3|CAG15011.1.A3|Q70AZ7.A3	30
AGS77309.1.A3	30
AQZ69228.1.A3	31
CAE53350.1.A2|CAG15009.1.A2|Q70AZ9.A2	32
CAD91220.1.A2|Q7WZ66.A2	32
QYC40287.1.A2	32
AGS77307.1.A2	32
AAM80539.1.A2|Q8KLL3.A2	32
RSO11554.1.A3	33
MCC5036785.1.A3	33
WP_125938384.1.A3	33
AZM57024.1.A3	33
QNH67550.1.A4	34
QNH67551.1.A3	34
CAI94718.1.A2	35
AAU34203.1.A1	36
QED55423.1.A3	36
QBC75021.1.A4	37
AJV88375.1.A3	38
WP_054234617.1.A1	39
WP_054234617.1.A2	39
EWS95124.1.A4	40
CAC48369.1.A1|Q939Y2.A1	41
OKA09664.1.A1	41
AIE77076.1.A1	41
AIG79224.1.A1	41
OLZ50899.1.A1	41
AYA22318.1.A1	41
OLZ52442.1.A1	41
AEI58879.1.A1	41
EME52974.1.A1	41
QBG38782.1.A3	42
QKF54435.2.A1	43
UEF20592.1.A1	43
UEF20591.1.A1	43
QKF54435.2.A2	43
AAO72425.1.A12|Q83VS0.A4	44
AGC65513.1.A1	45
ABM21571.1.A1	46
ACZ55942.1.A1	47
CAC01604.1.A4	48
AAZ03552.1.A4	49
BAH22764.1.A4	49
AAO23333.1.A1	50
AAF17281.1.A1|Q9RAH1.A1	51
WP_012408786.1.A1	51
CAJ46692.1.A2	52
B9ZUK5.A1|CAQ43084.1.A1	52
QWP75305.1.A6	53
CAD17792.1.A3	54
QUS58939.1.A1	55
A6P624.A1	55
AHZ20773.1.A2	56
CZT62785.1.A2	56
QDA77045.1.A2	57
QDA77045.1.A5	57
QDA77059.1.A6	57
WP_013428324.1.A3	58
CBW75451.1.A3|QIH29229.1.A3	58
CBW75451.1.A2|QIH29229.1.A2	58
WP_011146892.1.A5	59
ABF87031.1.A8|YP_631961.1.A7	60
AAY93445.1.A3	61
AHZ20784.1.A2	62
