domain	clade
ADM34138.1.A1	0
ACJ04424.1.A5|B6SF67.A5	1
AFUA_8G00170.A1|BAH23995.1.A1	2
AGC83576.1.A1	2
AFH75320.1.A2	3
KPN93063.1.A2	3
APU91750.1.A2	3
CCJ67636.1.A2	3
AHZ34238.1.A2	3
QUS58938.1.A2	4
ADZ24999.1.A1	5
AXN93592.1.A2	5
AXN93605.1.A2	5
Ga0173608_11676.A5	6
Ga0173608_112053.A2	7
Ga0173608_111990.A4	8
Ga0173608_111498.A5	9
Ga0173608_112008.A10	10
Ga0173608_111792.A2	11
WP_051462298.1.A2	11
ALV86868.1.A2	11
Ga0173608_112008.A5	11
AIW82277.1.A2	12
AXN93575.1.A2|AXN93584.1.A2	12
ADA69239.2.A2	13
AHD05678.1.A4	14
CDG17980.1.A1	14
CDG17982.1.A3	14
AEU11003.1.A1	14
AEU11003.1.A4	14
ABS74180.1.A3|CAE11249.1.A3	14
ABS74206.1.A1	14
BAB69699.1.A4|Q93I55.A4	14
AAF08796.1.A4|Q9R9J0.A4	14
APZ78744.1.A2	14
APZ78756.1.A2	14
AQM37584.1.A2	14
APZ78769.1.A2	14
APZ78782.1.A2	14
APZ78795.1.A2	14
APZ78809.1.A2	14
AVR48535.1.A2	14
QKM21620.1.A4	14
AAN07013.1.A3	14
CAA84363.1.A1|P94459.A1	14
AAF17281.1.A2	14
APZ78729.1.A3	14
WP_012408786.1.A2	14
Q9RAH1.A2	14
AHJ31215.1.A2	14
AAB80955.2.A1|O30980.A1	14
WP_013184463.1.A3	15
SOV25620.1.A3	15
CAA43838.1.A1	15
BAH43765.1.A1	15
AAC45929.1.A1|O30408.A1	15
BAA06146.1.A1|P0C063.A1|Q44928.A1	15
ATD51279.1.A1	16
AEG64698.1.A2	17
AGM16413.1.A5	17
AAF99707.2.A2	17
AXA91301.1.A1	17
AXA91302.1.A1	17
Q9FDB3.A2	17
CAM56771.1.A2	18
QED55422.1.A3	18
QUS58936.1.A2	18
ADQ74618.1.A1	18
ATJ34002.1.A1	18
WP_004571777.1.A2	18
AXM43052.1.A3	18
AXA91302.1.A3	18
NHN68325.1.A4	18
AEA30273.1.A2	19
ALV86867.1.A3	19
QBC75022.1.A3	19
QBG38783.1.A2	19
CAA67249.1.A1|O07944.A1	19
CAA72310.1.A1|O05647.A1	19
ATD51280.1.A1	19
CDF96614.1.A2	20
AFK57214.1.A1	21
AFK57220.1.A1	21
ADG27359.1.A1|Q9L8H4.A1	21
AKC91856.1.A2	21
QED88054.1.A3	22
QED88055.1.A2	22
WP_078889006.1.A1	22
AWI62627.1.A1	23
ACR33075.1.A1	24
CBW75455.1.A1|QIH29226.1.A1	24
MBA5221218.1.A1	24
AGC24265.1.A1	24
AWS21276.1.A1|AZY92000.1.A1	24
AEH42484.1.A1	25
ACN69986.1.A1	25
ADZ24989.1.A1	25
ATG32071.1.A1	25
AXG22420.1.A1	25
CDG76959.1.A1	26
BAO73252.1.A3	27
AGQ43600.1.A1	28
AAA33023.2.A1|Q01886.A1	28
CRG85572.1.A2	29
astN.A2	29
MAA_10043.A3	30
CBW75453.1.A2|QIH29228.1.A2	31
CAB39315.1.A3|O94205.A3	32
AAT28740.1.A1	33
Q9KWY7.A1	34
PHM26613.1.A2	35
WP_064118616.1.A1	36
AAM78457.1.A13	37
AGA37267.1.A1	38
AFUA_8G00170.A2|BAH23995.1.A2	39
