domain	clade
CAB39315.1.A2|O94205.A2	0
WP_013184596.1.A2	1
WP_013184596.1.A3	1
AEH59099.1.A3	2
AJF34463.1.A1	2
QEO74983.1.A1	3
CBF87869.1.A1	4
AAU34202.1.A3|Q643C7.A3	5
PHM26612.1.A2	6
AAC06348.1.A2|O68008.A2	7
WP_044618979.1.A1	7
WP_013428774.1.A2	7
AAD44233.1.A1	8
A8M6W3.A2|ABW00331.1.A4	8
AEA30273.1.A1	8
AAN32981.1.A1|Q8GAQ3.A1	8
DAB41477.1.A2	8
ALK27916.1.A2	8
ALG65318.1.A2	8
AIW58892.1.A12	8
WP_015507661.1.A2	8
AVI26393.1.A3	8
QED88054.1.A1	8
WP_054234643.1.A1	8
WP_010350605.1.A1	8
QNH67550.1.A2	8
QDJ74273.1.A4	8
QGA70148.1.A11	8
QBA57736.1.A2	8
CAA72310.1.A2|O05647.A2	8
CCP42826.1.A2	9
AAT01806.1.A1|CAB55600.1.A1|Q9RLP6.A1	10
CAJ77695.1.A1	11
CAJ77715.1.A1	11
AFJ14794.1.A3	12
AGZ03650.1.A1	12
BAH43764.1.A1	12
BAH43765.1.A3	12
ACC81021.1.A1	12
BAA00406.1.A1|P14687.A1	12
CAA31623.1.A1|P09095.A1	12
A7UC77.A1|ABS87601.1.A1|EAL85113.2.A1	13
AAZ03552.1.A3	14
AEP18656.1.A5	14
AEU11003.1.A2	14
WP_051206727.1.A1	14
BAV56270.1.A5	14
QWM97319.1.A5	14
CAA67249.1.A2|O07944.A2	15
AID65224.1.A2	16
AYA22335.1.A1	17
ACZ55946.1.A1	18
ABI26078.1.A4	18
AAC45929.1.A3|O30408.A3	18
AEZ51516.1.A1	19
WP_043882190.1.A3	19
AHF21228.1.A9	20
ACJ04424.1.A3|ACJ04424.1.A4|B6SF67.A3|B6SF67.A4	21
QEO75077.1.A1	22
ACI30655.1.A2	23
ctg1_37.A2	23
EJP62835.1.A1	23
EGX96627.1.A1	23
XP_003044554.1.A1	23
AEC14347.1.A1	24
KAF7597140.1.A1	25
CEO59272.1.A1	25
CAP93139.1.A3	26
EAW09117.1.A1	27
PHM49485.1.A5	28
PHM49485.1.A3	28
WP_078586793.1.A1	29
EAU36744.1.A1|XP_001212648.1.A1	30
CUX79061.1.A1	31
Ga0173608_11675.A11	32
Ga0173608_111792.A1	32
Ga0173608_112187.A1	32
Ga0173608_111498.A3	32
Ga0173608_111474.A1	32
Ga0173608_111474.A4	32
Ga0173608_112008.A2	32
Ga0173608_112008.A8	32
BAH43765.1.A2	33
AAC45929.1.A2|O30408.A2	33
BAX90000.1.A3	34
AEC14348.1.A1	35
AAY37647.1.A6	36
AF047828.1.A6|O85168.A6	36
QOE83924.1.A1	37
OAL11436.1.A1	37
EJP62835.1.A2	37
QNH68024.1.A1	38
smbA.A1	39
EHA27898.1.A1|PYH50506.1.A1	40
YP_856988.1.A1	41
ANI24100.1.A3	42
EAL88817.1.A1	43
