domain	clade
CCB53264.1.A2	0
WP_129549303.1.A5	1
AHF21228.1.A5	2
WP_043882190.1.A1	3
ATO51563.1.A4	4
ATY37608.1.A3	5
ATY37608.1.A8	5
AGZ03651.1.A2	6
Ga0173608_111990.A6	7
Ga0173608_111989.A4	7
Ga0173608_112053.A1	8
WP_234859472.1.A2	9
EAQ93004.1.A1|XP_001220460.1.A1	10
AFA26384.1.A1|BAI43678.1.A1	11
B6F209.A1	11
A8KNE2.A1|CAO91861.1.A1	12
QXJ21808.1.A3	13
EAL92291.2.A1	14
OJJ96433.1.A1	14
chaP_not_in_genbank.A2	15
EAU39346.1.A1	16
AGC83576.1.A2	17
ADM34138.1.A2	17
AGA37267.1.A2	18
ctg16_307.A2	18
AGA37269.1.A2	18
EAL89049.1.A2	19
ADY16697.1.A2	19
EAU29302.1.A2	20
AFI_55290.A2	20
CAP96445.1.A1	21
BBB04327.1.A1	21
XP_020057667.1.A1	21
XP_002379984.1.A1	22
DAD54576.1.A1	23
WP_015507663.1.A1	24
A8M6W3.A1|ABW00331.1.A1	25
CAD55498.1.A2|Q8CJX2.A2	26
ALV82388.1.A2	26
CAB38518.1.A3|Q9Z4X6.A3	26
ALV82356.1.A3	26
AAT12283.1.A2	27
AFO85453.1.A2	27
BAE98162.1.A1	28
BAI63283.1.A1	28
AET98916.1.A1	28
BAH04173.1.A1	28
AAZ23075.1.A1|Q45R85.A1	29
AAX31557.1.A1|Q50E74.A1	29
AHH53506.1.A1	29
AEA30273.1.A4	30
AJW76711.1.A1	30
CBZ42146.1.A3	30
AAK81824.1.A2|Q93N89.A2	30
WP_126900393.1.A2	30
AZM57022.1.A3	30
WP_125938383.1.A1	30
RSO11556.1.A2	30
MCC5036783.1.A1	30
AQZ71347.1.A1	30
QBG38784.1.A3	31
AEP18655.1.A3	32
BAV56271.1.A3	32
QWM97320.1.A3	32
CAJ46692.1.A1	33
CAD92852.1.A3	33
CAD92851.1.A5	33
CAD92851.1.A3	33
CAD92852.1.A1	33
AHB82058.1.A2	34
AHB82071.1.A2	34
BAW32323.1.A2	35
BAW32333.1.A2	35
CAE15497.1.A5	36
