domain	clade
WP_078586793.1.A1	0
QKF54440.2.A1|UEF20583.1.A1	1
CCJ67646.1.A2	2
KFL51885.1.A1	3
QDA77059.1.A3	3
AID65224.1.A2	3
AID65225.1.A1	3
C0LTL8.A1	4
CCB53264.1.A2	5
ATY37591.1.A4	6
ACZ55946.1.A1	7
AAC06348.1.A3|O68008.A3	7
AAC06348.1.A2|O68008.A2	7
AFJ14794.1.A3	8
CUX79061.1.A1	9
AEZ51516.1.A1	10
ATY37608.1.A2	11
WP_129549303.1.A5	11
AHF21228.1.A5	11
AHF21228.1.A9	11
WP_043882190.1.A4	11
WP_043882190.1.A1	11
WP_043882190.1.A3	11
ATO51563.1.A1	12
ATO51563.1.A4	13
AGZ03650.1.A1	14
BAH43765.1.A3	14
AAC45929.1.A3|O30408.A3	14
BAA00406.1.A1|P14687.A1	14
BAH43764.1.A1	14
CAA31623.1.A1|P09095.A1	14
ATY37608.1.A3	15
ATY37608.1.A8	15
AGZ03651.1.A2	15
AHD05678.1.A1	15
AAF08796.1.A1|Q9R9J0.A1	15
AAN07013.1.A1	15
ABS74180.1.A1|CAE11249.1.A1	15
BAB69699.1.A1|Q93I55.A1	15
ABS74208.1.A1	16
CAA84361.1.A1|P39846.A1	16
CAA09819.1.A1|O87704.A1	16
ABS74206.1.A3	16
CAA84363.1.A3|P94459.A3	16
AAB80955.2.A3|O30980.A3	16
BAH43766.1.A3	17
O30409.A3	17
BAH43765.1.A2	17
AAC45929.1.A2|O30408.A2	17
AHI59110.1.A1	18
AEC14347.1.A1	19
AEC14348.1.A1	19
Ga0173608_111498.A3	20
Ga0173608_111474.A4	20
Ga0173608_111792.A1	20
Ga0173608_112008.A2	20
Ga0173608_112008.A8	20
Ga0173608_112187.A1	21
Ga0173608_111474.A1	21
Ga0173608_111989.A3	22
Ga0173608_111792.A6	22
Ga0173608_111498.A1	22
Ga0173608_112187.A3	22
Ga0173608_112187.A5	22
Ga0173608_111990.A6	23
Ga0173608_111989.A4	23
Ga0173608_112053.A1	24
Ga0173608_11675.A11	25
WP_234859472.1.A2	26
A7UC77.A1|ABS87601.1.A1|EAL85113.2.A1	27
QXF14600.1.A1	28
AAV66110.2.A1	29
EAW09117.1.A1	30
EAQ93004.1.A1|XP_001220460.1.A1	31
QNH68024.1.A1	32
smbA.A1	32
KKP04599.1.A1	32
EPS34234.1.A1	32
EAA67034.1.A1	32
AFA26384.1.A1|BAI43678.1.A1	32
B6F209.A1	32
A8KNE2.A1|CAO91861.1.A1	32
CAL69597.1.A1	32
gene3.A1|iliA.A1	32
QBQ83704.1.A1	32
QXJ21808.1.A3	33
EAL92291.2.A1	34
OJJ96433.1.A1	34
EAL88817.1.A1	34
chaP_not_in_genbank.A2	34
EAU36744.1.A1|XP_001212648.1.A1	35
KAF7597140.1.A1	36
CEO59272.1.A1	36
EAU39346.1.A1	37
QVQ62857.1.A1	38
ACJ04424.1.A3|ACJ04424.1.A4|B6SF67.A3|B6SF67.A4	39
ctg1_37.A2	40
ACI30655.1.A2	41
AGC83576.1.A2	42
ADM34138.1.A2	42
EKJ70673.1.A5	43
BAO73252.1.A5	43
EJP62835.1.A2	44
EJP62835.1.A1	45
EGX96627.1.A1	45
AGA37267.1.A2	46
ctg16_307.A2	46
AGA37269.1.A2	46
EAL89049.1.A2	47
ADY16697.1.A2	47
EAU29302.1.A2	48
AFI_55290.A2	48
CAP96445.1.A1	49
BBB04327.1.A1	49
XP_020057667.1.A1	49
CAP96445.1.A2	50
XP_002379984.1.A1	51
XP_002379984.1.A2	52
XP_003044554.1.A1	53
CAP93139.1.A3	54
CAB39315.1.A2|O94205.A2	54
CAP93139.1.A1	55
CBF87869.1.A1	55
DAD54576.1.A1	56
WP_044618979.1.A1	57
WP_013184596.1.A2	58
WP_013184596.1.A3	58
ADL64235.1.A2	59
CBL93720.1.A1	60
AFK57221.1.A1	61
AGC65517.1.A1	62
AGC65515.1.A2	62
CBL93718.1.A2	62
OAL11436.1.A1	63
QOE83924.1.A1	63
AAU34202.1.A3|Q643C7.A3	64
ALG65319.1.A2	65
QBA57735.1.A2	65
ALG65318.1.A2	65
QBA57736.1.A2	65
WP_003981346.1.A1	66
WP_003981346.1.A2	66
ALK27916.1.A2	67
AZM57024.1.A2	67
AAK81826.1.A3|Q93N87.A3	67
WP_126902739.1.A3	67
CAD91212.1.A3|Q7WZ74.A3	67
QYC40289.1.A3	67
AAM80537.1.A3|Q8KLL5.A3	67
CAE53352.1.A3|CAG15011.1.A3|Q70AZ7.A3	67
AGS77309.1.A3	67
CAC48361.1.A3|Q939Z0.A3	67
OKA09424.1.A3	67
AEI58866.1.A3	67
EME52989.1.A3	67
CAA11795.1.A3|O52820.A3	67
AIE77059.1.A3	67
AIG79241.1.A3	67
AHF20584.1.A3	67
OLZ52457.1.A3	67
OLZ50885.1.A3	67
AYA22334.1.A3	67
AQZ69228.1.A3	67
BS330_28385.A2	67
AYA22336.1.A2	67
BS329_14150.A2	67
AIE77057.1.A2	67
AIG79243.1.A2	67
AHF20582.1.A2	67
CAA11794.1.A2|O52819.A2	67
AEI58865.1.A2	67
EME52990.1.A2	67
OKA09423.1.A2	67
CAC48360.1.A2|Q939Z1.A2	67
CAE53350.1.A2|CAG15009.1.A2|Q70AZ9.A2	67
CAD91220.1.A2|Q7WZ66.A2	67
QYC40287.1.A2	67
AGS77307.1.A2	67
AAM80539.1.A2|Q8KLL3.A2	67
RSO11554.1.A3	67
MCC5036785.1.A3	67
WP_125938384.1.A3	67
AZM57024.1.A3	67
QNH67550.1.A4	68
QNH67551.1.A3	68
WP_015507663.1.A1	69
CAI94718.1.A2	70
BAX90000.1.A3	70
AIW58892.1.A12	71
QGA70148.1.A11	72
A8M6W3.A2|ABW00331.1.A4	73
A8M6W3.A1|ABW00331.1.A1	74
AAU34203.1.A1	75
QED55423.1.A3	75
WP_015507661.1.A2	76
AGE11898.1.A1	77
CAD55498.1.A2|Q8CJX2.A2	77
ALV82388.1.A2	77
CAB38518.1.A3|Q9Z4X6.A3	77
ALV82356.1.A3	77
QBC75021.1.A4	77
CAA72310.1.A2|O05647.A2	77
QNH67550.1.A2	77
QWM97319.1.A5	77
AEP18656.1.A5	77
BAV56270.1.A5	77
QDJ74273.1.A4	77
AEA30273.1.A1	77
DAB41477.1.A2	77
AJV88375.1.A3	77
QEO74983.1.A1	77
QEO75077.1.A1	77
WP_054234643.1.A1	77
WP_054234617.1.A1	77
WP_054234617.1.A2	77
WP_010350605.1.A1	77
AAT12283.1.A2	77
AFO85453.1.A2	77
EWS95124.1.A4	77
CAC48369.1.A1|Q939Y2.A1	77
OKA09664.1.A1	77
AIE77076.1.A1	77
AIG79224.1.A1	77
OLZ50899.1.A1	77
AYA22318.1.A1	77
OLZ52442.1.A1	77
AEI58879.1.A1	77
EME52974.1.A1	77
CAA67249.1.A2|O07944.A2	77
BAE98162.1.A1	78
BAI63283.1.A1	78
AET98916.1.A1	78
BAH04173.1.A1	78
AAZ23075.1.A1|Q45R85.A1	79
AAX31557.1.A1|Q50E74.A1	79
AHH53506.1.A1	79
AEA30273.1.A4	80
AJW76711.1.A1	80
CBZ42146.1.A3	80
AAK81824.1.A2|Q93N89.A2	80
WP_126900393.1.A2	80
AZM57022.1.A3	80
WP_125938383.1.A1	80
RSO11556.1.A2	80
MCC5036783.1.A1	80
AQZ71347.1.A1	80
QBG38784.1.A3	81
QBG38782.1.A3	82
QED88054.1.A1	83
QKF54435.2.A1	84
UEF20592.1.A1	84
UEF20591.1.A1	84
QKF54435.2.A2	84
AEP18655.1.A3	85
BAV56271.1.A3	85
QWM97320.1.A3	85
AAT01806.1.A1|CAB55600.1.A1|Q9RLP6.A1	86
CAJ77695.1.A1	86
CAJ77715.1.A1	86
AAD44233.1.A1	87
CCP42826.1.A2	87
AAO72425.1.A12|Q83VS0.A4	88
AAY37647.1.A6	88
AF047828.1.A6|O85168.A6	88
AYA22335.1.A1	89
CBL93723.1.A1	90
EHA27898.1.A1|PYH50506.1.A1	91
AGC65513.1.A1	92
ABM21571.1.A1	93
AAN32981.1.A1|Q8GAQ3.A1	94
ACZ55942.1.A1	94
ACC81021.1.A1	94
WP_051206727.1.A1	95
CAC01604.1.A4	95
ABI26078.1.A4	95
AAZ03552.1.A4	95
BAH22764.1.A4	95
AAZ03552.1.A3	96
AAO23333.1.A1	96
AEU11003.1.A2	96
AAF17281.1.A1|Q9RAH1.A1	97
WP_012408786.1.A1	97
CAJ46692.1.A1	98
CAD92852.1.A3	98
CAD92851.1.A5	98
CAD92851.1.A3	98
CAD92852.1.A1	98
CCM44336.1.A2	99
PHM26612.1.A2	99
CAJ46692.1.A2	100
B9ZUK5.A1|CAQ43084.1.A1	100
AJF34463.1.A1	101
QWP75305.1.A6	101
CAD17792.1.A3	102
AVI26393.1.A3	103
QUS58939.1.A1	104
A6P624.A1	104
AHB82058.1.A2	104
AHB82071.1.A2	104
AHZ20773.1.A2	104
CZT62785.1.A2	104
QDA77045.1.A2	104
QDA77045.1.A5	104
QDA77059.1.A6	104
BAW32323.1.A2	105
BAW32333.1.A2	105
ANI24100.1.A3	105
YP_856988.1.A1	105
AEH59099.1.A3	106
WP_013428774.1.A2	107
WP_013428324.1.A3	107
CBW75451.1.A3|QIH29229.1.A3	107
CBW75451.1.A2|QIH29229.1.A2	107
WP_011146892.1.A5	108
CAE15497.1.A5	109
PHM49485.1.A3	109
PHM49485.1.A5	109
ABF87031.1.A8|YP_631961.1.A7	110
AAY93445.1.A3	111
AHZ20784.1.A2	112
WP_013184462.1.A1	113
SOV25621.1.A1	113
ACG60782.1.A2	113
ABL74936.1.A2	113
AAG02355.1.A2	113
WP_078587912.1.A2	113
AED90002.1.A5	113
CCJ67648.1.A2	113
