domain	clade
AKL78825.1.A1	0
AHD05615.1.A1	1
CAA82227.1.A7|Q09164.A9|ctg1_orf003.A7	2
ATQ39428.1.A7	2
AN2545.A1|CBF87069.1.A1	2
ASX95241.1.A4	3
BBA20967.1.A4	3
AAD44234.1.A1	4
EWS95122.1.A2	5
EWS95124.1.A3	5
AHH53507.1.A6	5
AEA30272.1.A2	5
WP_050383084.1.A1	5
WP_050383084.1.A2	5
WP_015507662.1.A4	5
WP_015507662.1.A6	5
WP_041826607.1.A2	5
QED88054.1.A4	5
QED88055.1.A1	5
QED55421.1.A2	5
QPI18728.1.A1	5
QPI18728.1.A2	5
QRG35013.1.A1	5
AHH53507.1.A3	6
AGN74885.1.A3	7
Ga0173608_111792.A3	8
Ga0173608_111990.A1	8
Ga0173608_111990.A2	8
WP_234859471.1.A5	8
WP_010973248.1.A2	9
AAY93354.1.A1	9
AAY93355.1.A2	9
AAF99707.2.A5|Q9FDB3.A5	9
AAO72424.1.A1|Q83VS1.A1	9
AAO72424.1.A5|Q83VS1.A5	9
AAO72425.1.A2|Q83VS0.A5	9
AAO72425.1.A3|Q83VS0.A6	9
AAO72425.1.A7|Q83VS0.A10	9
AAO72425.1.A9|Q83VS0.A12	9
CDG17982.1.A1	9
AHZ34238.1.A3	9
AHZ34238.1.A4	9
AHZ34239.1.A1	9
AHZ34239.1.A2	9
AHZ34241.1.A4	9
AHZ34242.1.A2	9
AHZ34243.1.A3	9
KPN90376.1.A2	9
KPN90376.1.A6	9
KPN93063.1.A3	9
KPN93063.1.A4	9
KPN93063.1.A5	9
KPN93063.1.A7	9
KPN93064.1.A4	9
WP_013428324.1.A4	9
WP_013428324.1.A6	9
WP_013428774.1.A5	9
CAD92850.1.A3	9
CAD29797.1.A2	9
ACZ55944.1.A2	9
AGD80623.1.A1	9
AGD80623.1.A2	9
AGD80623.1.A3	9
BAO84861.1.A1	9
AAL33756.1.A1	9
ABI22131.1.A2	9
AAG02356.1.A1|Q9FB26.A1	9
CAJ46691.1.A1|Q0VZ71.A1	9
AAS98786.1.A1	9
AAO62586.1.A2	9
AAF00960.1.A2|Q9RNB1.A2	9
AAK57184.1.A1	9
ABL74937.1.A1	9
AIW82284.1.A3	9
AJF34464.1.A3	9
CAD17793.1.A4	9
AGC45618.1.A1	9
WP_011146892.1.A2	9
AQH32484.1.A2	9
AXN93581.1.A5	9
AXN93590.1.A5	9
WP_010973247.1.A1	9
QWP75305.1.A1	9
QCP68976.1.A1	9
QCQ67879.1.A2	9
WP_004942674.1.A1	9
QKM21619.1.A2	9
QKM21620.1.A1	9
WP_108867380.1.A1	9
