domain	clade
AJM89738.1.A1	0
ACA97580.1.A1|B9TTF7.A1	0
AEZ51520.1.A1	0
AJM89738.1.A3	0
ACA97580.1.A3|B9TTF7.A3	0
AEZ51520.1.A3	0
AFJ14793.1.A1	0
CUX79060.1.A1	0
CUX79061.1.A4	0
CUX79060.1.A2	0
CUX79060.1.A3	0
CUX79061.1.A3	0
AFJ14794.1.A2	0
AFJ14794.1.A5	0
AJM89735.1.A3	0
AJM89735.1.A4	0
ACA97576.1.A3	0
ACA97580.1.A5|B9TTF7.A5	0
AEZ51520.1.A5	0
AJM89738.1.A5	0
AEZ51520.1.A4	0
ACA97580.1.A4|B9TTF7.A4	0
AJM89738.1.A4	0
AEZ51516.1.A4	0
AEZ51516.1.A3	0
ACA97576.1.A4	0
AHF21228.1.A2	0
AHF21228.1.A8	0
WP_129549303.1.A2	0
WP_129549303.1.A8	0
AHF21228.1.A7	0
WP_129549303.1.A7	0
WP_013310343.1.A1	0
CAM56770.1.A6	1
CBG67541.1.A2	2
WP_013184464.1.A2	3
KFL51886.1.A1	4
CAJ96472.1.A2	5
AAX16327.1.A2	5
AAY93445.1.A4	5
AAG05812.1.A3	5
AHZ34243.1.A4	6
Q83VS0.A2	6
AAO72425.1.A10	6
Q83VS0.A3	6
AAO72425.1.A11	6
AAY37647.1.A3	6
O85168.A3	6
AF047828.1.A3	6
O85168.A4	6
AF047828.1.A4	6
AAY37647.1.A4	6
CCJ67640.1.A5	6
AFH75322.1.A5	6
APU91751.1.A5	6
KPN90376.1.A7	6
KPN93065.1.A2	6
WP_047195042.1.A4	6
WP_047197778.1.A3	6
WP_039806850.1.A2	7
