domain	clade
Ga0173608_111498.A2	0
Ga0173608_112008.A3	1
Ga0173608_112008.A6	2
Ga0173608_111474.A7	3
OJJ98497.1.A1	4
AGO86662.1.A1	5
chaP_not_in_genbank.A1|ctg1_orf10.A1	6
EAL88817.1.A2	6
AXM42922.1.A1	7
AAM78457.1.A10	8
ESU15173.1.A1	9
BN849_0052030.A1	9
QCC62999.1.A5	10
QCC62999.1.A4	10
QCC62999.1.A6	10
BAO73252.1.A1	11
FGSG_15673.A3	12
CBF73453.1.A1	12
ESU17760.1.A4	13
ESU17760.1.A6	13
EXU96269.1.A4	14
EXU96269.1.A7	14
EXU96269.1.A3	15
CRG85572.1.A1	16
CRG85572.1.A4	17
astN.A4	17
CAG69516.1.A1	18
EFL06864.1.A1	19
AGE11891.1.A1	20
AAK46746.1.A1|P71717.A1|Q7TYQ4.A1	21
THA23581.1.A2	22
CAQ18831.1.A1	23
ATG32076.1.A1	23
AAU34202.1.A1|Q643C7.A1	24
ABD65958.1.A3	25
AHB38515.1.A1	26
CUX96954.1.A1	26
THA23575.1.A1	27
BAP16699.1.A1	28
AAP92491.1.A2	29
ABR67744.1.A1	29
AAP92491.1.A1	29
CAJ76292.1.A1	30
WP_051462298.1.A1	31
NSC20093.1.A1	31
WP_014143997.1.A1	31
OKJ61999.1.A1	31
AAG06715.1.A1|NP_252017.1.A1	31
WP_013310342.1.A1	32
WP_129549209.1.A3	32
AHF21228.1.A4	32
AHF21228.1.A6	32
WP_129549303.1.A4	32
WP_129549303.1.A6	32
AFJ14795.1.A1	32
AHD05677.1.A2	32
AHD05618.1.A1	32
ATY37609.1.A3	32
BAB69700.1.A2	32
Q93I54.A2	32
AAF08797.1.A1	32
Q9R9I9.A1	32
ABS74179.1.A1|CAE11248.1.A1	32
AAN07014.1.A1	32
AGM16412.1.A5	32
AGM16413.1.A3	32
ATO51563.1.A2	32
RAT94090.1.A1	32
AGC65516.1.A2	33
AGC65514.1.A2	33
AYJ71720.1.A1	34
CCA29203.1.A1	35
CDG12864.1.A1	35
AAT09805.1.A1	36
AGN74895.1.A1	36
BAF50720.1.A1	36
ABU70377.1.A1	37
ACG60776.1.A2|B9UJ01.A1	38
AAG02359.1.A2|Q9FB23.A1	38
ABL74940.1.A2	38
AAZ55899.1.A1	38
CP001614.2.A2	38
CAJ45639.1.A2	38
Q8Z8L5.A1|Q8ZR37.A1	38
Q8FK25.A1	38
Q8XBV9.A1	38
AAA92015.1.A1|P11454.A1	38
AAN42148.1.A1|P29698.A1	38
ctg1_114.A1	38
WP_084702182.1.A2	39
A4FE38.A2|CAM02313.1.A2	39
CBG75492.1.A2	39
ctg1_orf1264.A1	39
ctg1_orf1264.A3	39
ctg1_orf1265.A1	39
EFL06865.1.A1	39
EFL06865.1.A2	39
EFL06867.1.A1	39
WP_084702182.1.A4	40
WP_084702182.1.A5	40
AGE11899.1.A1	40
ALG65317.1.A1	40
QBA57737.1.A2	40
WP_054234643.1.A2	40
DAB41476.1.A1	40
UEF20578.1.A3	40
QKF54436.1.A3	40
WP_016638469.1.A2	41
QED88054.1.A2	42
AAX31558.1.A6	43
AEP18656.1.A1	44
AEP18656.1.A3	44
BAV56270.1.A3	45
QWM97319.1.A3	45
WP_082191961.1.A2	46
QPI18727.1.A2	46
EWS95122.1.A1	47
BAE98155.1.A1	48
AET98906.1.A1	48
B7X8D7.A1|BAH04162.1.A1	48
BAI63288.1.A1	49
CAB38518.1.A1|Q9Z4X6.A1	50
ALV82356.1.A1	50
QBG38784.1.A2	51
QRG35013.1.A2	51
QNH67551.1.A2	51
QEO74982.1.A2	52
QEO75075.1.A2	52
QEO74981.1.A3	52
QEO75073.1.A3	52
ALV86866.1.A2	53
ABV56588.1.A2	54
EFE73312.1.A3	54
EFE73313.1.A1	54
BAP05589.1.A1	55
BAP05597.1.A1	55
BBA21073.1.A1	55
UHJ79953.1.A2	55
PHM49485.1.A1	56
AYA44686.1.A2|AYA44686.1.A3	57
QNH85840.1.A4	58
BolH.A4	58
AEH59100.1.A7	59
AJF34463.1.A3	59
AJF34464.1.A1	59
AXA91302.1.A2	59
AXA94654.1.A1	59
WP_047197778.1.A1	59
WP_047197779.1.A1	59
WP_100939443.1.A2	59
AHY86403.1.A1	59
AHZ34243.1.A5	59
KPN90376.1.A8	59
KPN93064.1.A3	59
WP_064118560.1.A4	59
QNL34617.1.A4	59
ABA73955.1.A5	59
ABA73956.1.A3	59
WP_064118559.1.A2	59
BAC67535.1.A4|Q84BQ5.A4	59
QDF82255.1.A4	59
BAC67536.1.A2|Q84BQ4.A2	59
QDF82259.1.A2	59
AFH75320.1.A3	59
APU91750.1.A3	59
APU91750.1.A6	59
CCJ67636.1.A3	59
CCJ67637.1.A3	59
ABH06368.2.A4	59
CAY48788.1.A4	59
ANQ43348.1.A4	59
AGE25479.1.A4	59
AFZ61525.1.A4	59
CAY48789.1.A2	59
AFZ61526.1.A2	59
AGE25480.1.A3	59
ANQ43349.1.A3	59
ABH06369.2.A2	59
AFH75329.1.A4	59
AFH75330.1.A3	59
AAY91420.2.A4	59
AAY91421.3.A3	59
AFJ23825.1.A4	59
AFJ23826.1.A2	59
ABW17377.1.A3	59
ABW17376.1.A4	59
ABW17376.1.A7	59
CAK15814.1.A3	59
CAK15815.1.A8	59
AGM14933.1.A5	59
BCJ07532.1.A3	59
CDF96614.1.A1	59
KPN93063.1.A9	59
KPN93065.1.A1	59
AED90002.1.A1	59
AF047828.1.A2|O85168.A2	59
AAY37647.1.A1	59
AAO72425.1.A6|AAY37647.1.A2|Q83VS0.A9	59
AF047828.1.A1|O85168.A1	59
AAO55667.1.A2|Q884E3.A2	60
AAO55666.1.A2|Q884E4.A2	60
AAX16327.1.A1	60
AAX16297.1.A1	60
AAX16297.1.A3	60
CAQ71829.1.A2	60
ABX37385.1.A2	61
ADJ63842.1.A6	61
ADJ63842.1.A3	61
ABX37382.1.A3	62
WP_039806852.1.A1	63
WP_039806856.1.A2	63
NAO96319.1.A2	64
NAO96320.1.A3	64
NAO96318.1.A1	64
NAO96319.1.A1	64
B8RG41.A2	65
KFL51883.1.A1	65
KFL51887.1.A2	65
AAO23334.1.A2	66
AAF15891.2.A2|Q9RAH4.A2	67
WP_012408783.1.A2	67
ABA23460.1.A1	68
AAO62586.1.A1	69
AQH32484.1.A1	69
QCQ67879.1.A1	69
CAD29797.1.A1	69
AAF00960.1.A1|Q9RNB1.A1	69
BAA83992.1.A1|Q9S1A9.A1	69
AVI26390.1.A1	70
AVI26393.1.A2	70
DAC76736.1.A1	71
ABF87031.1.A2|YP_631961.1.A1	72
ABF87031.1.A7|YP_631961.1.A6	72
ABF87031.1.A5|YP_631961.1.A4	72
WP_030498974.1.A1	73
EWM63002.1.A1	73
WP_018540603.1.A1	73
WP_053065269.1.A2	73
WP_019032755.1.A2	73
QNH85840.1.A1	74
BolH.A1	74
BAP05591.1.A1	74
Q4U445.A1	74
CCA89328.1.A1	74
AAY89051.1.A1|Q2N3S9.A1	74
BAX64246.1.A1	75
BAX64246.1.A2	75
QDA77059.1.A1	76
CBW75451.1.A1|QIH29229.1.A1	77
CAD17792.1.A4	78
CAD17793.1.A2	78
