domain	clade
ADM34138.1.A1	0
ACJ04424.1.A5|B6SF67.A5	1
AFUA_8G00170.A1|BAH23995.1.A1	2
AGC83576.1.A1	2
BBC83957.1.A2	3
AFH75320.1.A2	4
KPN93063.1.A2	4
APU91750.1.A2	4
CCJ67636.1.A2	4
AHZ34238.1.A2	4
CAF05647.1.A1|Q5ZPB0.A1	4
ADH04678.1.A1	4
AWI62628.1.A2	4
QUS58938.1.A2	4
ADZ24999.1.A1	4
AXN93592.1.A2	4
AXN93605.1.A2	4
AXM43052.1.A2	4
Ga0173608_11676.A5	4
Ga0173608_112053.A2	4
Ga0173608_111990.A4	4
Ga0173608_111498.A5	4
Ga0173608_112008.A10	4
Ga0173608_111792.A2	4
WP_051462298.1.A2	4
ALV86868.1.A2	4
Ga0173608_112008.A5	4
AIW82277.1.A2	4
AXN93575.1.A2|AXN93584.1.A2	4
ADA69239.2.A2	4
AHD05678.1.A4	4
CDG17980.1.A1	4
CDG17982.1.A3	4
AEU11003.1.A1	4
AEU11003.1.A4	4
ABS74180.1.A3|CAE11249.1.A3	4
ABS74206.1.A1	4
BAB69699.1.A4|Q93I55.A4	4
AAF08796.1.A4|Q9R9J0.A4	4
APZ78744.1.A2	4
APZ78756.1.A2	4
AQM37584.1.A2	4
APZ78769.1.A2	4
APZ78782.1.A2	4
APZ78795.1.A2	4
APZ78809.1.A2	4
AVR48535.1.A2	4
QKM21620.1.A4	4
AAN07013.1.A3	4
CAA84363.1.A1|P94459.A1	4
AAF17281.1.A2	4
APZ78729.1.A3	4
WP_012408786.1.A2	4
Q9RAH1.A2	4
AHJ31215.1.A2	4
AAB80955.2.A1|O30980.A1	4
CBL93716.1.A1	4
WP_013184463.1.A3	4
SOV25620.1.A3	4
CAA43838.1.A1	4
BAH43765.1.A1	4
AAC45929.1.A1|O30408.A1	4
BAA06146.1.A1|P0C063.A1|Q44928.A1	4
ATD51279.1.A1	4
AEG64698.1.A2	4
AGM16413.1.A5	4
AAF99707.2.A2	4
AXA91301.1.A1	4
AXA91302.1.A1	4
Q9FDB3.A2	4
CAM56771.1.A2	4
QED55422.1.A3	4
QUS58936.1.A2	4
ADQ74618.1.A1	4
ATJ34002.1.A1	4
WP_004571777.1.A2	4
AXM43052.1.A3	4
AXA91302.1.A3	4
NHN68325.1.A4	4
AEA30273.1.A2	4
ALV86867.1.A3	4
QBC75022.1.A3	4
QBG38783.1.A2	4
CAA67249.1.A1|O07944.A1	4
CAA72310.1.A1|O05647.A1	4
ATD51280.1.A1	4
CDF96614.1.A2	4
A0FCL0.A1	4
AFK57214.1.A1	4
AFK57220.1.A1	4
ADG27359.1.A1|Q9L8H4.A1	4
AKC91856.1.A2	4
QED88054.1.A3	4
QED88055.1.A2	4
WP_078889006.1.A1	4
AWI62627.1.A1	5
ACR33075.1.A1	6
CBW75455.1.A1|QIH29226.1.A1	6
MBA5221218.1.A1	6
AGC24265.1.A1	6
AWS21276.1.A1|AZY92000.1.A1	6
AEH42484.1.A1	7
ACN69986.1.A1	7
ADZ24989.1.A1	7
ATG32071.1.A1	7
AXG22420.1.A1	7
CDG76959.1.A1	8
BAO73252.1.A3	9
ACZ66258.1.A1|D2IKP5.A1	10
AGQ43600.1.A1	10
AAA33023.2.A1|Q01886.A1	10
CRG85572.1.A2	11
astN.A2	11
MAA_10043.A3	12
P95819.A1	13
CBW75453.1.A2|QIH29228.1.A2	14
AQV04224.1.A1	15
AQV04230.1.A1	15
EFY95969.1.A1|EXU97982.1.A1	15
CAB39315.1.A3|O94205.A3	16
AAT28740.1.A1	17
Q9KWY7.A1	18
PHM26613.1.A2	19
CAA67249.1.A3|O07944.A3	20
CAJ18237.2.A2	20
AEG64696.1.A2	20
AAC68816.1.A1|Q9ZGA6.A1	21
AAF86395.1.A1|Q9KID8.A1	21
CAA60461.1.A1|Q54298.A1	21
WP_064118616.1.A1	22
AAM78457.1.A13	23
AGA37267.1.A1	24
AFUA_8G00170.A2|BAH23995.1.A2	25
