domain	clade
O30409.A3	0
AHD05678.1.A1	1
ABS74180.1.A1|CAE11249.1.A1	1
BAB69699.1.A1|Q93I55.A1	1
AAF08796.1.A1|Q9R9J0.A1	1
AAN07013.1.A1	1
BAH43766.1.A3	2
AHI59110.1.A1	3
CAA84363.1.A3|P94459.A3	4
ABS74206.1.A3	4
AAB80955.2.A3|O30980.A3	4
ABS74208.1.A1	4
CAA09819.1.A1|O87704.A1	4
CAA84361.1.A1|P39846.A1	4
EKJ70673.1.A5	5
BAO73252.1.A5	5
XP_002379984.1.A2	6
EPS34234.1.A1	7
EAA67034.1.A1	7
CAL69597.1.A1	8
gene3.A1|iliA.A1	9
QBQ83704.1.A1	9
KKP04599.1.A1	10
QXF14600.1.A1	11
AAV66110.2.A1	12
CAP93139.1.A1	13
AGC65513.1.A1	14
Ga0173608_111792.A6	15
Ga0173608_112187.A3	15
Ga0173608_112187.A5	15
Ga0173608_111498.A1	15
Ga0173608_111989.A3	15
QVQ62857.1.A1	16
C0LTL8.A1	17
QKF54440.2.A1|UEF20583.1.A1	18
AGC65517.1.A1	19
AGC65515.1.A2	19
ABF87031.1.A8|YP_631961.1.A7	20
AAY93445.1.A3	21
AHZ20784.1.A2	22
QED55423.1.A3	23
QNH67550.1.A4	23
QNH67551.1.A3	23
UEF20591.1.A1	23
QKF54435.2.A1	23
QKF54435.2.A2	23
UEF20592.1.A1	23
ALG65319.1.A2	23
QBA57735.1.A2	23
QYC40289.1.A3	23
QBG38782.1.A3	23
MCC5036785.1.A3	23
AZM57024.1.A2	23
AZM57024.1.A3	23
RSO11554.1.A3	23
AGS77307.1.A2	23
AQZ69228.1.A3	23
CAD91220.1.A2|Q7WZ66.A2	23
CAE53350.1.A2|CAG15009.1.A2|Q70AZ9.A2	23
QYC40287.1.A2	23
AAM80539.1.A2|Q8KLL3.A2	23
WP_125938384.1.A3	23
AAK81826.1.A3|Q93N87.A3	23
WP_126902739.1.A3	23
AAM80537.1.A3|Q8KLL5.A3	23
CAE53352.1.A3|CAG15011.1.A3|Q70AZ7.A3	23
AGS77309.1.A3	23
CAD91212.1.A3|Q7WZ74.A3	23
B9ZUK5.A1|CAQ43084.1.A1	24
A6P624.A1	25
QDA77045.1.A5	26
QDA77059.1.A6	26
QDA77045.1.A2	26
AAF17281.1.A1|Q9RAH1.A1	27
WP_012408786.1.A1	27
AAO23333.1.A1	28
CAC01604.1.A4	29
AAZ03552.1.A4	30
BAH22764.1.A4	30
CAJ46692.1.A2	31
ABM21571.1.A1	32
ACZ55942.1.A1	33
CBW75451.1.A3|QIH29229.1.A3	34
WP_013428324.1.A3	35
CBW75451.1.A2|QIH29229.1.A2	35
WP_003981346.1.A2	36
WP_003981346.1.A1	36
QUS58939.1.A1	36
AFK57221.1.A1	37
QDA77059.1.A3	38
AID65225.1.A1	39
EWS95124.1.A4	40
WP_054234617.1.A2	40
AHZ20773.1.A2	41
CZT62785.1.A2	41
QWP75305.1.A6	41
CCJ67646.1.A2	41
AJV88375.1.A3	41
CAD17792.1.A3	41
WP_054234617.1.A1	42
AAU34203.1.A1	42
QBC75021.1.A4	42
WP_043882190.1.A4	43
ATY37608.1.A2	44
ATY37591.1.A4	45
AIE77076.1.A1	46
AIG79224.1.A1	46
OKA09664.1.A1	46
OLZ50899.1.A1	46
AYA22318.1.A1	46
CAC48369.1.A1|Q939Y2.A1	46
AEI58879.1.A1	46
EME52974.1.A1	46
OLZ52442.1.A1	46
CAI94718.1.A2	47
WP_011146892.1.A5	48
AAO72425.1.A12|Q83VS0.A4	49
ATO51563.1.A1	50
ADL64235.1.A2	51
