domain	clade
AAD55799.1.A1	0
Q9RFM9.A1	0
EFL06871.1.A1	1
CCA53797.1.A1	2
AAO07763.1.A1	3
P71716.A1	3
AGE11892.1.A1	3
AAA93464.1.A1	3
Q56950.A1	3
CAP20363.1.A1	3
AAZ55904.1.A1	4
BAH33406.1.A1	4
ACU36660.1.A1	4
AAG31128.1.A1	4
Q81QP9.A1	4
BAC12912.1.A1	4
Q8CV01.A1	4
ABS75234.1.A1	4
Q8GA86.A1	4
P40871.A1	4
AAC44632.1.A1|CAB15188.1.A1	4
CBA63660.1.A1	4
ABU70375.1.A1	5
AAO07759.1.A1	5
CAJ45636.1.A1	5
AAG00564.1.A1	5
Q9FDB2.A1	5
YP_856992.1.A1	5
ctg1_116.A1	5
Q8ZR32.A1	5
Q8Z8L1.A1	5
AAO69874.1.A1	5
Q8FK18.A1	5
P10378.A1	5
CAA33158.1.A1	5
Q8XBV3.A1	5
Q83M10.A1	5
Q8FXQ0.A1	5
Q9EZ79.A1	5
Q840D1.A1	5
CAG69514.1.A1	5
AQZ26587.1.A2	6
AWX24488.1.A1	7
BBD17745.1.A1	7
WP_010639243.1.A1	7
antaF.A1	7
BBD17766.1.A1	7
THA23581.1.A1	8
QMS79067.1.A1	9
EAU29302.1.A1	9
AFI_55290.A1	9
EAL89049.1.A1	9
ADY16697.1.A1	9
CDG76957.1.A1	10
