domain	clade
AMM63162.1.A1	0
AFT91378.1.A1	0
EPE34341.1.A1	0
BAN91483.1.A1	0
BAH43766.1.A5	1
ATY37608.1.A4	1
ATY37608.1.A5	1
ATY37608.1.A7	1
APD26279.1.A1	1
BAA06146.1.A3|Q44928.A3	1
CAA84360.1.A2|P39845.A2	1
AAC36721.1.A2|O87606.A2	1
O30409.A5	1
P0C063.A3	1
Ga0173608_11676.A6	2
EFL02193.1.A1	3
ABS74209.1.A2|CAE11277.1.A2	3
A8BB73.A1	3
AAC06347.1.A2|O68007.A2	4
AGM16412.1.A1	4
AGM16412.1.A4	4
CAA43838.1.A3	5
AED90002.1.A2	6
ABD65957.1.A2	7
WP_013184463.1.A2	7
SOV25620.1.A2	7
AEP18655.1.A4	8
AEP18656.1.A7	8
CP001614.2.A1	9
CBG75492.1.A4	10
ctg1_orf1264.A2	11
AAX31558.1.A1	12
AHH53507.1.A1	13
ANZ15839.1.A1	14
ATU31795.1.A1	14
CBL93718.1.A1	15
ATY37589.1.A2	16
