domain	clade
EGX96627.1.A2	0
AMT84997.1.A1	1
QCC62999.1.A1	2
EKJ70673.1.A2	3
CBF87069.1.A5	4
AN2545.A5	4
BAO73252.1.A2	5
EKJ70673.1.A3	6
OAQ83772.1.A9	7
QCC62999.1.A8	8
AN2545.A1|CBF87069.1.A1	9
AN0607.4.A2	9
MAA_10043.A1	10
ESU17760.1.A2	11
OAQ83772.1.A10	12
AN2545.A4|CBF87069.1.A4	13
EAL89049.1.A3	13
ADY16697.1.A3	13
CAB39315.1.A1|O94205.A1	13
EAL89046.1.A1	13
ADY16689.1.A1	13
AKL78825.1.A1	14
AAM78457.1.A3	15
AAM78457.1.A2	15
AAM78457.1.A7	15
AAM78457.1.A5	16
OAQ83772.1.A7	17
OAQ83772.1.A4	17
AAM78457.1.A16	17
AAM78457.1.A15	17
AAM78457.1.A12	17
AAM78457.1.A1	17
AAM78457.1.A9	17
CAE14173.1.A2|WP_232507913.1.A2	18
AAM78457.1.A8	18
AGQ43600.1.A3	19
A45086.A3|AAA33023.2.A3|Q01886.A3	19
AGQ43600.1.A2	20
AAA33023.2.A2|Q01886.A2	20
AHD05615.1.A1	21
BAB94679.1.A1|P68878.A1	22
BAB57094.1.A1|P68876.A1	22
Q9X2N4.A1	22
Q9CG49.A1	22
AAN00653.1.A1|P59591.A1	22
Q53526.A1	22
Q8VM67.A1	22
Q8K744.A1|Q8P0J9.A1|Q99ZA6.A1	22
AAK76230.1.A1|P0A398.A1	22
AAC05774.1.A1	22
AAA25234.1.A1|P35854.A1	22
Q88VM6.A1	22
CAA51561.1.A1|P39581.A1	22
Q8Y8D4.A1	22
Q92D47.A1	22
CAE14766.1.A1	23
BBE36469.1.A1	24
WP_032920652.1.A1	25
BAV56002.1.A1	26
ANH11404.1.A1	26
AAN85530.1.A1	26
ATY69590.1.A1	26
AHD05621.1.A3	27
ATL73036.1.A5	28
ABB80392.1.A2	29
ABB80392.1.A1	29
AWI62626.1.A2	30
CBJ79915.1.A3|CBJ79916.1.A2	31
ALV86867.1.A1	32
Q9KWY8.A1	33
AGZ15458.1.A2	34
QUS58939.1.A3	35
AOZ21320.1.A1	35
ABD14711.1.A2	35
BAP05596.1.A1	35
Ga0173608_111990.A1	35
WP_234859471.1.A5	35
Ga0173608_111792.A3	35
Ga0173608_111990.A2	35
AGZ03651.1.A1	35
ABQ96384.2.A6	35
A9LJA2.A6	35
CAD92850.1.A1	35
CAD92849.1.A2	35
AAZ23076.1.A1	36
AGN74885.1.A3	36
WP_054234643.1.A3	36
AHH53507.1.A6	36
WP_050383084.1.A1	36
WP_050383084.1.A2	36
QPI18728.1.A1	36
QPI18728.1.A2	36
EWS95122.1.A2	36
EWS95124.1.A3	36
BAX89999.1.A1	36
BAX90000.1.A2	36
WP_015507662.1.A4	36
WP_041826607.1.A2	36
WP_015507662.1.A6	36
QED55421.1.A2	36
AHH53507.1.A3	36
QRG35013.1.A1	36
QED88054.1.A4	36
QED88055.1.A1	36
AAX31558.1.A3	36
WP_079164394.1.A1	36
BAX90000.1.A1	36
AEA30272.1.A2	36
AAL33756.1.A1	36
UHJ79953.1.A1	36
