domain	clade
ATY37589.1.A2	0
ATY37591.1.A3	0
ATY37590.1.A4	0
AAY29580.1.A4	0
ATO51563.1.A5	1
AAC06347.1.A1|O68007.A1	2
AAC06347.1.A2|O68007.A2	3
BAH43766.1.A5	4
O30409.A5	4
BAA06146.1.A3|Q44928.A3	4
P0C063.A3	4
CAA43838.1.A3	4
AGM16413.1.A2	4
AGM16414.1.A2	4
AGM16412.1.A1	4
AGM16412.1.A4	4
ATY37608.1.A7	4
ATY37608.1.A4	4
ATY37608.1.A5	4
ABS74209.1.A2|CAE11277.1.A2	5
CAA84360.1.A2|P39845.A2	5
AAC36721.1.A2|O87606.A2	5
CAE14173.1.A1|WP_232507913.1.A1	5
A8BB73.A1	5
EFL02193.1.A1	5
APD26279.1.A1	5
SOV25622.1.A2|WP_013184461.1.A2	5
QUS58938.1.A1	5
AHD05617.1.A1	6
AHD05614.1.A1	7
Ga0173608_112008.A9	8
Ga0173608_112053.A3	8
Ga0173608_112187.A4	8
Ga0173608_11676.A6	9
WP_234859471.1.A4	10
SOV25622.1.A3|WP_013184461.1.A3	11
CBJ79718.1.A1	12
CAJ45639.1.A1	13
CP001614.2.A1	13
AAS47562.1.A1	14
EPE34341.1.A1	15
AMM63162.1.A1	15
AFT91378.1.A1	15
BAN91483.1.A1	15
EXU96269.1.A1	16
BAE06845.2.A2	17
AZC86156.1.A2	17
CBL93718.1.A1	18
EOY45602.1.A1	18
YP_856990.1.A1	18
AAG31130.1.A1	18
QRK05501.1.A1	18
BAW32334.1.A1	18
CCP42826.1.A1	18
AAT09804.1.A2	18
QDG75033.1.A1	18
OAL11435.1.A1	18
QOE83923.1.A1	18
WP_078857611.1.A1	19
ACU36654.1.A2	20
WP_041826607.1.A5	20
EFE73313.1.A2	21
ABD65957.1.A2	22
ABG94125.1.A2|YP_702283.1.A2	23
CBG75492.1.A1	24
WP_084702182.1.A1	24
QNH67550.1.A5	25
ANZ15839.1.A1	25
ATU31795.1.A1	25
AAX31558.1.A1	25
AHH53507.1.A1	25
ARU08074.1.A1	25
NSC23530.1.A1	25
CBG75492.1.A4	25
AGE11898.1.A2	25
CBA63680.1.A1|D2TVG0.A1	25
AAZ55900.1.A1	25
CBG75492.1.A5	25
WP_084702182.1.A6	25
AGE11899.1.A2	25
EFL06866.1.A1	25
AAZ23077.1.A1	25
BAH33409.1.A3	25
ctg1_orf1265.A2	25
ctg1_orf1265.A3	25
A4FE38.A3|CAM02313.1.A3	25
ctg1_orf20.A3	25
AAC82550.1.A1|AAC82550.1.A3|O87314.A1	25
O87314.A3	25
CBG75492.1.A3	25
WP_084702182.1.A3	25
CAB53322.1.A3|Q9RK14.A3	25
AAZ55898.1.A1	25
ctg1_orf1264.A2	25
BAH33409.1.A1	25
ACU36654.1.A1	25
AEP18655.1.A4	25
BAV56270.1.A2	25
QWM97319.1.A2	25
AEP18656.1.A7	25
BAV56270.1.A7	25
QWM97319.1.A7	25
CFJ82030.1.A1|O86329.A1|Q7D791.A1	26
ctg1_orf20.A2	27
WP_144411596.1.A1	28
ABX37382.1.A2	28
AAL82383.1.A1|Q8RTG4.A1	29
Q93LR1.A1	29
BAA83994.1.A1|Q9S1A7.A1	30
QCQ67881.1.A1	31
CAD29798.1.A1|Q8G982.A1	31
AQH32486.1.A1	32
ATP76244.1.A1	33
AAO62588.1.A1	34
CAD29799.1.A1	35
EFL06867.1.A2	36
CAB53322.1.A1|Q9RK14.A1	36
AAC82549.1.A1|O87313.A1	36
WP_047195042.1.A1	37
QIE07359.1.A1	37
QWP75305.1.A3	37
AED90002.1.A2	37
CCJ67640.1.A6	37
AFH75322.1.A6	37
APU91751.1.A6	37
AEH59100.1.A2	38
AXA91302.1.A4	38
PHM49485.1.A6	39
CAE15497.1.A1	39
AFP87549.1.A4	39
AFP87549.1.A5	39
AFP87549.1.A3	39
AFP87549.1.A1	39
CAE15497.1.A3	39
ABB80392.1.A3	40
AAY37647.1.A5	41
AF047828.1.A5|O85168.A5	41
AJY78094.1.A1	42
ABX37382.1.A4	43
AAY93354.1.A3	44
AAY93356.2.A3	44
AAX16296.1.A1	44
AAY93354.1.A2	45
AAY93356.2.A2	45
AAX16297.1.A4	45
AAX16296.1.A2	45
AAX16325.1.A2	45
AAX16327.1.A3	45
ADJ63842.1.A7	45
ABX37382.1.A5	45
NAO96320.1.A4	45
CAJ96470.1.A1	45
CAQ71829.1.A1	45
CAQ71829.1.A3	45
AAX16297.1.A2	46
ABV79985.1.A1	47
ACZ55945.1.A1	47
ABV79985.1.A2	47
ACZ55945.1.A2	47
BAH22764.1.A1	47
ACZ55942.1.A2	47
ACC81021.1.A2	47
AHJ31215.1.A3	48
ATP76246.1.A3	48
BAW32324.1.A1	48
WP_013184463.1.A2	49
SOV25620.1.A2	49
SOV25619.1.A1|WP_013184464.1.A1	49
WP_013184461.1.A1	49
SOV25622.1.A1	49
