domain	clade
A9LJA2.A5	0
AIW82283.1.A2	1
AHI59109.1.A1	2
AET13875.1.A2|AET13879.1.A2	3
CBF76036.1.A2	4
AAU22002.1.A1|AAU39359.1.A1	5
AHD05678.1.A3	6
BAB69699.1.A3	7
AAF08796.1.A3	8
PHM49485.1.A2	9
AJF34463.1.A4	10
QKM21619.1.A3	11
NHN68324.1.A3	12
CAA06323.1.A1	13
AAD04757.1.A1	14
O66069.A1|Q45295.A1	15
Q93I55.A3	16
Q9R9J0.A3	17
ABS74206.1.A2	18
CAA84363.1.A2|P94459.A2	18
AAB80955.2.A2|O30980.A2	18
EKJ70673.1.A4	19
BAO73252.1.A4	19
ESU15173.1.A3	20
BN849_0052030.A3	20
AAM78457.1.A6	21
AAM78457.1.A17	21
QUS58937.1.A1	22
AHZ34232.1.A3	23
AHZ34233.1.A2	23
CAK15815.1.A1	23
CAK15815.1.A4	23
CAK15815.1.A7	23
ABW17376.1.A3	23
AAO56328.1.A3	23
AGM14933.1.A1	23
AGM14933.1.A4	23
AGM14933.1.A8	23
AGM14934.1.A3	23
WP_100939442.1.A3	23
BCJ07533.1.A1	23
BCJ07532.1.A2	23
BCJ07532.1.A6	23
BCJ07529.1.A2	23
AOA33122.1.A4	23
ABA73955.1.A1	23
ABA73955.1.A4	23
QNL34618.1.A2	23
APZ78822.1.A4|CAG29032.1.A4	24
APZ78680.1.A3	24
APZ78692.1.A4	24
APZ78704.1.A4	24
APZ78716.1.A4	24
APZ78729.1.A5	24
APZ78744.1.A4	24
APZ78769.1.A4	24
APZ78782.1.A4	24
APZ78795.1.A4	24
APZ78809.1.A4	24
APZ78834.1.A4	24
APZ78856.1.A4	24
AAX16325.1.A1	24
APZ78756.1.A3	24
AQM37584.1.A3	24
APZ78846.1.A4	24
QDX19369.1.A1	25
BAV56271.1.A2	25
QWM97320.1.A2	25
CZT62794.1.A2	26
AAZ03550.1.A1	27
AHZ20774.1.A2	27
AAO23333.1.A3	27
AFH75320.1.A6	27
AFH75321.1.A4	27
CCJ67639.1.A1	27
BAH43766.1.A2	27
AFK57212.1.A1	27
AFK57212.1.A2	27
AEU11006.1.A1	27
CCJ67647.1.A2	27
APU91750.1.A10	27
O30409.A2	27
Q9K5M2.A1|Q9K5M2.A3	27
CZT62784.1.A2	28
FGSG_15673.A4	29
