domain	clade
AJM89738.1.A1	0
ACA97580.1.A1|B9TTF7.A1	0
AEZ51520.1.A1	0
AJM89738.1.A3	0
ACA97580.1.A3|B9TTF7.A3	0
AEZ51520.1.A3	0
AFJ14793.1.A1	0
CUX79060.1.A1	0
CUX79061.1.A4	0
CUX79060.1.A2	0
CUX79060.1.A3	0
CUX79061.1.A3	0
AFJ14794.1.A2	0
AFJ14794.1.A5	0
AJM89735.1.A3	0
AJM89735.1.A4	0
ACA97576.1.A3	0
ACA97580.1.A5|B9TTF7.A5	0
AEZ51520.1.A5	0
AJM89738.1.A5	0
AEZ51520.1.A4	0
ACA97580.1.A4|B9TTF7.A4	0
AJM89738.1.A4	0
AEZ51516.1.A4	0
AEZ51516.1.A3	0
ACA97576.1.A4	0
AHF21228.1.A2	0
AHF21228.1.A8	0
WP_129549303.1.A2	0
WP_129549303.1.A8	0
AHF21228.1.A7	0
WP_129549303.1.A7	0
WP_013310343.1.A1	0
Ga0173608_11675.A8	1
Ga0173608_11674.A12	1
Ga0173608_11676.A2	1
Ga0173608_111474.A6	1
Ga0173608_111498.A6	1
Ga0173608_111989.A2	1
Ga0173608_111498.A2	1
Ga0173608_112008.A3	1
Ga0173608_112008.A6	1
Ga0173608_111474.A7	1
Ga0173608_111989.A5	1
Ga0173608_112187.A2	1
Ga0173608_111474.A2	1
OJJ98497.1.A1	2
AGO86662.1.A1	3
chaP_not_in_genbank.A1|ctg1_orf10.A1	4
EAL88817.1.A2	4
ADB02873.1.A1	5
AXM42922.1.A1	6
ATQ39428.1.A6	7
AAM78457.1.A10	8
BAN91483.1.A5	9
AMM63162.1.A5	9
AFT91378.1.A5	9
EPE34341.1.A2	10
AMM63162.1.A2	10
AFT91378.1.A2	10
BAN91483.1.A2	10
ESU15173.1.A1	11
BN849_0052030.A1	11
QCC62999.1.A5	12
QCC62999.1.A4	12
QCC62999.1.A6	12
QCC62999.1.A7	13
BAO73252.1.A1	13
EKJ70673.1.A1	13
FGSG_15673.A6	14
FGSG_15673.A7	14
CBF73453.1.A2	15
FGSG_15673.A3	16
CBF73453.1.A1	16
ESU17760.1.A4	17
ESU17760.1.A6	17
EXU96269.1.A4	18
EXU96269.1.A7	18
EXU96269.1.A3	19
CRG85572.1.A1	20
CRG85572.1.A4	21
astN.A4	21
AAG02365.1.A1|Q9FB17.A1|WP_004947046.1.A1	22
CAG69516.1.A1	23
ABS50184.1.A1	23
AAG00566.1.A1|Q9FDB0.A1	23
DAC82028.1.A2	24
AAN85522.1.A1	24
Q8GGP3.A1	24
CAJ34375.1.A1	24
BAI63289.1.A1	24
WP_028678148.1.A1	24
BAE98156.1.A1	24
AET98905.1.A1	24
BAH04161.1.A1	24
ATY69551.1.A1	24
ATY69584.1.A1	24
CCB53269.1.A1	25
RAT94090.1.A5	25
RAT94090.1.A2	25
RAT94090.1.A4	25
RAT94090.1.A3	25
AAC06346.1.A2|O68006.A2	25
WP_012118250.1.A1	25
WP_012118250.1.A2|WP_012118250.1.A3	25
ADQ55476.1.A2	26
ADH04641.1.A1	27
ANI24100.1.A2	27
UHJ79951.1.A3	27
AAC83657.1.A1|O85740.A1	28
Q9HWG4.A1|Q9RFM7.A1	28
CAC17500.1.A1	28
CCA53804.1.A1	28
CAJ76289.1.A1	28
CAJ76290.1.A2	28
AGN74898.1.A1	29
AFR69334.1.A2	30
ABC36785.1.A2	30
ABP57748.1.A2	30
ABC39418.1.A1|ABC39418.1.A2	30
ABP57745.1.A2	30
CAP20364.1.A1	31
WP_011146562.1.A1	31
AAO92378.1.A1|P19828.A1	31
AAA27636.1.A1|P48633.A1|Q8ZF24.A1	31
Q8CZT9.A1	31
EFL06864.1.A1	31
CAC17499.1.A1	31
AGE11891.1.A1	31
BAD55613.1.A1|YP_116977.1.A1	31
AAK46746.1.A1|P71717.A1|Q7TYQ4.A1	31
CCA53799.1.A1	31
AAC83656.1.A1|O85739.A1	31
Q9RFM8.A1	31
CAC17499.1.A2	31
CAD15513.1.A1	31
CAD15508.1.A1|CAD15508.1.A2	31
THA23581.1.A2	32
CCC55921.1.A1	32
AWI62627.1.A2	32
DAB41917.1.A1	32
AAN32981.1.A2|Q8GAQ3.A2	32
AAT70101.1.A1|AEE88284.1.A1	32
AAY42397.1.A2|Q1EDB1.A2	32
AAY42398.1.A2	32
AAF62881.1.A1	32
Q7BN95.A1	32
CAQ18831.1.A1	32
ATG32076.1.A1	32
ARO38317.1.A1	32
ADZ24995.1.A1	32
B5X0I1.A1	32
ADH04680.1.A1	32
WP_010973247.1.A2	32
CAD89775.1.A1	32
AAF19812.1.A1|Q9RFK8.A1	32
AXM42949.1.A1	32
AAF19811.1.A1	32
AAW03326.1.A1	32
CAD89774.1.A1|Q70P97.A1	32
QUS58938.1.A3	32
QXJ21808.1.A2	32
UHJ79951.1.A2	32
ACG60772.1.A2	32
AAG02364.1.A2|Q9FB18.A2|WP_004947051.1.A2	32
ABL74945.1.A2	32
E0F75_025360.A1	32
CBK62746.1.A1	32
WP_004721331.1.A1	32
WP_044618979.1.A2	33
WP_044618979.1.A3	33
CCA29202.1.A2	33
CDG12865.1.A2	33
CCA29203.1.A2	33
CDG12864.1.A2	33
WP_011146563.1.A1	34
Q2HQW8.A1	34
KFH48607.1.A2|P25464.A2	35
AAK1902.1.A2|AAK21902.1.A2|Q9C1G0.A2	35
AAA63415.1.A2|ABA70582.1.A2|ABR12615.1.A2|CAA38195.1.A2|P19787.A2|P26046.A2	35
AAA03914.1.A2|P27742.A2	35
BAA08846.1.A2|P94873.A2	35
EDY47118.1.A2	35
CAA40561.1.A2|P27743.A2	35
ERG36782.1.A1|WP_010369425.1.A1	36
WP_013184596.1.A1	36
CBJ79916.1.A1	36
AKC91849.1.A3	37
ADG27358.1.A1|O68487.A1|WP_057667184.1.A1	38
AAD44233.1.A2	39
AAT01806.1.A2|CAB55600.1.A2|Q9RLP6.A2	39
CAJ77695.1.A2	39
CAJ77715.1.A2	39
ADH01485.1.A1|AIC32693.1.A1	40
DAD54486.1.A1	40
AGN11881.1.A1	40
AEC14346.1.A1	40
KPN90374.1.A1	40
AED90004.1.A1	40
AAY37650.1.A1|Q52400.A1	40
AAD50521.1.A1	40
ABG94125.1.A1|YP_702283.1.A1	40
CCJ67645.1.A1	40
CCJ67646.1.A1	40
WP_006051170.1.A2	40
WP_006051170.1.A3	40
TRX17524.1.A2	40
TRX17524.1.A3	40
AAG02358.1.A1|Q9FB24.A1|WP_004942671.1.A1	40
ABL74939.1.A1	40
AAX31557.1.A4|Q50E74.A4	41
AHH53506.1.A4	41
AEF33078.1.A1	41
BAF50711.1.A1	41
CAA67248.1.A1|Q54959.A1	41
AJV88375.1.A2	41
WP_010639240.1.A1	41
antaC.A1	41
AWX24482.1.A1	41
BBD17741.1.A1	41
BBD17759.1.A1	41
AGN74876.1.A1	41
DAB41477.1.A3	41
WP_067426775.1.A1	41
QDJ74273.1.A1	41
CBA63680.1.A2|D2TVG0.A2	41
CAB38518.1.A2|Q9Z4X6.A2	41
ALV82356.1.A2	41
WP_050383082.1.A2	41
QPI18729.1.A2	41
QWM97319.1.A1	41
QWM97320.1.A5	41
BAV56270.1.A1	41
BAV56271.1.A5	41
AEI70245.1.A2	41
Q81QP7.A2	41
AAD56240.1.A2|CAB15186.3.A2|P45745.A2	41
ABS75232.1.A2	41
AEA30272.1.A1	41
QNH67550.1.A1	41
QNH67551.1.A4	41
ALG65319.1.A1	41
QBA57735.1.A1	41
BAX64247.1.A1	41
QBG38784.1.A1	41
QBC75021.1.A5	41
AEH41793.1.A2	41
AEG64697.1.A6	41
QED55423.1.A4	41
A8KCJ2.A1	41
AAU34202.1.A1|Q643C7.A1	41
ALV86866.1.A3	41
ALV86866.1.A4	41
DAB41484.1.A1	41
AIW58892.1.A4	41
AIW58892.1.A5	41
QGA70148.1.A3	41
QGA70148.1.A4	41
QEO74982.1.A1	41
QEO75075.1.A1	41
AAZ23075.1.A4|Q45R85.A4	42
QVQ62868.1.A1	42
ATL73036.1.A1	43
ABD65958.1.A3	44
ABD65956.1.A2|Q06YZ3.A2	44
ABD65957.1.A3	44
EFE73312.1.A2	45
EFE73312.1.A4	45
WP_015507663.1.A4	46
CAB53322.1.A2|Q9RK14.A2	46
AAC82550.1.A2|O87314.A2	46
CCJ67647.1.A1	47
ARR97036.1.A2	47
ARR97038.1.A1	47
AFK57215.1.A2	48
AHB38515.1.A1	49
CUX96954.1.A1	49
AKA59436.1.A1	50
AHB38497.1.A3	51
AKA59447.1.A3	52
CAE14171.1.A1|WP_011146143.1.A1	53
CCM44337.1.A1	53
PHM26613.1.A1	53
AHZ20774.1.A1	53
CZT62784.1.A1	53
AHZ20773.1.A1	53
CZT62785.1.A1	53
AHZ20781.1.A1	53
CZT62792.1.A1	53
AHZ20781.1.A2	53
CZT62792.1.A2	53
AHZ20784.1.A1	53
CZT62794.1.A1	53
CAC01604.1.A3|Q9K5M1.A1	53
Q9K5M2.A2|Q9K5M2.A4	53
ABI26077.1.A2	53
AAZ03551.1.A1	53
BAH22763.1.A1	53
ATP76243.1.A1	53
AAO64403.1.A1	53
AXN93603.1.A1	53
AXN93616.1.A1	53
AIW82285.1.A1	53
AXN93582.1.A1|AXN93591.1.A1	53
AXN93581.1.A3|AXN93590.1.A1	53
AXN93581.1.A1	53
AXN93590.1.A3	53
AIW82283.1.A1	53
AIW82284.1.A1	53
AXN93602.1.A3	53
AXN93602.1.A1	53
AXN93614.1.A1	53
APZ78679.1.A1	53
APZ78855.1.A1	53
APZ78833.1.A1	53
APZ78821.1.A1|CAG29031.1.A1|Q50JA3.A1	53
APZ78845.1.A1	53
APZ78691.1.A1	53
APZ78715.1.A1	53
APZ78703.1.A1	53
APZ78728.1.A1	53
APZ78755.1.A1	53
APZ78743.1.A1	53
AQM37583.1.A1	53
APZ78808.1.A1	53
APZ78794.1.A1	53
APZ78768.1.A1	53
APZ78781.1.A1	53
AWI62628.1.A3	53
AWI62628.1.A1	53
QDA77059.1.A2	53
WP_011146892.1.A8	53
WP_011146892.1.A12	53
WP_013428324.1.A2	53
CBW75452.1.A2|QIH29228.1.A5	53
WP_047195042.1.A2	53
WP_047197779.1.A2	53
AAO56329.1.A2	53
AAO72425.1.A8|Q83VS0.A11	53
AAO72424.1.A4|Q83VS1.A4	53
AAO72425.1.A4|Q83VS0.A7	53
AAF99707.2.A1|Q9FDB3.A1	53
AHZ34238.1.A1	53
KPN93063.1.A1	53
KPN90376.1.A5	53
KPN90376.1.A4	53
KPN93063.1.A8	53
AGE25479.1.A1	53
ABH06368.2.A1	53
ANQ43348.1.A1	53
CAY48788.1.A1	53
AFZ61525.1.A1	53
AFJ23825.1.A1	53
BAC67535.1.A1|Q84BQ5.A1	53
QDF82255.1.A1	53
AOA33122.1.A1	53
WP_064118560.1.A1	53
QNL34617.1.A1	53
AFH75329.1.A1	53
AAY91420.2.A1	53
AFH75322.1.A1	53
APU91751.1.A1	53
AFH75322.1.A2	53
APU91751.1.A2	53
CCJ67640.1.A1	53
CCJ67640.1.A2	53
CCJ67636.1.A1	53
AFH75320.1.A1	53
APU91750.1.A1	53
AHZ34243.1.A2	53
AHZ34243.1.A1	53
AHZ34240.1.A1	53
AAO72425.1.A5|Q83VS0.A8	53
CDG17980.1.A6	53
AED90003.1.A2	53
KPN90369.1.A2	53
AAY37647.1.A7	53
AF047828.1.A7|O85168.A7	53
QUS58939.1.A2	53
QKM21620.1.A5	53
NHN68325.1.A5	53
AAB60198.1.A1|Q51338.A1|Q9I182.A1	53
AAB60198.1.A2|Q51338.A2|Q9I182.A2	53
AAY93355.1.A1	53
AAO55666.1.A1|Q884E4.A1	53
AAO55665.1.A2	53
Q884E5.A1	53
CAQ71828.1.A1	53
ABX37382.1.A1	53
ABX37383.1.A2	53
NAO96320.1.A2	53
ADJ63842.1.A5	53
AVI26393.1.A1	53
ATY37588.1.A1	53
ABQ96384.2.A1	53
A9LJA2.A1	53
ABQ96384.2.A4	53
A9LJA2.A4	53
ATY37608.1.A9	53
AGM16412.1.A3	53
ACA97580.1.A2|AEZ51520.1.A2|B9TTF7.A2	53
ACA97576.1.A2	53
