domain	clade
ATO51563.1.A5	0
SOV25622.1.A2|WP_013184461.1.A2	1
QUS58938.1.A1	1
AHD05614.1.A1	2
Ga0173608_112053.A3	3
Ga0173608_112187.A4	3
WP_234859471.1.A4	4
CBJ79718.1.A1	5
CAJ45639.1.A1	6
AAS47562.1.A1	7
BAE06845.2.A2	8
AZC86156.1.A2	8
EOY45602.1.A1	9
BAW32334.1.A1	10
AAT09804.1.A2	11
QDG75033.1.A1	11
OAL11435.1.A1	11
QOE83923.1.A1	11
CBA63680.1.A1|D2TVG0.A1	12
AAZ55900.1.A1	12
BAH33409.1.A1	13
ACU36654.1.A1	13
BAV56270.1.A2	14
QWM97319.1.A2	14
BAV56270.1.A7	15
QWM97319.1.A7	15
ctg1_orf20.A2	16
AAL82383.1.A1|Q8RTG4.A1	17
Q93LR1.A1	17
BAA83994.1.A1|Q9S1A7.A1	18
QCQ67881.1.A1	19
CAD29798.1.A1|Q8G982.A1	19
AQH32486.1.A1	20
ATP76244.1.A1	21
AAO62588.1.A1	22
CAD29799.1.A1	23
QWP75305.1.A3	24
AEH59100.1.A2	25
AXA91302.1.A4	25
CAE15497.1.A1	26
AFP87549.1.A4	26
AFP87549.1.A5	26
AFP87549.1.A3	26
AFP87549.1.A1	26
CAE15497.1.A3	26
ABB80392.1.A3	27
AAY37647.1.A5	28
AF047828.1.A5|O85168.A5	28
ABX37382.1.A4	29
AAX16297.1.A2	30
ABV79985.1.A1	31
ACZ55945.1.A1	31
BAH22764.1.A1	32
AHJ31215.1.A3	33
ATP76246.1.A3	33
BAW32324.1.A1	33
