domain	clade
AAZ23075.1.A2|Q45R85.A2	0
AAX31557.1.A2|Q50E74.A2	1
AAZ23075.1.A3|Q45R85.A3	1
CAJ18237.2.A1	1
AAZ23077.1.A4	1
AHH53506.1.A2	2
WP_107406787.1.A2	3
BAX89998.1.A2	3
CAJ96472.1.A1	3
ABD65956.1.A1|Q06YZ3.A1	3
AAY93356.2.A1	3
ABX37383.1.A1	3
CAQ71827.1.A1	3
CAQ71828.1.A2	3
WP_047197779.1.A3	3
WP_006051170.1.A1	3
BAH22762.1.A1	3
NAO96317.1.A1	3
NAO96320.1.A1	3
AAO55665.1.A1	3
AAC06348.1.A4|O68008.A4	3
AAU39360.1.A2	3
CAE02631.1.A2	3
ALK27916.1.A3	3
Q45675.A2|WP_069322367.1.A2	3
CAA06324.1.A2|O69246.A2	3
O66070.A2	3
Q04747.A2	3
CAJ96471.1.A1	3
AHI59109.1.A2	3
AAO55667.1.A1|Q884E3.A1	3
AAC06348.1.A5|O68008.A5	4
AID65224.1.A1	4
AHD05677.1.A1	4
AHD05678.1.A2	4
AHD05679.1.A2	4
BAH43766.1.A1	4
AHD05627.1.A1	4
CAE52342.1.A1	4
ABS74180.1.A2|CAE11249.1.A2	4
ABS74181.1.A2|CAE11250.1.A1|CAE11250.1.BGC0001090	4
BAB69698.1.A1|BAB69698.1.A2|Q93I56.A1	4
BAB69699.1.A2|Q93I55.A2	4
BAB69700.1.A1|Q93I54.A1	4
AAF08795.1.A1|AAF08795.1.A2|Q9R9J1.A1	4
AAF08796.1.A2|Q9R9J0.A2	4
AAF08797.1.A2|Q9R9I9.A2	4
ABQ96384.2.A5	4
AKP45396.1.A1	4
ATY37608.1.A1	4
AAN07013.1.A2	4
AAN07012.1.A1	4
O30409.A1	4
A9LJA2.A5	4
C0JRF0.A1	4
CAB38517.1.A3	5
AAG02355.1.A1|Q9FB27.A1|WP_078587912.1.A1	5
AAG02359.1.A3|Q9FB23.A2	5
CAJ76286.1.A1	5
ABL74936.1.A1	5
ABL74940.1.A3	5
ACG60776.1.A3|B9UJ01.A2	5
AJW76709.1.A1	5
ALG65313.1.A1	5
ALV82384.1.A3	5
ANZ15839.1.A2	5
ATU31795.1.A2	5
QBG38784.1.A4	5
QDA77045.1.A1	5
QDJ74273.1.A2	5
QBA57741.1.A1	5
Q9Z4X5.A3	5
ACG60782.1.A1	5
KFL51887.1.A1	5
B8RG41.A1	5
AID65222.1.A1|AID65222.1.A2	5
CBG67541.1.A4	5
AEH59100.1.A6	5
AAF17280.1.A3	5
CCM44336.1.A3	5
CCM44336.1.A4	5
AIW82277.1.A1	5
AIW82283.1.A2	5
AIW82284.1.A2	5
PHM26612.1.A3	5
PHM26612.1.A4	5
AVI26390.1.A2	5
AXN93575.1.A1|AXN93584.1.A1	5
AXN93581.1.A2	5
AXN93581.1.A4|AXN93590.1.A4	5
AXN93590.1.A2	5
AXN93592.1.A1	5
AXN93602.1.A2	5
AXN93602.1.A4	5
AXN93605.1.A1	5
AXN93614.1.A2	5
AXN93615.1.A1	5
WP_012408785.1.A3	5
QWP75305.1.A4	5
QWP75305.1.A5	5
MBV7329455.1.A1	5
Q9RAH2.A3	5
AEP18655.1.A2	5
AEP18656.1.A2	5
Ga0173608_111792.A5	5
Ga0173608_112008.A1	5
AHB82056.1.A1	5
AHB82069.1.A1	5
CAC48360.1.A3|Q939Z1.A3	6
AEI58865.1.A3	6
OKA09423.1.A3	6
EME52990.1.A3	6
CAA11794.1.A3|O52819.A3	6
ATD05719.1.A1	7
ATD05720.1.A2|ERG36783.1.A2	7
WP_010369428.1.A2	7
WP_010369430.1.A1	7
AEA30272.1.A3	8
QBC75021.1.A3	9
QBC75022.1.A5	9
QBC75023.1.A1	9
AAX31557.1.A3|Q50E74.A3	9
AAX31558.1.A2	9
AAX31558.1.A4	9
UEF20578.1.A2	9
QKF54436.1.A2	9
AAZ23077.1.A2	10
CAB38517.1.A1|Q9Z4X5.A1	10
CAB38518.1.A4|Q9Z4X6.A4	10
CAB38518.1.A5|Q9Z4X6.A5	10
AEG64696.1.A1	10
AEG64697.1.A2	10
AEG64697.1.A4	10
ALV82356.1.A4	10
ALV82356.1.A5	10
ALV82384.1.A1	10
AAZ23076.1.A2	11
CAM56770.1.A2	11
CAM56770.1.A4	11
AHH53506.1.A3	11
AHH53507.1.A2	11
AHH53507.1.A4	11
ARU08074.1.A3	11
QBC75022.1.A1	11
QBC75022.1.A2	11
QED55422.1.A1	11
QED55423.1.A2	11
QEO74981.1.A4	12
QEO75074.1.A1	12
AHI59109.1.A1	13
ADB02855.1.A1	14
UHJ79951.1.A4	15
CBF76036.1.A1	16
QCC62999.1.A3	16
AET13875.1.A2|AET13879.1.A2	17
AAZ23078.1.A1	18
AHH53508.1.A1	18
AXM43064.1.A1	18
A05163.A1	18
CAD55498.1.A1	18
ALV82388.1.A1	18
