domain	clade
THA23581.1.A1	0
EFL06871.1.A1	1
ABU70375.1.A1	2
AAG00564.1.A1	2
AAZ55904.1.A1	2
BAH33406.1.A1	2
YP_856992.1.A1	2
P10378.A1	2
Q83M10.A1	2
Q8FK18.A1	2
Q8XBV3.A1	2
ABS75234.1.A1	2
AAC44632.1.A1|CAB15188.1.A1	2
CAA33158.1.A1	2
AAO69874.1.A1	2
ctg1_116.A1	2
BAC12912.1.A1	2
AAG31128.1.A1	2
CBA63660.1.A1	2
ACU36660.1.A1	2
AAO07759.1.A1	2
CAJ45636.1.A1	2
AAD55799.1.A1	3
Q9RFM9.A1	3
AAO07763.1.A1	4
CAP20363.1.A1	5
P71716.A1	6
Q56950.A1	6
CCA53797.1.A1	7
Q8CV01.A1	7
AGE11892.1.A1	7
AAA93464.1.A1	7
Q9FDB2.A1	8
Q8FXQ0.A1	9
CAG69514.1.A1	10
AQZ26587.1.A2	10
Q9EZ79.A1	11
WP_010639243.1.A1	12
antaF.A1	12
BBD17745.1.A1	12
AWX24488.1.A1	12
BBD17766.1.A1	12
EAU29302.1.A1	13
AFI_55290.A1	13
QMS79067.1.A1	13
EAL89049.1.A1	13
ADY16697.1.A1	13
Q840D1.A1	14
Q81QP9.A1	14
P40871.A1	14
Q8GA86.A1	14
Q8Z8L1.A1	14
Q8ZR32.A1	14
CDG76957.1.A1	15
