domain	clade
FGSG_15673.A6	0
FGSG_15673.A7	0
KFH48607.1.A2|P25464.A2	1
AAA63415.1.A2|ABA70582.1.A2|ABR12615.1.A2|CAA38195.1.A2|P19787.A2|P26046.A2	1
AAA03914.1.A2|P27742.A2	1
EDY47118.1.A2	1
BAA08846.1.A2|P94873.A2	1
CAA40561.1.A2|P27743.A2	1
AAK1902.1.A2|AAK21902.1.A2|Q9C1G0.A2	1
ADB02873.1.A1	2
CAJ34374.1.A1	3
DAC82028.1.A2	4
ATY69584.1.A1	4
BAI63289.1.A1	4
BAE98156.1.A1	4
BAH04161.1.A1	4
WP_028678148.1.A1	4
AET98905.1.A1	4
AAN85522.1.A1	4
ATY69551.1.A1	4
Q8GGP3.A1	4
CAJ34375.1.A1	4
ADQ55476.1.A2	5
AAG02365.1.A1|Q9FB17.A1|WP_004947046.1.A1	6
WP_012118250.1.A1	7
WP_012118250.1.A2|WP_012118250.1.A3	7
AAC83657.1.A1|O85740.A1	8
Q9HWG4.A1|Q9RFM7.A1	8
CCA53804.1.A1	8
CCC55921.1.A1	9
CCB53269.1.A1	9
WP_011146563.1.A1	9
Q2HQW8.A1	9
UHJ79951.1.A3	9
AGN74898.1.A1	9
AWI62627.1.A2	9
ARO38317.1.A1	10
CAJ76289.1.A1	11
CAJ76290.1.A2	11
AAF19811.1.A1	12
AAW03326.1.A1	12
CAD89774.1.A1|Q70P97.A1	12
E0F75_025360.A1	12
CAC17500.1.A1	12
WP_004721331.1.A1	12
CBK62746.1.A1	12
AAC06346.1.A2|O68006.A2	12
WP_010973247.1.A2	12
QUS58938.1.A3	12
AAT70101.1.A1|AEE88284.1.A1	12
AAF62881.1.A1	12
ADH04680.1.A1	12
ABC39418.1.A1|ABC39418.1.A2	12
ABP57745.1.A2	12
Q7BN95.A1	12
AAY42398.1.A2	13
RAT94090.1.A2	13
RAT94090.1.A3	13
RAT94090.1.A4	13
RAT94090.1.A5	13
AAY42397.1.A2|Q1EDB1.A2	14
CAD89775.1.A1	14
AAF19812.1.A1|Q9RFK8.A1	14
AXM42949.1.A1	14
AAN32981.1.A2|Q8GAQ3.A2	14
QXJ21808.1.A2	14
ADH04641.1.A1	14
ANI24100.1.A2	14
UHJ79951.1.A2	14
DAB41917.1.A1	14
CAD15508.1.A1|CAD15508.1.A2	15
AAA27636.1.A1|P48633.A1|Q8ZF24.A1	15
CAP20364.1.A1	15
CCA53799.1.A1	15
CAC17499.1.A2	15
WP_011146562.1.A1	15
AAO92378.1.A1|P19828.A1	15
CAD15513.1.A1	15
ABC36785.1.A2	15
AFR69334.1.A2	15
ABP57748.1.A2	15
CDG12865.1.A2	15
CCA29202.1.A2	15
CCA29203.1.A2	15
CDG12864.1.A2	15
WP_044618979.1.A2	15
WP_044618979.1.A3	15
ACG60772.1.A2	15
AAG02364.1.A2|Q9FB18.A2|WP_004947051.1.A2	15
ABL74945.1.A2	15
Q8CZT9.A1	16
AAC83656.1.A1|O85739.A1	17
Q9RFM8.A1	17
CAJ34375.1.A2	18
