domain	clade
Ga0173608_111792.A5	0
CBF76036.1.A1	1
QCC62999.1.A3	2
CBF73453.1.A5	3
UHJ79951.1.A4	4
ATD05719.1.A1	5
WP_010369430.1.A1	5
ATD05720.1.A2|ERG36783.1.A2	5
WP_010369428.1.A2	5
QBG38784.1.A4	6
AEP18655.1.A2	7
AEP18656.1.A2	7
OKA09423.1.A3	8
AEI58865.1.A3	8
EME52990.1.A3	8
CAA11794.1.A3|O52819.A3	8
CAC48360.1.A3|Q939Z1.A3	8
AAX31557.1.A2|Q50E74.A2	9
AAZ23075.1.A3|Q45R85.A3	10
AAZ23077.1.A4	10
AJW76709.1.A1	11
ANZ15839.1.A2	11
ATU31795.1.A2	11
CBG67541.1.A4	12
ALV82384.1.A3	13
CAB38517.1.A3	13
Q9Z4X5.A3	13
QDJ74273.1.A2	13
ALG65313.1.A1	13
QBA57741.1.A1	13
WP_047197779.1.A3	14
QDA77045.1.A1	15
QWP75305.1.A4	16
QWP75305.1.A5	16
AEH59100.1.A6	16
AVI26390.1.A2	17
MBV7329455.1.A1	18
AXN93592.1.A1	19
AXN93605.1.A1	19
AXN93602.1.A2	19
AXN93614.1.A2	19
AXN93602.1.A4	19
AXN93615.1.A1	19
AIW82277.1.A1	20
AXN93575.1.A1|AXN93584.1.A1	20
AIW82284.1.A2	21
AXN93590.1.A2	22
AXN93581.1.A2	22
AXN93581.1.A4|AXN93590.1.A4	22
WP_012408785.1.A3	23
AAF17280.1.A3	23
Q9RAH2.A3	23
AHB82056.1.A1	24
AHB82069.1.A1	24
CCM44336.1.A4	24
PHM26612.1.A4	24
CCM44336.1.A3	24
PHM26612.1.A3	24
ACG60776.1.A3|B9UJ01.A2	24
AAG02359.1.A3|Q9FB23.A2	24
ABL74940.1.A3	24
ACG60782.1.A1	24
AAG02355.1.A1|Q9FB27.A1|WP_078587912.1.A1	24
ABL74936.1.A1	24
AID65222.1.A1|AID65222.1.A2	25
AID65224.1.A1	25
KFL51887.1.A1	25
B8RG41.A1	25
CAJ76286.1.A1	26
CAE52342.1.A1	27
AKP45396.1.A1	27
AHD05627.1.A1	28
C0JRF0.A1	28
ABQ96384.2.A5	29
ATY37608.1.A1	30
BAH43766.1.A1	30
O30409.A1	30
BAB69700.1.A1|Q93I54.A1	31
AAF08797.1.A2|Q9R9I9.A2	31
AHD05677.1.A1	31
AAF08796.1.A2|Q9R9J0.A2	31
ABS74180.1.A2|CAE11249.1.A2	31
BAB69699.1.A2|Q93I55.A2	31
AAN07013.1.A2	31
AAF08795.1.A1|AAF08795.1.A2|Q9R9J1.A1	31
AAN07012.1.A1	31
ABS74181.1.A2|CAE11250.1.A1|CAE11250.1.BGC0001090	31
BAB69698.1.A1|BAB69698.1.A2|Q93I56.A1	31
AHD05678.1.A2	31
AHD05679.1.A2	31
AAC06348.1.A5|O68008.A5	32
