domain	clade
CBG67541.1.A2	0
THA23575.1.A1	1
AHB38515.1.A1	1
CUX96954.1.A1	1
Ga0173608_111498.A2	1
AAU34202.1.A1|Q643C7.A1	1
ABD65958.1.A3	1
Ga0173608_111474.A7	1
Ga0173608_112008.A3	1
Ga0173608_112008.A6	1
Ga0173608_111989.A5	1
CAQ18831.1.A1	1
EPE34341.1.A2	2
BAN91483.1.A2	2
AMM63162.1.A2	2
AFT91378.1.A2	2
QCC62999.1.A7	2
EKJ70673.1.A1	2
BAO73252.1.A1	2
QCC62999.1.A4	2
QCC62999.1.A5	2
QCC62999.1.A6	2
BAN91483.1.A5	2
AMM63162.1.A5	2
AFT91378.1.A5	2
chaP_not_in_genbank.A1|ctg1_orf10.A1	3
EAL88817.1.A2	3
EXU96269.1.A4	4
CRG85572.1.A4	4
astN.A4	4
ADB02873.1.A1	5
AFH75322.1.A5	6
AAY37647.1.A3	6
AAY37647.1.A4	6
AAO72425.1.A10	6
AAO72425.1.A11	6
CCJ67640.1.A5	6
AHZ34243.1.A4	6
KPN90376.1.A7	6
KPN93065.1.A2	6
WP_047195042.1.A4	6
WP_047197778.1.A3	6
APU91751.1.A5	6
AF047828.1.A3	6
AF047828.1.A4	6
O85168.A3	6
O85168.A4	6
Q83VS0.A2	6
Q83VS0.A3	6
KFH48607.1.A2|P25464.A2	7
AAA63415.1.A2|ABA70582.1.A2|ABR12615.1.A2|CAA38195.1.A2|P19787.A2|P26046.A2	7
AAA03914.1.A2|P27742.A2	7
AAK1902.1.A2|AAK21902.1.A2|Q9C1G0.A2	7
EDY47118.1.A2	7
BAA08846.1.A2|P94873.A2	7
CAA40561.1.A2|P27743.A2	7
CAJ96472.1.A2	8
AAY93445.1.A4	8
KFL51886.1.A1	8
AAX16327.1.A2	8
AAG05812.1.A3	8
BAX64246.1.A1	8
BAX64246.1.A2	8
WP_013184464.1.A2	9
ESU15173.1.A1	10
BN849_0052030.A1	10
CRG85572.1.A1	11
AJM89738.1.A3	12
ACA97580.1.A1|B9TTF7.A1	12
ACA97580.1.A3|B9TTF7.A3	12
AHF21228.1.A2	12
AHF21228.1.A7	12
AHF21228.1.A8	12
AEZ51520.1.A1	12
AEZ51520.1.A3	12
AJM89738.1.A1	12
WP_129549303.1.A2	12
WP_129549303.1.A7	12
WP_129549303.1.A8	12
AFJ14793.1.A1	12
AFJ14794.1.A2	12
AFJ14794.1.A5	12
ACA97576.1.A3	12
ACA97576.1.A4	12
ACA97580.1.A4|B9TTF7.A4	12
ACA97580.1.A5|B9TTF7.A5	12
AEZ51516.1.A3	12
AEZ51516.1.A4	12
AEZ51520.1.A4	12
AEZ51520.1.A5	12
AJM89735.1.A3	12
AJM89735.1.A4	12
AJM89738.1.A4	12
AJM89738.1.A5	12
CUX79060.1.A1	12
CUX79060.1.A2	12
CUX79060.1.A3	12
CUX79061.1.A3	12
CUX79061.1.A4	12
WP_013310343.1.A1	13
EXU96269.1.A3	14
EXU96269.1.A7	14
WP_039806850.1.A2	15
THA23581.1.A2	16
AAC83657.1.A1|O85740.A1	17
AAC06346.1.A2|O68006.A2	17
CAC17500.1.A1	17
ADQ55476.1.A2	17
CCA29202.1.A2	17
AAN32981.1.A2|Q8GAQ3.A2	17
AAG02364.1.A2|Q9FB18.A2|WP_004947051.1.A2	17
ABC39418.1.A1|ABC39418.1.A2	17
CAJ76289.1.A1	17
CAJ76290.1.A2	17
AAF62881.1.A1	17
ABP57745.1.A2	17
AAY42397.1.A2|Q1EDB1.A2	17
AAY42398.1.A2	17
CAD89775.1.A1	17
AAF19812.1.A1|Q9RFK8.A1	17
CBK62746.1.A1	17
CDG12864.1.A2	17
CDG12865.1.A2	17
RAT94090.1.A2	17
RAT94090.1.A3	17
RAT94090.1.A4	17
RAT94090.1.A5	17
WP_044618979.1.A2	17
WP_044618979.1.A3	17
CCA53804.1.A1	17
AWI62627.1.A2	17
DAB41917.1.A1	17
WP_004721331.1.A1	17
E0F75_025360.A1	17
QXJ21808.1.A2	17
WP_012118250.1.A1	17
WP_012118250.1.A2|WP_012118250.1.A3	17
UHJ79951.1.A3	17
WP_011146563.1.A1	17
Q7BN95.A1	17
Q8CZT9.A1	17
Q9HWG4.A1|Q9RFM7.A1	17
ADH04641.1.A1	17
ANI24100.1.A2	17
CCA53799.1.A1	17
AAC83656.1.A1|O85739.A1	17
CCB53269.1.A1	17
Q9RFM8.A1	17
Q2HQW8.A1	17
ABC36785.1.A2	17
ABP57748.1.A2	17
AFR69334.1.A2	17
CCC55921.1.A1	17
BAE98156.1.A1	17
AET98905.1.A1	17
BAH04161.1.A1	17
WP_028678148.1.A1	17
BAI63289.1.A1	17
CAJ34375.1.A1	17
AAN85522.1.A1	17
ATY69551.1.A1	17
ATY69584.1.A1	17
DAC82028.1.A2	17
Q8GGP3.A1	17
ADH04680.1.A1	17
AAW03326.1.A1	17
CAD89774.1.A1|Q70P97.A1	17
AAT70101.1.A1|AEE88284.1.A1	17
CAD15513.1.A1	17
AAF19811.1.A1	17
ABL74945.1.A2	17
WP_010973247.1.A2	17
QUS58938.1.A3	17
UHJ79951.1.A2	17
AXM42949.1.A1	17
CAC17499.1.A2	17
ACG60772.1.A2	17
CAD15508.1.A1|CAD15508.1.A2	17
CAP20364.1.A1	17
CCA29203.1.A2	17
WP_011146562.1.A1	17
AAO92378.1.A1|P19828.A1	17
AAA27636.1.A1|P48633.A1|Q8ZF24.A1	17
AGN74898.1.A1	18
ATG32076.1.A1	19
ARO38317.1.A1	20
CCJ67645.1.A1	21
CCJ67646.1.A1	21
Ga0173608_11675.A8	21
Ga0173608_111474.A6	21
AAG02358.1.A1|Q9FB24.A1|WP_004942671.1.A1	22
AAZ23075.1.A4|Q45R85.A4	23
AAX31557.1.A4|Q50E74.A4	23
ABD65956.1.A2|Q06YZ3.A2	23
ABD65957.1.A3	23
AAD44233.1.A2	23
AAY37650.1.A1|Q52400.A1	23
AED90004.1.A1	23
AGN74876.1.A1	23
CCJ67647.1.A1	23
DAB41477.1.A3	23
KPN90374.1.A1	23
AIW58892.1.A4	23
AIW58892.1.A5	23
ATL73036.1.A1	23
QUS58939.1.A2	23
NSC20090.1.A1	23
Ga0173608_112187.A2	23
Ga0173608_111474.A2	23
ABL74939.1.A1	24
AAD50521.1.A1	25
ADG27358.1.A1|O68487.A1|WP_057667184.1.A1	25
CAB38518.1.A2|Q9Z4X6.A2	25
CBA63680.1.A2|D2TVG0.A2	25
AEG64697.1.A6	25
AEH59100.1.A4	25
AEI70245.1.A2	25
AAY93355.1.A1	25
ABG94125.1.A1|YP_702283.1.A1	25
AEA30272.1.A1	25
EFE73312.1.A2	25
EFE73312.1.A4	25
AAY37647.1.A7	25
WP_010639240.1.A1	25
ADH01485.1.A1|AIC32693.1.A1	25
AEF33078.1.A1	25
AGN11881.1.A1	25
BAF50711.1.A1	25
CBZ42140.1.A1	25
AIW82283.1.A1	25
AIW82284.1.A1	25
AJF34464.1.A2	25
DAB41484.1.A1	25
ALV82356.1.A2	25
ALV86866.1.A3	25
ALV86866.1.A4	25
AKC91849.1.A3	25
antaC.A1	25
WP_067426775.1.A1	25
WP_047195042.1.A2	25
WP_047197779.1.A2	25
