domain	clade
ADB02873.1.A1	0
KFH48607.1.A2|P25464.A2	1
AAA63415.1.A2|ABA70582.1.A2|ABR12615.1.A2|CAA38195.1.A2|P19787.A2|P26046.A2	1
AAA03914.1.A2|P27742.A2	1
AAK1902.1.A2|AAK21902.1.A2|Q9C1G0.A2	1
EDY47118.1.A2	1
BAA08846.1.A2|P94873.A2	1
CAA40561.1.A2|P27743.A2	1
AAC83657.1.A1|O85740.A1	2
AAC06346.1.A2|O68006.A2	2
CAC17500.1.A1	2
ADQ55476.1.A2	2
CCA29202.1.A2	2
AAN32981.1.A2|Q8GAQ3.A2	2
AAG02364.1.A2|Q9FB18.A2|WP_004947051.1.A2	2
ABC39418.1.A1|ABC39418.1.A2	2
CAJ76289.1.A1	2
CAJ76290.1.A2	2
AAF62881.1.A1	2
ABP57745.1.A2	2
AAY42397.1.A2|Q1EDB1.A2	2
AAY42398.1.A2	2
CAD89775.1.A1	2
AAF19812.1.A1|Q9RFK8.A1	2
CBK62746.1.A1	2
CDG12864.1.A2	2
CDG12865.1.A2	2
RAT94090.1.A2	2
RAT94090.1.A3	2
RAT94090.1.A4	2
RAT94090.1.A5	2
WP_044618979.1.A2	2
WP_044618979.1.A3	2
CCA53804.1.A1	2
AWI62627.1.A2	2
DAB41917.1.A1	2
WP_004721331.1.A1	2
E0F75_025360.A1	2
QXJ21808.1.A2	2
WP_012118250.1.A1	2
WP_012118250.1.A2|WP_012118250.1.A3	2
UHJ79951.1.A3	2
WP_011146563.1.A1	2
Q7BN95.A1	2
Q8CZT9.A1	2
Q9HWG4.A1|Q9RFM7.A1	2
ADH04641.1.A1	2
ANI24100.1.A2	2
CCA53799.1.A1	2
AAC83656.1.A1|O85739.A1	2
CCB53269.1.A1	2
Q9RFM8.A1	2
Q2HQW8.A1	2
ABC36785.1.A2	2
ABP57748.1.A2	2
AFR69334.1.A2	2
CCC55921.1.A1	2
BAE98156.1.A1	2
AET98905.1.A1	2
BAH04161.1.A1	2
WP_028678148.1.A1	2
BAI63289.1.A1	2
CAJ34375.1.A1	2
AAN85522.1.A1	2
ATY69551.1.A1	2
ATY69584.1.A1	2
DAC82028.1.A2	2
Q8GGP3.A1	2
ADH04680.1.A1	2
AAW03326.1.A1	2
CAD89774.1.A1|Q70P97.A1	2
AAT70101.1.A1|AEE88284.1.A1	2
CAD15513.1.A1	2
AAF19811.1.A1	2
ABL74945.1.A2	2
WP_010973247.1.A2	2
QUS58938.1.A3	2
UHJ79951.1.A2	2
AXM42949.1.A1	2
CAC17499.1.A2	2
ACG60772.1.A2	2
CAD15508.1.A1|CAD15508.1.A2	2
CAP20364.1.A1	2
CCA29203.1.A2	2
WP_011146562.1.A1	2
AAO92378.1.A1|P19828.A1	2
AAA27636.1.A1|P48633.A1|Q8ZF24.A1	2
AGN74898.1.A1	3
ARO38317.1.A1	4
CAJ34374.1.A1	5
AAG02365.1.A1|Q9FB17.A1|WP_004947046.1.A1	6
CAJ34375.1.A2	7
FGSG_15673.A6	8
FGSG_15673.A7	8
