domain	clade
EXU96269.1.A1	0
AAC06347.1.A1|O68007.A1	1
CFJ82030.1.A1|O86329.A1|Q7D791.A1	2
WP_041826607.1.A5	3
CAE14173.1.A1|WP_232507913.1.A1	4
AGM16413.1.A2	4
AGM16414.1.A2	4
AAG31130.1.A1	5
YP_856990.1.A1	5
QRK05501.1.A1	5
ACC81021.1.A2	5
ACZ55942.1.A2	5
ACZ55945.1.A2	5
CCP42826.1.A1	5
ABV79985.1.A2	5
AJY78094.1.A1	6
WP_013184461.1.A1	7
SOV25622.1.A1	7
SOV25619.1.A1|WP_013184464.1.A1	7
SOV25622.1.A3|WP_013184461.1.A3	8
AFH75322.1.A6	9
CCJ67640.1.A6	9
APU91751.1.A6	9
PHM49485.1.A6	9
QIE07359.1.A1	10
AAY93354.1.A3	10
AAY93356.2.A3	10
WP_047195042.1.A1	10
AAX16296.1.A1	11
AHD05617.1.A1	12
Ga0173608_112008.A9	13
EFE73313.1.A2	14
WP_078857611.1.A1	14
AGE11898.1.A2	15
AAZ23077.1.A1	16
QNH67550.1.A5	17
ARU08074.1.A1	18
NSC23530.1.A1	19
ATY37590.1.A4	20
ATY37591.1.A3	20
AAY29580.1.A4	20
