domain_id	specificity
A05163.A1	aspartic acid
A0FCL0.A1	pipecolic acid
A45086.A3|AAA33023.2.A3|Q01886.A3	D-alanine
A4FE38.A1|CAM02313.1.A1	N5-acetyl-N5-hydroxyornithine
A4FE38.A2|CAM02313.1.A2	serine
A4FE38.A3|CAM02313.1.A3	N5-hydroxyornithine
A4FE38.A4|CAM02313.1.A4	N5-acetyl-N5-hydroxyornithine
A4PHN0.A1|BAF50727.1.A1	glycine
A6P624.A1	tyrosine
A6YEH7.A1|ABR67749.1.A1	2,3-diaminopropionic acid
A7UC77.A1|ABS87601.1.A1|EAL85113.2.A1	phenylalanine
A8BB73.A1	ornithine
A8KCJ2.A1	threonine
A8KNE2.A1|CAO91861.1.A1	tryptophan
A8M6W3.A1|ABW00331.1.A1	1-(1,1-dimethylallyl)-tryptophan|N-(1-methyl)-tryptophan|N-(1-propargyl)-tryptophan|tryptophan
A8M6W3.A2|ABW00331.1.A4	phenylalanine
A9LJA2.A1|ABX38811.1.A1	threonine
A9LJA2.A2|ABX38811.1.A2	isoleucine|valine
A9LJA2.A3|ABX38811.1.A3	isoleucine|valine
A9LJA2.A4|ABX38811.1.A4	threonine
A9LJA2.A5|ABX38811.1.A5	glutamine|asparagine
A9LJA2.A6|ABX38811.1.A6	D-alanine
AAA03914.1.A1|P27742.A1	2-aminoadipic acid
AAA03914.1.A2|P27742.A2	cysteine
AAA03914.1.A3|P27742.A3	valine
AAA25234.1.A1|P35854.A1	alanine
AAA27636.1.A1|P48633.1.A1	cysteine
AAA33023.2.A1|Q01886.A1	proline
AAA33023.2.A2|Q01886.A2	alanine
AAA33023.2.A4|Q01886.A4	2S-amino-9,10-epoxy-8-oxodecanoic acid
AAA34747.1.A1|P07702.A1	2-aminoadipic acid
AAA63415.1.A1|ABA70582.1.A1|ABR12615.1.A1|P19787.A1|P26046.A1	2-aminoadipic acid
AAA63415.1.A2|ABA70582.1.A2|P26046.A2	cysteine
AAA63415.1.A3|ABA70582.1.A3|P19787.A3|P26046.A3	valine
AAA92015.1.A1|P11454.A1	serine
AAA93464.1.A1|Q56950.A1	salicylic acid
AAB00093.1.A1|Q45563.A1	isoleucine
AAB39900.1.A1|Q01757.A1	2-aminoadipic acid
AAB60198.1.A1|Q51338.A1|Q9I182.A1	threonine
AAB60198.1.A2|Q51338.A2|Q9I182.A2	threonine
AAB80955.2.A1|O30980.A1	proline
AAB80955.2.A2|O30980.A2	glutamine
AAB80955.2.A3|O30980.A3	tyrosine
AAB80956.1.A1|O30981.A1	glutamic acid
AAB80956.1.A2|O30981.A2	alanine|valine
AAB93493.1.A1	glycine
AAB93493.1.A2	N5-acetyl-N5-hydroxyornithine
AAC05774.1.A1|Q53526.4.A1	D-alanine
AAC06346.1.A1|O68006.A1	isoleucine
AAC06346.1.A2|O68006.A2	cysteine
AAC06346.1.A3|O68006.A3	leucine
AAC06346.1.A4|O68006.A4	glutamic acid
AAC06346.1.A5|O68006.A5	isoleucine
AAC06347.1.A1|O68007.A1	lysine
AAC06347.1.A2|O68007.A2	ornithine
AAC06348.1.A1|O68008.A1	isoleucine
AAC06348.1.A2|O68008.A2	phenylalanine
AAC06348.1.A3|O68008.A3	histidine
AAC06348.1.A4|O68008.A4	aspartic acid
AAC06348.1.A5|O68008.A5	asparagine
AAC36721.1.A1|O87606.A1	glutamic acid
AAC36721.1.A2|O87606.A2	ornithine
AAC44128.1.A1|Q50857.A1	alanine
AAC44128.1.A2|Q50857.A2	alanine
AAC44129.1.A1|Q50858.A1	glycine
AAC44632.1.A1|CAB15188.1.A1|P40871.2.A1	2,3-dihydroxybenzoic acid
AAC45929.1.A1|O30408.A1	proline
AAC45929.1.A2|O30408.A2	phenylalanine
AAC45929.1.A3|O30408.A3	phenylalanine
AAC68816.1.A1|Q9ZGA6.A1	pipecolic acid
AAC82549.1.A1|O87313.A1	N5-formyl-N5-hydroxyornithine
AAC82549.1.A2|O87313.A2	beta-alanine
AAC82550.1.A1|O87314.A1	N5-hydroxyornithine
AAC82550.1.A2|O87314.A2	threonine
AAC82550.1.A3|O87314.A3	N5-hydroxyornithine
AAC83656.1.A1|O85739.A1	cysteine
AAC83657.1.A1|O85740.A1	cysteine
AAD04757.1.A1|O66069.A1	glutamine
AAD04759.1.A1|O66071.A1	isoleucine
AAD44233.1.A1	phenylalanine
AAD44233.1.A2	threonine
AAD44234.1.A1	alanine
AAD44234.1.A2	alaninol
AAD50521.1.A1	threonine
AAD55799.1.A1|Q9RFM9.A1	salicylic acid
AAD56240.1.A1|CAB15186.3.A1|P45745.A1	glycine
AAD56240.1.A2|CAB15186.3.A2|P45745.A2	threonine
AAF00957.1.A1|AAX73195.1.A1|BAB12213.1.A1	cinnamic acid
AAF00958.1.A1|Q9RNB3.A1	D-glutamic acid branched
AAF00960.1.A1|Q9RNB1.A1	serine
AAF00960.1.A2|Q9RNB1.A2	alanine
AAF00961.1.A1|Q9RNB0.A1	leucine|tyrosine|valine
AAF00961.1.A2	3S-methyl-D-aspartic acid branched|D-aspartic acid branched
AAF00962.1.A1|Q9RNA9.A1	leucine|isoleucine|valine
AAF01762.1.A1	3,3-dihomophenylalanine|3,3-dihomotyrosine|3,3-dihomo-4-methoxytyrosine
AAF01762.1.A2	3,3-dihomophenylalanine|3,3-dihomotyrosine|3,3-dihomo-4-methoxytyrosine
AAF01762.1.A3	alanine
AAF08795.1.A2|Q9R9J1.A2	asparagine
AAF08796.1.A1|Q9R9J0.A1	tyrosine
AAF08796.1.A2|Q9R9J0.A2	asparagine
AAF08796.1.A3|Q9R9J0.1.A3	glutamine
AAF08796.1.A4|Q9R9J0.A4	proline
AAF08797.1.A1|Q9R9I9.1.A1	serine
AAF08797.1.A2|Q9R9I9.A2	asparagine
AAF15891.2.A1|Q9RAH4.A1	isoleucine|valine
AAF15891.2.A2|Q9RAH4.A2	serine
AAF15891.2.A3|Q9RAH4.A3	4S-methylproline
AAF15891.2.A4|Q9RAH4.A4	leucine
AAF17280.1.A1|Q9RAH2.A1	leucine
AAF17280.1.A2|Q9RAH2.A2	glycine
AAF17280.1.A3|Q9RAH2.A3	asparagine
AAF17281.1.A1|Q9RAH1.A1	tyrosine
AAF17281.1.A2|Q9RAH1.A2	proline
AAF19811.1.A1	cysteine
AAF19812.1.A1|Q9RFK8.A1	cysteine
AAF19815.1.A1	glycine
AAF62881.1.A1	cysteine
AAF86395.1.A1|Q9KID8.A1	pipecolic acid
AAF99707.2.A1|Q9FDB3.A1	threonine
AAF99707.2.A2|Q9FDB3.A2	proline
AAF99707.2.A3|Q9FDB3.A3	valine
AAF99707.2.A4|Q9FDB3.A4	valine
AAF99707.2.A5|Q9FDB3.A5	alanine
AAG00564.1.A1|Q9FDB2.A1	2,3-dihydroxybenzoic acid
AAG00566.1.A1|Q9FDB0.A1	threonine
AAG02355.1.A1|Q9FB27.A1	asparagine
AAG02355.1.A2	histidine
AAG02356.1.A1|Q9FB26.A1	alanine
AAG02358.1.A1|Q9FB24.A1	threonine
AAG02359.1.A2|Q9FB23.A2	serine
AAG02359.1.A3|Q9FB23.A3	asparagine
AAG02364.1.A1|Q9FB18.A1	beta-alanine
AAG02364.1.A2|Q9FB18.A2	cysteine
AAG02365.1.A1|Q9FB17.A1	cysteine
AAG05812.1.A2|Q9I157.A2	glutamic acid
AAG05812.1.A3|Q9I157.A3	tyrosine
AAG05812.1.A4|Q9I157.A4	2,4-diaminobutyric acid
AAG06715.1.A1|NP_252017.1.A1	serine
AAG06715.1.A2|NP_252017.1.A2	azetidine-2-carboxylic acid
AAG31128.1.A1	2,3-dihydroxybenzoic acid
AAG31130.1.A1	lysine
AAK21902.1.A1|Q9C1G0.A1	2-aminoadipic acid
AAK21902.1.A2|Q9C1G0.A2	cysteine
AAK21902.1.A3|Q9C1G0.A3	valine
AAK46746.1.A1|P71717.2.A1|Q7TYQ4.A1	serine|threonine
AAK57184.1.A1	alanine
AAK76230.1.A1|P0A398.A1	alanine
AAK81824.1.A2|Q93N89.A2	tryptophan
AAK81825.1.A1|Q93N88.A1	4-hydroxyphenylglycine
AAK81826.1.A1|Q93N87.A1	4-hydroxyphenylglycine
AAK81826.1.A2|Q93N87.A2	4-hydroxyphenylglycine
AAK81826.1.A3|Q93N87.A3	tyrosine
AAK81827.1.A1|Q93N86.A1	4-hydroxyphenylglycine
AAL33756.1.A1	alanine
AAL33757.1.A1	glycine
AAL33758.1.A1	3-hydroxy-O-methyl-5-methyltyrosine
AAL82383.1.A1|Q8RTG4.A1	arginine
AAM78457.1.A1	2-aminoisobutyric acid
AAM78457.1.A10	serine
AAM78457.1.A11	leucine
AAM78457.1.A12	2-aminoisobutyric acid
AAM78457.1.A13	proline
AAM78457.1.A14	leucine
AAM78457.1.A15	2-aminoisobutyric acid
AAM78457.1.A16	2-aminoisobutyric acid
AAM78457.1.A17	glutamine
AAM78457.1.A18	valinol
AAM78457.1.A2	glycine
AAM78457.1.A3	alanine
AAM78457.1.A4	valine|leucine
AAM78457.1.A5	2-aminoisobutyric acid|isovaline
AAM78457.1.A6	glutamine
AAM78457.1.A7	2-aminoisobutyric acid|isovaline
AAM78457.1.A8	alanine
AAM78457.1.A9	2-aminoisobutyric acid
