domain	clade
BAH43765.1.A2	0
AAC45929.1.A2|O30408.A2	0
EJP62835.1.A1	1
EGX96627.1.A1	1
EJP62835.1.A2	2
XP_003044554.1.A1	3
QNH68024.1.A1	4
smbA.A1	5
EAW09117.1.A1	6
CBF87869.1.A1	7
CAB39315.1.A2|O94205.A2	8
KAF7597140.1.A1	8
CEO59272.1.A1	8
EHA27898.1.A1|PYH50506.1.A1	9
Ga0173608_112187.A1	10
Ga0173608_111474.A1	10
Ga0173608_112008.A8	10
Ga0173608_111792.A1	10
Ga0173608_111498.A3	10
Ga0173608_111474.A4	10
Ga0173608_112008.A2	10
Ga0173608_11675.A11	10
OAL11436.1.A1	11
QOE83924.1.A1	11
PHM49485.1.A3	12
PHM49485.1.A5	12
YP_856988.1.A1	13
AAU34202.1.A3|Q643C7.A3	13
EAU36744.1.A1|XP_001212648.1.A1	13
ANI24100.1.A3	14
EAL88817.1.A1	15
BAX90000.1.A3	16
WP_013184596.1.A2	17
WP_013184596.1.A3	17
QEO74983.1.A1	18
QEO75077.1.A1	18
CAA67249.1.A2|O07944.A2	19
AJF34463.1.A1	20
AEH59099.1.A3	21
AAZ03552.1.A3	22
AEU11003.1.A2	23
WP_051206727.1.A1	24
ACC81021.1.A1	24
ABI26078.1.A4	25
WP_044618979.1.A1	26
WP_013428774.1.A2	26
AID65224.1.A2	27
CAA72310.1.A2|O05647.A2	28
A7UC77.A1|ABS87601.1.A1|EAL85113.2.A1	28
AAC06348.1.A2|O68008.A2	29
ACZ55946.1.A1	30
AAC45929.1.A3|O30408.A3	31
CAA31623.1.A1|P09095.A1	31
BAH43764.1.A1	31
AGZ03650.1.A1	31
BAA00406.1.A1|P14687.A1	31
BAH43765.1.A3	31
AFJ14794.1.A3	32
WP_043882190.1.A3	33
AHF21228.1.A9	34
CUX79061.1.A1	35
AEZ51516.1.A1	36
ALG65318.1.A2	37
QBA57736.1.A2	37
QDJ74273.1.A4	38
QNH67550.1.A2	38
AEP18656.1.A5	38
BAV56270.1.A5	38
QWM97319.1.A5	38
DAB41477.1.A2	38
AVI26393.1.A3	38
WP_015507661.1.A2	38
AAN32981.1.A1|Q8GAQ3.A1	38
WP_010350605.1.A1	38
WP_054234643.1.A1	38
QED88054.1.A1	38
AEA30273.1.A1	38
ALK27916.1.A2	39
A8M6W3.A2|ABW00331.1.A4	39
AIW58892.1.A12	39
QGA70148.1.A11	39
WP_078586793.1.A1	40
AAY37647.1.A6	41
AF047828.1.A6|O85168.A6	41
AEC14347.1.A1	42
AEC14348.1.A1	42
ACJ04424.1.A3|ACJ04424.1.A4|B6SF67.A3|B6SF67.A4	43
ACI30655.1.A2	44
ctg1_37.A2	44
AYA22335.1.A1	45
PHM26612.1.A2	46
CAJ77695.1.A1	47
CAJ77715.1.A1	47
AAT01806.1.A1|CAB55600.1.A1|Q9RLP6.A1	47
AAD44233.1.A1	47
CCP42826.1.A2	47
CAP93139.1.A3	48
