domain	clade
AAT09804.1.A1	0
AAT09804.1.A3	0
AAT09805.1.A2	0
ALK27914.1.A1	1
CAB38518.1.A6|Q9Z4X6.A6	2
ALV82356.1.A6	2
ALK27916.1.A1	3
ALK27915.1.A1	3
ALK27915.1.A3	3
RSO11553.1.A1	4
RSO11556.1.A1	4
RSO11554.1.A2	4
RSO11554.1.A1	4
RSO11555.1.A1	4
MCC5036786.1.A1	4
MCC5036784.1.A1	4
MCC5036785.1.A1	4
DMH02_027320.A1	4
MCC5036785.1.A2	4
WP_125938384.1.A1	4
AZM57022.1.A1	4
AZM57023.1.A1	4
AZM57024.1.A1	4
AAK81827.1.A1|Q93N86.A1	5
WP_126902740.1.A1	5
AQZ69229.1.A1	6
CAE53352.1.A2|CAG15011.1.A2|Q70AZ7.A2	6
AGS77309.1.A2	6
AAM80537.1.A2|Q8KLL5.A2	6
CAD91212.1.A2|Q7WZ74.A2	6
QYC40289.1.A2	6
OLZ52457.1.A2	6
OKA09424.1.A2	6
AEI58866.1.A2	6
EME52989.1.A2	6
CAC48361.1.A2|Q939Z0.A2	6
CAA11795.1.A2|O52820.A2	6
OLZ50885.1.A2	6
AYA22334.1.A2	6
AIE77059.1.A2	6
AIG79241.1.A2	6
AHF20584.1.A2	6
BS330_28385.A1	7
AYA22336.1.A1	7
CAE53350.1.A1|CAG15009.1.A1|Q70AZ9.A1	8
AGS77307.1.A1	8
CAD91220.1.A1|Q7WZ66.A1	8
QYC40287.1.A1	8
AAM80539.1.A1|Q8KLL3.A1	8
BS329_14150.A1	9
AIE77057.1.A1	9
AIG79243.1.A1	9
AHF20582.1.A1	9
AQZ69228.1.A1	10
OLZ52457.1.A1	11
AIE77059.1.A1	11
AIG79241.1.A1	11
AHF20584.1.A1	11
AYA22334.1.A1|OLZ50885.1.A1	11
CAC48361.1.A1|Q939Z0.A1	11
OKA09424.1.A1	11
AEI58866.1.A1	11
EME52989.1.A1	11
CAA11795.1.A1|O52820.A1	11
CAE53352.1.A1|CAG15011.1.A1|Q70AZ7.A1	11
AGS77309.1.A1	11
CAD91212.1.A1|Q7WZ74.A1	11
QYC40289.1.A1	11
AAM80537.1.A1|Q8KLL5.A1	11
AQZ69228.1.A2	12
AAK81826.1.A1|Q93N87.A1	13
WP_126902739.1.A1	13
AAK81825.1.A1|Q93N88.A1	13
WP_126900392.1.A1	13
WP_126900393.1.A1	13
AAK81826.1.A2|Q93N87.A2	13
WP_126902739.1.A2	13
ABD65958.1.A2	14
ABD65958.1.A4	14
ABD65957.1.A4	14
ABD65957.1.A1	14
ABD65957.1.A5	14
ABD65958.1.A8	14
EWS95124.1.A2	15
ABP55169.1.A1	16
DAB41477.1.A1	17
