domain	clade
CBL93718.1.A2	0
AEP18655.1.A3	1
WP_234859472.1.A2	1
BAV56271.1.A3	1
QWM97320.1.A3	1
O30409.A3	2
BAH43765.1.A2	2
AAC45929.1.A2|O30408.A2	2
ATY37608.1.A3	2
ATY37608.1.A8	2
AHD05678.1.A1	2
ABS74180.1.A1|CAE11249.1.A1	2
BAB69699.1.A1|Q93I55.A1	2
AAF08796.1.A1|Q9R9J0.A1	2
AAN07013.1.A1	2
AGZ03651.1.A2	2
BAH43766.1.A3	2
AHI59110.1.A1	3
CAA84363.1.A3|P94459.A3	4
ABS74206.1.A3	4
AAB80955.2.A3|O30980.A3	4
ABS74208.1.A1	4
CAA09819.1.A1|O87704.A1	4
CAA84361.1.A1|P39846.A1	4
CBL93720.1.A1	5
CBL93723.1.A1	6
AAC06348.1.A3|O68008.A3	7
AED90002.1.A5	8
CCJ67648.1.A2	8
AAG02355.1.A2	8
WP_078587912.1.A2	8
WP_013184462.1.A1	8
SOV25621.1.A1	8
ACG60782.1.A2	8
ABL74936.1.A2	8
EJP62835.1.A1	9
EGX96627.1.A1	9
EJP62835.1.A2	10
EKJ70673.1.A5	11
BAO73252.1.A5	11
CAP96445.1.A2	12
DAD54576.1.A1	13
CAP96445.1.A1	14
XP_003044554.1.A1	15
XP_002379984.1.A2	16
XP_002379984.1.A1	17
BBB04327.1.A1	18
XP_020057667.1.A1	18
EAL89049.1.A2	19
ADY16697.1.A2	19
EAU29302.1.A2	20
AFI_55290.A2	20
AGC83576.1.A2	21
ADM34138.1.A2	21
EPS34234.1.A1	22
EAA67034.1.A1	22
CAL69597.1.A1	22
gene3.A1|iliA.A1	22
QBQ83704.1.A1	22
A8KNE2.A1|CAO91861.1.A1	22
KKP04599.1.A1	22
QNH68024.1.A1	22
AFA26384.1.A1|BAI43678.1.A1	22
B6F209.A1	22
smbA.A1	22
QXF14600.1.A1	23
EAW09117.1.A1	24
AAV66110.2.A1	25
CBF87869.1.A1	26
AGA37267.1.A2	26
AGA37269.1.A2	26
ctg16_307.A2	26
CAP93139.1.A1	27
CAB39315.1.A2|O94205.A2	28
KAF7597140.1.A1	28
CEO59272.1.A1	28
EHA27898.1.A1|PYH50506.1.A1	29
EAQ93004.1.A1|XP_001220460.1.A1	30
AGC65513.1.A1	31
Ga0173608_112053.A1	32
Ga0173608_111990.A6	32
Ga0173608_111989.A4	32
Ga0173608_111792.A6	32
Ga0173608_112187.A3	32
Ga0173608_112187.A5	32
Ga0173608_111498.A1	32
Ga0173608_111989.A3	32
Ga0173608_112187.A1	32
Ga0173608_111474.A1	32
Ga0173608_112008.A8	32
Ga0173608_111792.A1	32
Ga0173608_111498.A3	32
Ga0173608_111474.A4	32
Ga0173608_112008.A2	32
Ga0173608_11675.A11	32
KFL51885.1.A1	33
OAL11436.1.A1	34
QOE83924.1.A1	34
QVQ62857.1.A1	35
EAU39346.1.A1	36
C0LTL8.A1	37
AJW76711.1.A1	38
MCC5036783.1.A1	38
AZM57022.1.A3	38
WP_125938383.1.A1	38
RSO11556.1.A2	38
AQZ71347.1.A1	38
AAK81824.1.A2|Q93N89.A2	38
WP_126900393.1.A2	38
WP_015507663.1.A1	38
BAW32323.1.A2	39
AHB82071.1.A2	39
AHB82058.1.A2	39
BAW32333.1.A2	39
AEA30273.1.A4	40
QBG38784.1.A3	40
CBZ42146.1.A3	41
AAX31557.1.A1|Q50E74.A1	42
AHH53506.1.A1	42
CAD92851.1.A3	42
CAD92852.1.A1	42
CAD92852.1.A3	42
CAE15497.1.A5	42
PHM49485.1.A3	42
PHM49485.1.A5	42
CAD92851.1.A5	42
CAC48360.1.A2|Q939Z1.A2	43
AEI58865.1.A2	43
OKA09423.1.A2	43
EME52990.1.A2	43
AIE77057.1.A2	43
AIG79243.1.A2	43
AHF20582.1.A2	43
BS330_28385.A2	43
BS329_14150.A2	43
AYA22336.1.A2	43
CAA11794.1.A2|O52819.A2	43
AIE77059.1.A3	43
AIG79241.1.A3	43
OLZ50885.1.A3	43
OLZ52457.1.A3	43
AYA22334.1.A3	43
AHF20584.1.A3	43
CAC48361.1.A3|Q939Z0.A3	43
CAA11795.1.A3|O52820.A3	43
AEI58866.1.A3	43
OKA09424.1.A3	43
EME52989.1.A3	43
YP_856988.1.A1	44
AAU34202.1.A3|Q643C7.A3	44
EAU36744.1.A1|XP_001212648.1.A1	44
QKF54440.2.A1|UEF20583.1.A1	45
ANI24100.1.A3	46
EAL92291.2.A1	47
OJJ96433.1.A1	47
EAL88817.1.A1	47
chaP_not_in_genbank.A2	47
AGC65517.1.A1	48
AGC65515.1.A2	48
ABF87031.1.A8|YP_631961.1.A7	49
AAY93445.1.A3	50
AHZ20784.1.A2	51
AAZ23075.1.A1|Q45R85.A1	52
BAX90000.1.A3	53
WP_013184596.1.A2	54
WP_013184596.1.A3	54
QXJ21808.1.A3	54
BAE98162.1.A1	54
AET98916.1.A1	54
BAH04173.1.A1	54
BAI63283.1.A1	54
QEO74983.1.A1	54
QEO75077.1.A1	54
AAT12283.1.A2	54
AFO85453.1.A2	54
CAA67249.1.A2|O07944.A2	54
QED55423.1.A3	55
QNH67550.1.A4	55
QNH67551.1.A3	55
UEF20591.1.A1	55
QKF54435.2.A1	55
QKF54435.2.A2	55
UEF20592.1.A1	55
ALG65319.1.A2	55
QBA57735.1.A2	55
QYC40289.1.A3	55
QBG38782.1.A3	55
MCC5036785.1.A3	55
AZM57024.1.A2	55
AZM57024.1.A3	55
RSO11554.1.A3	55
AGS77307.1.A2	55
AQZ69228.1.A3	55
CAD91220.1.A2|Q7WZ66.A2	55
CAE53350.1.A2|CAG15009.1.A2|Q70AZ9.A2	55
QYC40287.1.A2	55
AAM80539.1.A2|Q8KLL3.A2	55
WP_125938384.1.A3	55
AAK81826.1.A3|Q93N87.A3	55
WP_126902739.1.A3	55
AAM80537.1.A3|Q8KLL5.A3	55
CAE53352.1.A3|CAG15011.1.A3|Q70AZ7.A3	55
AGS77309.1.A3	55
CAD91212.1.A3|Q7WZ74.A3	55
AJF34463.1.A1	56
AEH59099.1.A3	56
B9ZUK5.A1|CAQ43084.1.A1	56
A6P624.A1	57
QDA77045.1.A5	58
QDA77059.1.A6	58
QDA77045.1.A2	58
AAF17281.1.A1|Q9RAH1.A1	59
WP_012408786.1.A1	59
AAZ03552.1.A3	60
AEU11003.1.A2	61
WP_051206727.1.A1	62
ACC81021.1.A1	62
AAO23333.1.A1	63
CAC01604.1.A4	63
AAZ03552.1.A4	63
BAH22764.1.A4	63
ABI26078.1.A4	63
CAJ46692.1.A1	64
CAJ46692.1.A2	64
ABM21571.1.A1	64
ACZ55942.1.A1	64
CBW75451.1.A3|QIH29229.1.A3	64
WP_013428324.1.A3	64
CBW75451.1.A2|QIH29229.1.A2	64
WP_044618979.1.A1	64
WP_013428774.1.A2	64
WP_003981346.1.A2	65
WP_003981346.1.A1	65
QUS58939.1.A1	65
AFK57221.1.A1	66
QDA77059.1.A3	67
AID65224.1.A2	68
AID65225.1.A1	69
EWS95124.1.A4	70
WP_054234617.1.A2	70
AHZ20773.1.A2	71
CZT62785.1.A2	71
QWP75305.1.A6	71
CCJ67646.1.A2	71
AJV88375.1.A3	71
CAD17792.1.A3	71
WP_054234617.1.A1	72
AAU34203.1.A1	72
QBC75021.1.A4	72
CAA72310.1.A2|O05647.A2	73
A7UC77.A1|ABS87601.1.A1|EAL85113.2.A1	73
AAC06348.1.A2|O68008.A2	74
ACZ55946.1.A1	75
AAC45929.1.A3|O30408.A3	76
CAA31623.1.A1|P09095.A1	76
BAH43764.1.A1	76
AGZ03650.1.A1	76
BAA00406.1.A1|P14687.A1	76
BAH43765.1.A3	76
AFJ14794.1.A3	77
WP_043882190.1.A3	78
WP_043882190.1.A4	78
AHF21228.1.A9	78
AHF21228.1.A5	78
WP_043882190.1.A1	78
WP_129549303.1.A5	78
ATY37608.1.A2	78
CUX79061.1.A1	79
AEZ51516.1.A1	80
ATY37591.1.A4	81
AIE77076.1.A1	82
AIG79224.1.A1	82
OKA09664.1.A1	82
OLZ50899.1.A1	82
AYA22318.1.A1	82
CAC48369.1.A1|Q939Y2.A1	82
AEI58879.1.A1	82
EME52974.1.A1	82
OLZ52442.1.A1	82
ALG65318.1.A2	83
QBA57736.1.A2	83
QDJ74273.1.A4	84
QNH67550.1.A2	84
AEP18656.1.A5	84
BAV56270.1.A5	84
QWM97319.1.A5	84
DAB41477.1.A2	84
AVI26393.1.A3	84
WP_015507661.1.A2	84
AAN32981.1.A1|Q8GAQ3.A1	84
WP_010350605.1.A1	84
WP_054234643.1.A1	84
QED88054.1.A1	84
AEA30273.1.A1	84
ALK27916.1.A2	85
A8M6W3.A2|ABW00331.1.A4	85
AIW58892.1.A12	85
QGA70148.1.A11	85
CAI94718.1.A2	86
WP_011146892.1.A5	87
WP_078586793.1.A1	88
AAY37647.1.A6	89
AF047828.1.A6|O85168.A6	89
AAO72425.1.A12|Q83VS0.A4	89
AEC14347.1.A1	90
AEC14348.1.A1	90
ACJ04424.1.A3|ACJ04424.1.A4|B6SF67.A3|B6SF67.A4	91
ACI30655.1.A2	92
ctg1_37.A2	92
AYA22335.1.A1	93
ATO51563.1.A1	94
ATO51563.1.A4	95
CAB38518.1.A3|Q9Z4X6.A3	96
ALV82356.1.A3	96
CAD55498.1.A2|Q8CJX2.A2	96
ALV82388.1.A2	96
AGE11898.1.A1	96
CCM44336.1.A2	96
PHM26612.1.A2	96
CAJ77695.1.A1	97
CAJ77715.1.A1	97
AAT01806.1.A1|CAB55600.1.A1|Q9RLP6.A1	97
AAD44233.1.A1	97
CCP42826.1.A2	97
A8M6W3.A1|ABW00331.1.A1	98
CCB53264.1.A2	99
ADL64235.1.A2	100
CAP93139.1.A3	101
