domain	clade
ALK27914.1.A1	0
AAT09804.1.A3	1
EWS95124.1.A2	2
OLZ52457.1.A1	2
AQZ69228.1.A1	2
WP_125938384.1.A1	2
CAB38518.1.A6|Q9Z4X6.A6	3
ALV82356.1.A6	3
DAB41477.1.A1	4
AZM57022.1.A1	5
RSO11554.1.A1	5
DMH02_027320.A1	5
MCC5036784.1.A1	5
MCC5036785.1.A1	5
ABD65958.1.A2	6
RSO11556.1.A1	6
ABD65957.1.A1	7
ABD65957.1.A4	7
ABD65957.1.A5	7
ABD65958.1.A4	7
ABD65958.1.A8	7
ALK27916.1.A1	7
BS330_28385.A1	7
AQZ69229.1.A1	7
AYA22336.1.A1	7
RSO11554.1.A2	7
CAD91212.1.A2|Q7WZ74.A2	8
CAE53352.1.A2|CAG15011.1.A2|Q70AZ7.A2	8
ALK27915.1.A1	8
QYC40289.1.A2	8
ALK27915.1.A3	8
CAC48361.1.A2|Q939Z0.A2	8
AIE77059.1.A2	8
AIG79241.1.A2	8
AEI58866.1.A2	8
AGS77309.1.A2	8
OKA09424.1.A2	8
EME52989.1.A2	8
OLZ52457.1.A2	8
AHF20584.1.A2	8
CAA11795.1.A2|O52820.A2	8
OLZ50885.1.A2	8
AYA22334.1.A2	8
AIE77057.1.A1	8
AIG79243.1.A1	8
BS329_14150.A1	8
AHF20582.1.A1	8
CAD91220.1.A1|Q7WZ66.A1	9
AAM80537.1.A2|Q8KLL5.A2	9
AAM80539.1.A1|Q8KLL3.A1	9
AAK81827.1.A1|Q93N86.A1	9
CAE53350.1.A1|CAG15009.1.A1|Q70AZ9.A1	9
AGS77307.1.A1	9
QYC40287.1.A1	9
RSO11553.1.A1	9
MCC5036785.1.A2	9
MCC5036786.1.A1	9
WP_126902740.1.A1	9
RSO11555.1.A1	10
CAD91212.1.A1|Q7WZ74.A1	11
AAM80537.1.A1|Q8KLL5.A1	11
CAC48361.1.A1|Q939Z0.A1	11
AAK81825.1.A1|Q93N88.A1	11
AAK81826.1.A1|Q93N87.A1	11
AAK81826.1.A2|Q93N87.A2	11
AIE77059.1.A1	11
AIG79241.1.A1	11
CAE53352.1.A1|CAG15011.1.A1|Q70AZ7.A1	11
AEI58866.1.A1	11
AGS77309.1.A1	11
OKA09424.1.A1	11
EME52989.1.A1	11
AYA22334.1.A1|OLZ50885.1.A1	11
AZM57024.1.A1	11
QYC40289.1.A1	11
WP_126900393.1.A1	11
WP_126900392.1.A1	11
WP_126902739.1.A1	11
WP_126902739.1.A2	11
AHF20584.1.A1	11
CAA11795.1.A1|O52820.A1	11
AZM57023.1.A1	12
ABP55169.1.A1	13
AQZ69228.1.A2	13
AAT09805.1.A2	14
AAT09804.1.A1	15
