domain	clade
Ga0173608_11675.A8	0
Ga0173608_11674.A12	0
Ga0173608_11676.A2	0
Ga0173608_111474.A6	1
Ga0173608_111498.A6	1
Ga0173608_111989.A2	1
Ga0173608_111989.A5	2
Ga0173608_112187.A2	2
Ga0173608_111474.A2	2
ATQ39428.1.A6	3
BAN91483.1.A5	4
AMM63162.1.A5	4
AFT91378.1.A5	4
EPE34341.1.A2	5
AMM63162.1.A2	5
AFT91378.1.A2	5
BAN91483.1.A2	5
QCC62999.1.A7	6
EKJ70673.1.A1	7
CBF73453.1.A2	8
ABS50184.1.A1	9
AAG00566.1.A1|Q9FDB0.A1	9
CAC17499.1.A1	10
BAD55613.1.A1|YP_116977.1.A1	11
ADZ24995.1.A1	12
B5X0I1.A1	12
ERG36782.1.A1|WP_010369425.1.A1	13
WP_013184596.1.A1	13
CBJ79916.1.A1	13
AKC91849.1.A3	14
ADG27358.1.A1|O68487.A1|WP_057667184.1.A1	15
AAD44233.1.A2	16
AAT01806.1.A2|CAB55600.1.A2|Q9RLP6.A2	16
CAJ77695.1.A2	16
CAJ77715.1.A2	16
ADH01485.1.A1|AIC32693.1.A1	17
DAD54486.1.A1	17
AGN11881.1.A1	17
AEC14346.1.A1	17
KPN90374.1.A1	17
AED90004.1.A1	17
AAY37650.1.A1|Q52400.A1	17
AAD50521.1.A1	17
ABG94125.1.A1|YP_702283.1.A1	17
CCJ67645.1.A1	17
CCJ67646.1.A1	17
WP_006051170.1.A2	17
WP_006051170.1.A3	17
TRX17524.1.A2	17
TRX17524.1.A3	17
AAG02358.1.A1|Q9FB24.A1|WP_004942671.1.A1	17
ABL74939.1.A1	17
AAX31557.1.A4|Q50E74.A4	18
AHH53506.1.A4	18
AEF33078.1.A1	18
BAF50711.1.A1	18
CAA67248.1.A1|Q54959.A1	18
AJV88375.1.A2	18
WP_010639240.1.A1	18
antaC.A1	18
AWX24482.1.A1	18
BBD17741.1.A1	18
BBD17759.1.A1	18
