domain	clade
WP_043882190.1.A5	0
AHF21228.1.A10	0
WP_129549303.1.A10	0
CAE02630.1.A1	1
BAA02522.1.A1	1
P27206.A1	1
ABS74180.1.A4|CAE11249.1.A4	2
AAN07013.1.A4	2
AAC06346.1.A4|O68006.A4	3
Q9RNB3.A1	4
AXM43064.1.A1	5
QCC62999.1.A2	6
ABV56594.1.A1	7
QEO74981.1.A4	8
QEO75074.1.A1	8
CAD55498.1.A1	9
ALV82388.1.A1	9
AAZ23075.1.A2|Q45R85.A2	10
AAZ23078.1.A1	11
AHH53508.1.A1	11
QBC75021.1.A3	12
QBC75022.1.A5	12
QBC75023.1.A1	12
AOZ21316.1.A1	13
ANQ43347.1.A2	14
AFZ61501.1.A2	14
AGE26255.1.A2	14
AFH75328.1.A2	14
AAY91419.3.A2	14
QNL34618.1.A5	15
BCJ07599.1.A1	16
AGM14925.1.A2	16
ABW17375.1.A2	16
AFJ23819.1.A2	16
ABS74207.1.A1	17
ABS74209.1.A1|CAE11277.1.A1	17
AAB80956.1.A1|O30981.A1	17
AAC36721.1.A1|O87606.A1	17
CAB13715.1.A1|P39847.A1	17
CAA84360.1.A1|P39845.A1	17
AEP18655.1.A1	18
BAV56271.1.A1	18
QWM97320.1.A1	18
AAG05812.1.A1|Q9I157.A1	19
AAY93445.1.A2	19
Q9L6D0.A1	19
WP_013428774.1.A3	20
WP_047197778.1.A2	21
