domain	clade
AMT84997.1.A1	0
QCC62999.1.A8	1
AN2545.A1|CBF87069.1.A1	2
AN0607.4.A2	2
AKL78825.1.A1	3
AAM78457.1.A2	4
CAE14766.1.A1	5
BBE36469.1.A1	6
AHD05621.1.A3	7
ATL73036.1.A5	8
CAD92849.1.A2	9
WP_054234643.1.A3	10
BAX90000.1.A1	11
CAD92852.1.A4	12
AAU34202.1.A2|Q643C7.A2	13
KFL51886.1.A2	14
AET13875.1.A1	15
AET13879.1.A1	15
AN0607.4.A1	15
QCE20598.1.A1|QKW60383.1.A1	16
CAA82227.1.A7|Q09164.A9|ctg1_orf003.A7	17
ATQ39428.1.A7	17
BBC83957.1.A8	18
BAP05590.1.A1	19
QCE20608.1.A1|QKW60392.1.A1	20
ACC81023.1.A2	21
AAF17280.1.A2|Q9RAH2.A2	22
WP_012408785.1.A2	22
AAO23333.1.A2	23
AEU11006.1.A2	23
WP_010973248.1.A1	24
QXJ21809.1.A2	25
AAC44129.1.A1|Q50858.A1	26
CAJ34374.1.A2	27
CAD89778.1.A1	28
AAF19815.1.A1	28
AHF21228.1.A3	28
WP_129549303.1.A1	28
WP_129549303.1.A3	28
ATY37608.1.A6	28
ATY37609.1.A2	28
AHI59109.1.A3	28
CCA29203.1.A3	28
CDG12864.1.A3	28
WP_016638470.1.A1	28
ADG27359.1.A2|Q9L8H4.A2	29
AAZ23075.1.A5|Q45R85.A5	30
AAZ55900.1.A3	30
AEA30274.1.A1	30
EWS95124.1.A1	30
BAX64244.1.A1	30
AAZ55900.1.A2	30
UEF20580.1.A3	30
QKF54438.1.A3	30
AHH53507.1.A5	30
AGN74885.1.A1	30
AEG64697.1.A1	30
AEG64697.1.A3	30
AEG64697.1.A5	30
QBG38782.1.A1	30
AAX31558.1.A5	30
AEA30272.1.A4	30
QBC75021.1.A2	30
QBC75022.1.A4	30
CAM56770.1.A3	30
CAM56770.1.A5	30
AHH53506.1.A5	30
ALV86867.1.A2	30
AAZ23077.1.A3	30
QED55423.1.A1	31
ARU08074.1.A4	31
BAH33409.1.A2	32
AJW76709.1.A2	32
ALV82384.1.A2	32
CAB38517.1.A2|Q9Z4X5.A2	32
AAX31557.1.A5|Q50E74.A5	32
EFE73313.1.A3	33
ABD65958.1.A5	34
AAD56240.1.A1|CAB15186.3.A1|P45745.A1	35
ABS75232.1.A1	35
QBC75023.1.A2	35
QED55421.1.A3	35
DAB41479.1.A1	35
AKC91857.1.A1	35
Q81DQ0.A1	35
Q81QP7.A1	35
QED55421.1.A1	35
QED55422.1.A4	35
CAJ96468.1.A1	35
QED55422.1.A2	35
QDJ74275.1.A1	35
QDJ74275.1.A2	35
Q8P449.A1	35
Q8PFQ6.A1	35
WP_013184463.1.A1	36
SOV25620.1.A1	36
AZH23792.1.A1	36
AZH23822.1.A1	36
QCP68975.1.A1	36
ADA82585.1.A1	37
QIE07362.1.A1	37
BBA21071.1.A1	37
B0B504.A1|CAN89633.1.A1	37
WP_052165466.1.A1	37
EWM63005.1.A1	37
ARR97039.1.A1	37
AHB82072.1.A1	37
AHB82058.1.A3	37
AHB82059.1.A1	37
ADD82940.1.A1|D4NZD4.A1	37
DAC76731.1.A1	37
AAS47564.1.A1	37
AHB82071.1.A3	37
QIE07364.1.A1	37
ABX37383.1.A3	37
WP_044617900.1.A1	37
WP_047197779.1.A4	37
AXA20090.1.A1	37
AXA20091.1.A1	37
WP_052830344.1.A1	37
DAC82026.1.A1	37
AHB82071.1.A1	37
QDA77045.1.A3	37
QDA77059.1.A4	37
AHZ20774.1.A3	37
CCA89326.1.A1	37
CZT62784.1.A3	37
CAD17793.1.A3	37
AHZ34240.1.A2	37
AHZ34241.1.A3	37
KPN93065.1.A3	37
AAX16325.1.A3	37
AIR74926.1.A1|CBD77746.1.A1	37
AIR74925.1.A1|CBD77749.1.A1	37
CCJ67647.1.A3	37
AHB82058.1.A1	37
BBA21068.1.A1	37
AAV97877.1.A1	37
AVR48535.1.A3	37
B1GYG6.A1|CAQ18839.1.A1	37
AEP18656.1.A4	37
BAV56270.1.A4	37
QWM97319.1.A4	37
AEH59100.1.A5	37
AGS06887.1.A1	37
ADA69239.2.A1	37
AVR48535.1.A1	37
NAO96318.1.A2	37
DAC76734.1.A1	37
P40806.A2	37
MCC5025983.1.A1|MCC5026027.1.A1	37
WP_053065269.1.A1	37
WP_019032755.1.A1	37
WP_053065270.1.A1	37
WP_019032753.1.A1	37
ctg1_6.A1	37
CAB38084.1.A1|Q9Z5F4.A1	37
Ga0173608_111498.A7	38
Ga0173608_111989.A1	38
ABI22132.1.A1	38
YP_856987.1.A1	38
QDG75035.1.A1	38
WP_004571779.1.A1	39
CAJ76290.1.A1	39
WP_006051170.1.A5	39
TRX17524.1.A5	39
CCA29202.1.A1	40
CDG12865.1.A1	40
ADC79642.1.A1|D3Y1I8.A1	41
AVV61987.1.A1	41
QXJ21807.1.A2	42
A4PHN0.A1|BAF50727.1.A1	42
AAL33757.1.A1	42
AGN74892.1.A1	42
AXN93615.1.A2	43
