domain	clade
AHI59109.1.A2	0
AAC06348.1.A4|O68008.A4	0
AAU39360.1.A2	0
CAA06324.1.A2|O69246.A2	0
O66070.A2	0
CAE02631.1.A2	0
Q45675.A2|WP_069322367.1.A2	0
Q04747.A2	0
Ga0173608_112008.A1	1
A05163.A1	2
ADB02855.1.A1	3
BBC83957.1.A5	4
CCM44336.1.A1	5
UEF20578.1.A2	6
QKF54436.1.A2	6
ALK27916.1.A3	7
ABD65956.1.A1|Q06YZ3.A1	8
ALV82356.1.A5	9
ALV82356.1.A4	9
ALV82384.1.A1	9
CAB38518.1.A5|Q9Z4X6.A5	9
CAB38518.1.A4|Q9Z4X6.A4	9
CAB38517.1.A1|Q9Z4X5.A1	9
AHH53506.1.A2	10
AEA30272.1.A3	11
CAJ18237.2.A1	12
AHH53507.1.A2	13
AHH53506.1.A3	13
AHH53507.1.A4	13
QED55422.1.A1	14
QED55423.1.A2	14
QBC75022.1.A1	15
QBC75022.1.A2	15
ARU08074.1.A3	16
AEG64697.1.A4	16
AEG64696.1.A1	16
AEG64697.1.A2	16
CAM56770.1.A2	16
CAM56770.1.A4	16
AAZ23076.1.A2	17
AAZ23077.1.A2	17
AAX31557.1.A3|Q50E74.A3	17
AAX31558.1.A2	17
AAX31558.1.A4	17
WP_107406787.1.A2	18
BAX89998.1.A2	18
WP_064118559.1.A5	19
BAC67536.1.A5|Q84BQ4.A5	19
QDF82259.1.A5	19
BAC67534.2.A2|Q84BQ6.A2	19
QDF82254.1.A2	19
WP_064118561.1.A2	19
QNL34616.1.A2	19
AOA33121.1.A2	19
ABA73954.1.A2	19
KPN90369.1.A3	20
AAY37647.1.A8	20
AF047828.1.A8|O85168.A8	20
AXA91301.1.A2	21
AXA91302.1.A5	21
BAH22762.1.A1	22
AAY93356.2.A1	22
CAJ96472.1.A1	22
WP_006051170.1.A1	22
AAO55667.1.A1|Q884E3.A1	22
AAO55665.1.A1	22
ABX37383.1.A1	22
NAO96320.1.A1	22
CAQ71828.1.A2	22
CAJ96471.1.A1	22
NAO96317.1.A1	22
CAQ71827.1.A1	22
