domain	clade
BAH43766.1.A6	0
BAA06146.1.A4|CAA43838.1.A4|P0C063.A4|Q44928.A4	0
O30409.A6	0
AQM58286.1.A1	1
FGSG_15673.A2	2
AN2545.A2|CBF87069.1.A2	3
EKJ70673.1.A6	4
BAO73252.1.A6	4
EJP62835.1.A3	5
EGX96627.1.A3	5
AN2545.A3|CBF87069.1.A3	5
AQM58286.1.A2	6
CBF76038.1.A1	7
XP_003044554.1.A4	8
MAA_10043.A4	9
XP_003044554.1.A2	10
QOG08944.1.A1	11
EDY47118.1.A3	12
CAA40561.1.A3|P27743.A3	12
BAA08846.1.A3|P94873.A3	12
AAA63415.1.A3|ABA70582.1.A3|ABR12615.1.A3|P19787.A3|P26046.A3	12
KFH48607.1.A3|P25464.A3	12
AAK1902.1.A3|AAK21902.1.A3|Q9C1G0.A3	12
AAA03914.1.A3|P27742.A3	12
AZZ09613.1.A1	13
AAM78457.1.A14	14
AAM78457.1.A11	15
AAM78457.1.A4	16
ESU17760.1.A3	17
CAP93139.1.A4	17
CBF87869.1.A4	17
CBF73453.1.A3	18
ESU17760.1.A5	18
ESU17760.1.A7	18
OAQ83772.1.A5	19
OAQ83772.1.A6	20
ACZ66258.1.A2|D2IKP5.A2	21
AMT84997.1.A3	22
EHA53213.1.A1	23
AIT38302.1.A1	24
AHB38511.1.A1	25
AAN32978.1.A1|Q8GAQ6.A1	26
AAO62587.1.A1	27
AQH32485.1.A1	28
QCQ67880.1.A1	28
AGZ15460.1.A1	29
Ga0173608_111990.A3	30
Ga0173608_111498.A4	30
Ga0173608_111474.A3	30
Ga0173608_111474.A5	30
Ga0173608_112008.A7	30
Ga0173608_111990.A5	31
CDN62030.1.A1	32
CAD92849.1.A1	32
ARO38317.1.A2	32
WP_008704344.1.A2	32
WP_015507662.1.A1	33
AGZ15455.1.A1	34
WP_016638466.1.A1	34
UEF20578.1.A1	35
UEF20580.1.A2	35
QKF54438.1.A2	35
QKF54436.1.A1	35
ClsI.A1	36
CAD70195.1.A2	37
CAP93139.1.A2	38
CBF87869.1.A2	38
OTA20325.1.A3	39
AAF00962.1.A1|Q9RNA9.A1	40
WP_011145264.1.A1	41
WP_011145262.1.A1	41
WP_011145263.1.A1	41
CBJ90287.1.A1|WP_013184317.1.A1	41
CBJ90288.1.A1|WP_013184318.1.A1	41
CBJ90289.1.A1|WP_013184319.1.A1	41
BAX64244.1.A2	42
OTA20325.1.A1	42
OTA20325.1.A2	42
BAX89999.1.A2	43
WP_067426775.1.A2	44
QVQ62868.1.A2	45
QVQ62868.1.A4	45
WP_015507662.1.A2	46
WP_015507663.1.A2	46
AGN74876.1.A2	47
AEP18656.1.A6	47
BAV56270.1.A6	47
QWM97319.1.A6	47
WP_050383082.1.A1	47
WP_050383088.1.A1	47
WP_050383094.1.A1	47
QPI18723.1.A1|QPI18729.1.A1	47
QPI18726.1.A1	47
CBZ42146.1.A2	47
AAZ23078.1.A2	47
ANZ15840.1.A3	47
ATU31794.1.A3	47
QGA70148.1.A6	47
ASX95241.1.A2	47
ASX95241.1.A5	47
ASX95241.1.A6	47
BBA20967.1.A2	47
BBA20967.1.A5	47
BBA20967.1.A6	47
AJW76710.1.A1	47
AJW76711.1.A2	47
ABW00331.1.A2	47
ABW00331.1.A6	47
AIW58892.1.A7	47
WP_015507661.1.A3	47
AKC91849.1.A4	47
AKC91849.1.A6	47
AKC91856.1.A3	47
QDJ74275.1.A4	47
AJV88377.1.A1	47
QBG38782.1.A2	47
AEA30274.1.A2	47
AEA30274.1.A3	47
QNH67550.1.A3	47
QNH67551.1.A1	47
QRG35014.1.A1	47
AAO23334.1.A4	48
ESU17760.1.A8	49
ABQ96384.2.A3	50
A9LJA2.A3	50
AFJ14794.1.A7	51
CUX79062.1.A1	51
AFJ14794.1.A4	52
ACA97576.1.A1	52
AJM89735.1.A1	52
CUX79061.1.A2	53
CAE15637.1.A3|WP_011147463.1.A3	54
CBJ79915.1.A1	55
CBJ79915.1.A2	55
CBJ79916.1.A3	55
CBJ79916.1.A4	55
WP_011146892.1.A6	56
WP_011146892.1.A13	56
PHM49485.1.A4	56
CAE15637.1.A2|WP_011147463.1.A2	56
CAE15637.1.A4|WP_011147463.1.A4	56
CBJ90082.1.A2	56
WP_011146892.1.A1	56
WP_011146892.1.A10	56
WP_011146892.1.A3	56
CAE15637.1.A5|WP_011147463.1.A5	56
AFP87549.1.A2	56
CDG17980.1.A4	57
THA23574.1.A2	57
APZ78833.1.A2	57
APZ78821.1.A2|CAG29031.1.A2|Q50JA3.A2	57
APZ78845.1.A2	57
WP_018540607.1.A2	58
WP_107406787.1.A1	59
QGA70148.1.A2	59
ADG27358.1.A2|O68487.A2|WP_057667184.1.A2	59
QDJ74273.1.A3	59
AEG64698.1.A1	59
AKA59447.1.A1	59
BAV56271.1.A4	59
QWM97320.1.A4	59
AEH41794.1.A2	59
WP_041826607.1.A3	59
WP_015507661.1.A1	59
WP_041826607.1.A4	59
WP_041826607.1.A1	59
AFO85453.1.A1	59
DAB41478.1.A1	59
AHB38497.1.A1	59
ADG27359.1.A3	59
Q9L8H4.A3	59
QRG35014.1.A2	60
BAX89998.1.A1	60
QDJ74275.1.A3	60
WP_015507662.1.A5	61
WP_015507662.1.A3	61
WP_015507663.1.A3	61
WP_125939455.1.A3	61
QEO75076.1.A1	61
QEO74982.1.A6	61
QDJ74274.1.A1	61
ARU08073.1.A2	61
CAM56771.1.A1	62
QBG38783.1.A3	63
AJV88375.1.A1	64
AIW58892.1.A3	64
CBZ42143.1.A1	64
