domain	clade
A9LJA2.A3	0
Ga0173608_11675.A7	1
Ga0173608_11675.A9	1
Ga0173608_112187.A6	1
Ga0173608_111989.A6	1
AHB38497.1.A2	2
EHA53213.1.A1	3
ATL73036.1.A4	4
CBF73453.1.A3	5
ANZ15840.1.A4	6
QNH85840.1.A2	7
BolH.A2	8
AIW58892.1.A3	9
ESU17760.1.A3	10
WP_019634550.1.A1	11
ABW17376.1.A6	12
ABW17376.1.A2	13
AGM16413.1.A4	14
AGM16414.1.A3	14
AFJ14794.1.A1	14
AAD04759.1.A1|O66071.A1|O69247.A1	14
ATY37609.1.A1	15
WP_108867381.1.A1	16
WP_234859471.1.A2	16
AAZ23078.1.A2	17
MAA_10043.A4	17
AAC06346.1.A1|O68006.A1	18
AAC06346.1.A5|O68006.A5	19
RAT94091.1.A1	20
ATY37590.1.A1	21
AAY29580.1.A1	22
AAC06348.1.A1|O68008.A1	23
ACC81022.1.A1	24
EKJ70673.1.A6	25
ACM68684.1.A1	26
ABV79988.1.A1	26
ABI26078.1.A3	26
ABI26079.1.A1	26
AAO23334.1.A1	26
BAH22764.1.A3	26
BAH22765.1.A1	26
AAF15891.2.A1|Q9RAH4.A1	26
AEU11003.1.A3	26
ADH04679.1.A1	26
BAX64247.1.A2	26
ATP76246.1.A2	26
WP_012408783.1.A1	26
QWP75304.1.A2	26
WP_129549209.1.A2	26
CAC01606.1.A1|Q9K5L9.A1	26
WP_013428774.1.A4	27
WP_013428774.1.A6	27
KPN90376.1.A9	28
AGM14934.1.A4	29
BCJ07529.1.A3	29
AHZ34241.1.A2	30
BAC67536.1.A3|Q84BQ4.A3	31
BAC67536.1.A4|Q84BQ4.A4	31
AEH59100.1.A3	31
ABH06368.2.A2	31
ABH06369.2.A3	31
AAY91420.2.A2	31
AFH75322.1.A3	31
AJF34463.1.A2	31
AJF34463.1.A5	31
AJF34463.1.A6	31
AJF34464.1.A5	31
CAY48789.1.A3	31
AOA33123.1.A2	31
KPN93064.1.A2	31
WP_064118559.1.A4	31
APU91751.1.A3	31
AFJ23826.1.A3	31
ABA73955.1.A2	31
ABA73956.1.A4	31
QDF82259.1.A4	31
QNL34618.1.A4	31
AFZ61526.1.A3	31
AGE25480.1.A4	31
ANQ43348.1.A2	31
ANQ43349.1.A4	31
AHY86403.1.A2	32
WP_100939443.1.A3	33
A9LJA2.A2	34
EJK79842.1.A1	35
CAE15637.1.A1|WP_011147463.1.A1	36
CAE15497.1.A2	37
CAE15497.1.A4	38
CDG17980.1.A5	39
BBC83957.1.A7	40
AHB38497.1.A1	41
AFO85453.1.A1	42
DAB41478.1.A1	43
BAV56271.1.A4	44
WP_015507661.1.A1	45
WP_041826607.1.A1	46
WP_041826607.1.A3	47
WP_041826607.1.A4	48
QDJ74273.1.A3	49
QWM97320.1.A4	50
AEG64698.1.A1	51
ABS74205.1.A1	52
AAB00093.1.A1|Q45563.A1	52
CAA84364.1.A1|P94460.A1	52
AHF21229.1.A2	53
AFK57215.1.A3	54
WP_004571777.1.A1	55
WP_129549303.1.A9	56
WP_129549209.1.A1	57
WP_015507662.1.A1	58
ABC36785.1.A3	59
AFR69334.1.A3	59
EJP62835.1.A3	60
AZZ09613.1.A1	61
CAP93139.1.A2	62
ACZ66258.1.A2|D2IKP5.A2	63
AQM58286.1.A2	64
