domain	clade
AET13875.1.A2|AET13879.1.A2	0
EKJ70673.1.A4	1
BAO73252.1.A4	1
CBF76036.1.A2	2
CBF73453.1.A5	3
ESU15173.1.A3	4
BN849_0052030.A3	4
CBF76036.1.A1	5
QCC62999.1.A3	6
FGSG_15673.A4	7
QCC62999.1.A2	8
FGSG_15673.A1	9
AAM78457.1.A6	10
AAM78457.1.A17	10
AAK1902.1.A1|AAK21902.1.A1|Q9C1G0.A1	11
AAA63415.1.A1|ABA70582.1.A1|ABR12615.1.A1|P19787.A1|P26046.A1	11
AAA03914.1.A1|P27742.A1	11
KFH48607.1.A1|P25464.A1	11
EDY47118.1.A1	11
CAA40561.1.A1|P27743.A1	11
AAB39900.1.A1|Q01757.A1	11
BAA08846.1.A1|P94873.A1	11
CCM44336.1.A1	11
Q9RNB3.A1	11
AAC15909.1.A1|P40976.A1	11
AAA34747.1.A1|P07702.A1	11
A05163.A1	12
AOZ21316.1.A1	13
CAJ76286.1.A1	14
AID65224.1.A1	14
KFL51887.1.A1	14
B8RG41.A1	14
AAZ23075.1.A3|Q45R85.A3	15
CAJ18237.2.A1	15
AAZ23077.1.A4	15
AAX31557.1.A2|Q50E74.A2	15
AHH53508.1.A1	15
AAZ23078.1.A1	15
CAD55498.1.A1	15
ALV82388.1.A1	15
AEA30272.1.A3	15
AAZ23075.1.A2|Q45R85.A2	15
AHH53506.1.A2	15
WP_107406787.1.A2	15
BAX89998.1.A2	15
AAZ23076.1.A2	15
AAZ23077.1.A2	15
AAX31557.1.A3|Q50E74.A3	15
AAX31558.1.A2	15
AAX31558.1.A4	15
QBC75021.1.A3	15
QBC75022.1.A5	15
QBC75023.1.A1	15
ARU08074.1.A3	15
QBC75022.1.A1	15
QBC75022.1.A2	15
CAM56770.1.A2	15
CAM56770.1.A4	15
AHH53507.1.A4	15
AHH53506.1.A3	15
AHH53507.1.A2	15
AEG64696.1.A1	15
AEG64697.1.A2	15
AEG64697.1.A4	15
CAB38517.1.A1|Q9Z4X5.A1	15
CAB38518.1.A4|Q9Z4X6.A4	15
CAB38518.1.A5|Q9Z4X6.A5	15
ALV82356.1.A4	15
ALV82356.1.A5	15
ALV82384.1.A1	15
UEF20578.1.A2	15
QKF54436.1.A2	15
QED55422.1.A1	15
QED55423.1.A2	15
OKA09423.1.A3	15
CAC48360.1.A3|Q939Z1.A3	15
AEI58865.1.A3	15
EME52990.1.A3	15
CAA11794.1.A3|O52819.A3	15
CAB38517.1.A3	15
ALV82384.1.A3	15
Q9Z4X5.A3	15
ALG65313.1.A1	15
QBA57741.1.A1	15
QDJ74273.1.A2	15
ANZ15839.1.A2	15
AJW76709.1.A1	15
ATU31795.1.A2	15
ABD65956.1.A1|Q06YZ3.A1	15
AAG02359.1.A3|Q9FB23.A2	15
ACG60782.1.A1	15
ABL74936.1.A1	15
AAG02355.1.A1|Q9FB27.A1|WP_078587912.1.A1	15
ABL74940.1.A3	15
QDA77045.1.A1	15
AIW82283.1.A2	15
AIW82277.1.A1	15
AIW82284.1.A2	15
AXN93575.1.A1|AXN93584.1.A1	15
AXN93581.1.A2	15
AXN93581.1.A4|AXN93590.1.A4	15
AXN93590.1.A2	15
AXN93592.1.A1	15
AXN93602.1.A2	15
AXN93602.1.A4	15
AXN93605.1.A1	15
AXN93614.1.A2	15
AXN93615.1.A1	15
AVI26390.1.A2	15
AHB82056.1.A1	15
AHB82069.1.A1	15
MBV7329455.1.A1	15
AAF17280.1.A3	15
WP_012408785.1.A3	15
Q9RAH2.A3	15
CCM44336.1.A4	15
PHM26612.1.A4	15
QWP75305.1.A4	15
QWP75305.1.A5	15
CCM44336.1.A3	15
PHM26612.1.A3	15
AEH59100.1.A6	15
CAE52342.1.A1	15
ABQ96384.2.A5	15
A9LJA2.A5	15
AAC06348.1.A5|O68008.A5	15
AHD05627.1.A1	15
AAN07013.1.A2	15
AAF08796.1.A2|Q9R9J0.A2	15
ABS74180.1.A2|CAE11249.1.A2	15
BAB69699.1.A2|Q93I55.A2	15
AHD05677.1.A1	15
AHD05678.1.A2	15
AHD05679.1.A2	15
O30409.A1	15
BAH43766.1.A1	15
BAB69700.1.A1|Q93I54.A1	15
AAF08797.1.A2|Q9R9I9.A2	15
ABS74181.1.A2|CAE11250.1.A1|CAE11250.1.BGC0001090	15
BAB69698.1.A1|BAB69698.1.A2|Q93I56.A1	15
AAF08795.1.A1|AAF08795.1.A2|Q9R9J1.A1	15
AAN07012.1.A1	15
ATY37608.1.A1	15
C0JRF0.A1	15
AKP45396.1.A1	15
QBG38784.1.A4	15
ACG60776.1.A3|B9UJ01.A2	15
ATD05719.1.A1	16
ATD05720.1.A2|ERG36783.1.A2	16
WP_010369430.1.A1	16
WP_010369428.1.A2	16
NAO96317.1.A1	16
AAY93356.2.A1	16
NAO96320.1.A1	16
CAJ96472.1.A1	16
CAQ71828.1.A2	16
AAO55665.1.A1	16
WP_006051170.1.A1	16
AAO55667.1.A1|Q884E3.A1	16
ABX37383.1.A1	16
CAQ71827.1.A1	16
