domain	clade
CBF73453.1.A5	0
CBF76036.1.A1	1
QCC62999.1.A3	2
CAJ76286.1.A1	3
AID65224.1.A1	3
KFL51887.1.A1	3
B8RG41.A1	3
AAZ23075.1.A3|Q45R85.A3	4
AAZ23077.1.A4	5
AAX31557.1.A2|Q50E74.A2	5
OKA09423.1.A3	6
CAC48360.1.A3|Q939Z1.A3	6
AEI58865.1.A3	6
EME52990.1.A3	6
CAA11794.1.A3|O52819.A3	6
CAB38517.1.A3	7
ALV82384.1.A3	7
Q9Z4X5.A3	7
ALG65313.1.A1	8
QBA57741.1.A1	8
QDJ74273.1.A2	8
ANZ15839.1.A2	8
AJW76709.1.A1	8
ATU31795.1.A2	8
AAG02359.1.A3|Q9FB23.A2	9
ACG60782.1.A1	10
ABL74936.1.A1	10
AAG02355.1.A1|Q9FB27.A1|WP_078587912.1.A1	10
ABL74940.1.A3	11
QDA77045.1.A1	12
AIW82277.1.A1	13
AIW82284.1.A2	13
AXN93575.1.A1|AXN93584.1.A1	13
AXN93581.1.A2	13
AXN93581.1.A4|AXN93590.1.A4	13
AXN93590.1.A2	13
AXN93592.1.A1	13
AXN93602.1.A2	13
AXN93602.1.A4	13
AXN93605.1.A1	13
AXN93614.1.A2	13
AXN93615.1.A1	13
AVI26390.1.A2	13
AHB82056.1.A1	13
AHB82069.1.A1	13
MBV7329455.1.A1	14
AAF17280.1.A3	15
WP_012408785.1.A3	15
Q9RAH2.A3	15
CCM44336.1.A4	16
PHM26612.1.A4	16
QWP75305.1.A4	16
QWP75305.1.A5	16
CCM44336.1.A3	16
PHM26612.1.A3	16
AEH59100.1.A6	17
CAE52342.1.A1	18
ABQ96384.2.A5	19
AAC06348.1.A5|O68008.A5	20
AHD05627.1.A1	20
AAN07013.1.A2	20
AAF08796.1.A2|Q9R9J0.A2	20
ABS74180.1.A2|CAE11249.1.A2	20
BAB69699.1.A2|Q93I55.A2	20
AHD05677.1.A1	20
AHD05678.1.A2	20
AHD05679.1.A2	20
O30409.A1	20
BAH43766.1.A1	20
BAB69700.1.A1|Q93I54.A1	20
AAF08797.1.A2|Q9R9I9.A2	20
ABS74181.1.A2|CAE11250.1.A1|CAE11250.1.BGC0001090	20
BAB69698.1.A1|BAB69698.1.A2|Q93I56.A1	20
AAF08795.1.A1|AAF08795.1.A2|Q9R9J1.A1	20
AAN07012.1.A1	20
ATY37608.1.A1	20
C0JRF0.A1	20
AKP45396.1.A1	21
QBG38784.1.A4	22
ACG60776.1.A3|B9UJ01.A2	23
ATD05719.1.A1	24
ATD05720.1.A2|ERG36783.1.A2	24
WP_010369430.1.A1	24
WP_010369428.1.A2	24
WP_047197779.1.A3	25
CBG67541.1.A4	25
AID65222.1.A1|AID65222.1.A2	25
Ga0173608_111792.A5	26
AEP18655.1.A2	27
AEP18656.1.A2	27
UHJ79951.1.A4	28
