domain	clade
APZ78834.1.A1	0
APZ78822.1.A1|CAG29032.1.A1	0
APZ78846.1.A1	0
CAE14173.1.A2|WP_232507913.1.A2	1
WP_108867380.1.A1	2
Ga0173608_111990.A1	3
Ga0173608_111792.A3	3
Ga0173608_111990.A2	3
WP_234859471.1.A5	4
EAL92291.2.A2	5
WP_032920652.1.A1	6
BAV56002.1.A1	7
ANH11404.1.A1	7
AAC44128.1.A1	8
AMT84997.1.A2	9
MAA_10043.A6	9
CAA82227.1.A11|Q09164.A3|ctg1_orf003.A11	10
ATQ39428.1.A11	10
Q8Y8D4.A1	11
Q92D47.A1	11
Q9CG49.A1	11
AAA25234.1.A1|P35854.A1	11
Q8K744.A1|Q8P0J9.A1|Q99ZA6.A1	11
AAK76230.1.A1|P0A398.A1	11
AAC05774.1.A1	11
Q53526.A1	11
AAN00653.1.A1|P59591.A1	11
Q8VM67.A1	11
Q88VM6.A1	11
CAA51561.1.A1|P39581.A1	11
Q9X2N4.A1	11
BAB94679.1.A1|P68878.A1	11
BAB57094.1.A1|P68876.A1	11
AAM78457.1.A3	12
AAM78457.1.A8	13
OAQ83772.1.A10	14
QCC62999.1.A1	15
EKJ70673.1.A2	16
EKJ70673.1.A3	17
BAO73252.1.A2	17
EGX96627.1.A2	18
AN2545.A4|CBF87069.1.A4	19
CBF87069.1.A5	19
AN2545.A5	19
ESU17760.1.A2	20
CAB39315.1.A1|O94205.A1	21
EAL89049.1.A3	22
ADY16697.1.A3	22
EAL89046.1.A1	23
AGQ43600.1.A2	24
AAA33023.2.A2|Q01886.A2	24
QCE20609.1.A1|QKW60393.1.A1	25
CBJ79915.1.A3|CBJ79916.1.A2	26
AKA59447.1.A4	27
ABW00331.1.A3	28
ASX95241.1.A4	29
BBA20967.1.A4	29
ATL73036.1.A2	30
QED88054.1.A4	31
QED88055.1.A1	31
AAZ23076.1.A1	32
AHH53507.1.A3	33
AHH53507.1.A6	33
WP_050383084.1.A1	33
WP_050383084.1.A2	33
QPI18728.1.A1	33
QPI18728.1.A2	33
BAX89999.1.A1	33
BAX90000.1.A2	33
AEA30272.1.A2	33
QRG35013.1.A1	33
QED55421.1.A2	33
AGN74885.1.A3	33
WP_041826607.1.A2	33
WP_015507662.1.A4	33
WP_015507662.1.A6	33
EWS95122.1.A2	33
EWS95124.1.A3	33
AAD44234.1.A1	34
AAT01807.1.A1|CAB55600.1.A3|Q9RLP6.A3	34
CAJ77696.1.A1	34
CAJ77716.1.A1	34
QXJ21808.1.A1	35
AHF21229.1.A3	36
ABS74207.1.A2	37
AAB80956.1.A2|O30981.A2	38
CAJ76298.1.A1	39
AFR69334.1.A1	40
QUS58939.1.A3	41
CAD92850.1.A1	42
BAP05596.1.A1	43
AOZ21320.1.A1	43
ABD14711.1.A2	43
AGZ03651.1.A1	44
AGZ15458.1.A2	45
AAX31558.1.A3	46
ALV86867.1.A1	47
ABB80392.1.A2	48
ABB80392.1.A1	48
Q9KWY8.A1	49
AWI62626.1.A2	50
WP_018540607.1.A1	51
AXN93602.1.A5	52
AEI70245.1.A1	53
ABD65958.1.A7	54
WP_016638471.1.A1	55
BAI63288.1.A2	56
WP_028678149.1.A2	56
AET98906.1.A2	56
BAH04162.1.A2	56
BAE98155.1.A2	56
CAJ46691.1.A1|Q0VZ71.A1	57
AAY93354.1.A1	57
AAY93355.1.A2	57
QCP68976.1.A1	58
Q50857.A1	58
AAS98786.1.A1	58
CAD29797.1.A2	58
AAO62586.1.A2	58
AQH32484.1.A2	58
QCQ67879.1.A2	58
AAF00960.1.A2|Q9RNB1.A2	58
BAA83992.1.A2|Q9S1A9.A2	58
AIW82284.1.A3	58
AXN93581.1.A5	58
AXN93590.1.A5	58
CAD92850.1.A3	59
ACZ55944.1.A2	60
AAK57184.1.A1	61
AGC45618.1.A1	61
BAO84861.1.A1	62
AGD80623.1.A3	62
AGD80623.1.A2	62
AGD80623.1.A1	62
WP_010973248.1.A2	62
WP_010973247.1.A1	62
UHJ79953.1.A3	62
UHJ79953.1.A1	62
ABL74937.1.A1	62
AAG02356.1.A1|Q9FB26.A1	62
WP_004942674.1.A1	62
AAL33756.1.A1	62
ABI22131.1.A2	62
QKM21620.1.A3	63
NHN68325.1.A3	63
QKM21620.1.A1	63
NHN68325.1.A1	63
QKM21619.1.A2	63
NHN68324.1.A2	63
KPN93063.1.A7	63
KPN90376.1.A2	63
KPN93063.1.A5	63
KPN93064.1.A4	63
KPN93063.1.A3	63
KPN90376.1.A6	63
KPN93063.1.A4	63
AAO72424.1.A5|Q83VS1.A5	63
AAF99707.2.A5|Q9FDB3.A5	63
AAO72425.1.A7|Q83VS0.A10	63
AAO72425.1.A9|Q83VS0.A12	63
AAO72425.1.A3|Q83VS0.A6	63
AAO72424.1.A1|Q83VS1.A1	63
AAO72425.1.A2|Q83VS0.A5	63
AHZ34243.1.A3	63
AHZ34242.1.A2	63
AHZ34239.1.A1	63
AHZ34239.1.A2	63
AHZ34238.1.A4	63
AHZ34238.1.A3	63
AHZ34241.1.A4	63
AJF34464.1.A3	63
QWP75305.1.A1	63
APZ78834.1.A3	64
APZ78822.1.A3|CAG29032.1.A3	64
APZ78846.1.A3	64
APZ78856.1.A3	64
APZ78680.1.A2	64
APZ78704.1.A3	64
APZ78692.1.A3	64
APZ78716.1.A3	64
APZ78744.1.A3	64
APZ78729.1.A4	64
APZ78795.1.A3	64
APZ78769.1.A3	64
APZ78782.1.A3	64
APZ78809.1.A3	64
APZ78855.1.A2	65
APZ78679.1.A2	65
APZ78715.1.A2	65
APZ78691.1.A2	65
APZ78703.1.A2	65
APZ78728.1.A2	65
APZ78755.1.A2	65
APZ78743.1.A2	65
AQM37583.1.A2	65
APZ78808.1.A2	65
APZ78794.1.A2	65
APZ78768.1.A2	65
APZ78781.1.A2	65
WP_011146892.1.A2	66
WP_013428324.1.A4	66
WP_013428324.1.A6	66
WP_013428324.1.A5	66
WP_013428774.1.A5	66
ABF87031.1.A10|YP_631961.1.A9	67
CAD17793.1.A4	68
CDG17980.1.A2	69
CDG17982.1.A1	69
