domain	clade
AAX31557.1.A2|Q50E74.A2	0
AAZ23075.1.A3|Q45R85.A3	1
AAZ23077.1.A4	2
WP_047197779.1.A3	3
AAC06348.1.A5|O68008.A5	4
AID65224.1.A1	5
AHD05677.1.A1	6
AHD05678.1.A2	7
AHD05679.1.A2	8
BAH43766.1.A1	9
AHD05627.1.A1	10
CAE52342.1.A1	11
ABS74180.1.A2|CAE11249.1.A2	12
ABS74181.1.A2|CAE11250.1.A1|CAE11250.1.BGC0001090	13
BAB69698.1.A1|BAB69698.1.A2|Q93I56.A1	14
BAB69699.1.A2|Q93I55.A2	15
BAB69700.1.A1|Q93I54.A1	16
AAF08795.1.A1|AAF08795.1.A2|Q9R9J1.A1	17
AAF08796.1.A2|Q9R9J0.A2	18
AAF08797.1.A2|Q9R9I9.A2	19
ABQ96384.2.A5	20
AKP45396.1.A1	21
ATY37608.1.A1	22
AAN07013.1.A2	23
AAN07012.1.A1	24
O30409.A1	25
C0JRF0.A1	26
CAB38517.1.A3	27
AAG02355.1.A1|Q9FB27.A1|WP_078587912.1.A1	27
AAG02359.1.A3|Q9FB23.A2	27
CAJ76286.1.A1	27
ABL74936.1.A1	27
ABL74940.1.A3	27
ACG60776.1.A3|B9UJ01.A2	27
AJW76709.1.A1	27
ALG65313.1.A1	27
ALV82384.1.A3	27
ANZ15839.1.A2	27
ATU31795.1.A2	27
QBG38784.1.A4	27
QDA77045.1.A1	27
QDJ74273.1.A2	27
QBA57741.1.A1	27
Q9Z4X5.A3	27
ACG60782.1.A1	28
KFL51887.1.A1	28
B8RG41.A1	28
AID65222.1.A1|AID65222.1.A2	29
CBG67541.1.A4	29
AEH59100.1.A6	30
AAF17280.1.A3	31
CCM44336.1.A3	32
CCM44336.1.A4	33
AIW82277.1.A1	34
AIW82284.1.A2	35
PHM26612.1.A3	36
PHM26612.1.A4	37
AVI26390.1.A2	38
AXN93575.1.A1|AXN93584.1.A1	39
AXN93581.1.A2	40
AXN93581.1.A4|AXN93590.1.A4	41
AXN93590.1.A2	42
AXN93592.1.A1	43
AXN93602.1.A2	44
AXN93602.1.A4	45
AXN93605.1.A1	46
AXN93614.1.A2	47
AXN93615.1.A1	48
WP_012408785.1.A3	49
QWP75305.1.A4	50
QWP75305.1.A5	51
MBV7329455.1.A1	52
Q9RAH2.A3	53
AEP18655.1.A2	54
AEP18656.1.A2	54
Ga0173608_111792.A5	55
AHB82056.1.A1	56
AHB82069.1.A1	56
CAC48360.1.A3|Q939Z1.A3	57
AEI58865.1.A3	57
OKA09423.1.A3	57
EME52990.1.A3	57
CAA11794.1.A3|O52819.A3	57
ATD05719.1.A1	58
ATD05720.1.A2|ERG36783.1.A2	58
WP_010369428.1.A2	58
WP_010369430.1.A1	58
UHJ79951.1.A4	59
CBF76036.1.A1	60
QCC62999.1.A3	60
CBF73453.1.A5	61
