domain	clade
BAH43766.1.A6	0
BAA06146.1.A4|CAA43838.1.A4|P0C063.A4|Q44928.A4	0
O30409.A6	0
FGSG_15673.A2	1
EGX96627.1.A3	2
AN2545.A3|CBF87069.1.A3	3
CBF76038.1.A1	4
XP_003044554.1.A2	5
QOG08944.1.A1	6
AAM78457.1.A14	7
AAM78457.1.A11	8
ESU17760.1.A7	9
OAQ83772.1.A5	10
OAQ83772.1.A6	11
AMT84997.1.A3	12
AIT38302.1.A1	13
AHB38511.1.A1	14
AAN32978.1.A1|Q8GAQ6.A1	15
AAO62587.1.A1	16
AQH32485.1.A1	17
QCQ67880.1.A1	17
Ga0173608_111990.A3	18
Ga0173608_111498.A4	18
Ga0173608_111474.A3	18
Ga0173608_111474.A5	18
Ga0173608_112008.A7	18
Ga0173608_111990.A5	19
WP_008704344.1.A2	20
AGZ15455.1.A1	21
WP_016638466.1.A1	21
UEF20578.1.A1	22
UEF20580.1.A2	22
QKF54438.1.A2	22
QKF54436.1.A1	22
OTA20325.1.A3	23
AAF00962.1.A1|Q9RNA9.A1	24
CBJ90287.1.A1|WP_013184317.1.A1	25
BAX64244.1.A2	26
OTA20325.1.A1	26
OTA20325.1.A2	26
BAX89999.1.A2	27
WP_067426775.1.A2	28
QVQ62868.1.A2	29
QVQ62868.1.A4	29
WP_015507662.1.A2	30
WP_015507663.1.A2	30
AGN74876.1.A2	31
AEP18656.1.A6	32
BAV56270.1.A6	32
QWM97319.1.A6	32
WP_050383082.1.A1	32
WP_050383088.1.A1	32
WP_050383094.1.A1	32
QPI18723.1.A1|QPI18729.1.A1	32
QPI18726.1.A1	32
CBZ42146.1.A2	33
ANZ15840.1.A3	34
ATU31794.1.A3	34
QGA70148.1.A6	34
ASX95241.1.A2	34
ASX95241.1.A5	34
ASX95241.1.A6	34
BBA20967.1.A2	34
BBA20967.1.A5	34
BBA20967.1.A6	34
AJW76710.1.A1	34
AJW76711.1.A2	34
ABW00331.1.A2	34
ABW00331.1.A6	34
AIW58892.1.A7	34
WP_015507661.1.A3	34
AKC91849.1.A4	34
AKC91849.1.A6	34
AKC91856.1.A3	34
QDJ74275.1.A4	34
AJV88377.1.A1	34
QBG38782.1.A2	34
AEA30274.1.A2	34
AEA30274.1.A3	34
QNH67550.1.A3	34
QNH67551.1.A1	34
QRG35014.1.A1	34
AAO23334.1.A4	35
ESU17760.1.A8	36
AFJ14794.1.A7	37
CUX79062.1.A1	37
AFJ14794.1.A4	38
ACA97576.1.A1	38
AJM89735.1.A1	38
CUX79061.1.A2	39
CAE15637.1.A3|WP_011147463.1.A3	40
CBJ79915.1.A1	41
CBJ79915.1.A2	41
CBJ79916.1.A3	41
CBJ79916.1.A4	41
WP_011146892.1.A6	42
WP_011146892.1.A13	42
PHM49485.1.A4	42
CAE15637.1.A2|WP_011147463.1.A2	42
CAE15637.1.A4|WP_011147463.1.A4	42
CBJ90082.1.A2	42
WP_011146892.1.A1	42
WP_011146892.1.A10	42
WP_011146892.1.A3	42
CAE15637.1.A5|WP_011147463.1.A5	42
AFP87549.1.A2	42
CDG17980.1.A4	43
THA23574.1.A2	43
APZ78833.1.A2	43
APZ78821.1.A2|CAG29031.1.A2|Q50JA3.A2	43
APZ78845.1.A2	43
AKA59447.1.A1	44
ABF87031.1.A3|YP_631961.1.A2	45
AHZ34243.1.A6	46
CAK15814.1.A4	47
ABW17377.1.A2	48
AJM89735.1.A2	49
AEZ51516.1.A2	49
AAU22002.1.A2|AAU39359.1.A2	49
CAA06323.1.A2|O66069.A2|Q45295.A2	49
CAE02630.1.A2	49
BAA02522.1.A2|P27206.A2	49
QRN75755.1.A2	50
ATY37589.1.A1	51
ATY37591.1.A2	52
ATD05719.1.A2|WP_010369430.1.A2	53
CAA49818.1.A1|Q08787.A1	54
CDG17981.1.A1	55
ABV56582.1.A1	56
EME52990.1.A1	57
CAA11794.1.A1|O52819.A1	57
CAC48360.1.A1|Q939Z1.A1	57
AEI58865.1.A1	57
OKA09423.1.A1	57
ALV86868.1.A1	58
QED55423.1.A5	59
ALG65318.1.A1	60
QBA57736.1.A1	60
ATD51279.1.A2	61
AHB38497.1.A4	62
AKA59436.1.A2	63
AHB38515.1.A2	64
CUX96954.1.A2	64
AEC14346.1.A2	65
WP_234859471.1.A1	65
WP_234859472.1.A4	65
CAD92850.1.A2	65
CAD92852.1.A2	65
CAD92851.1.A4	65
CAD92851.1.A6	65
AAC06346.1.A3|O68006.A3	66
QWP75305.1.A2	67
QWP75304.1.A1	67
WP_047195042.1.A3	68
AHZ34233.1.A1	69
AHZ34233.1.A4	69
WP_100939443.1.A1	69
ABW17375.1.A1	69
CAY48789.1.A1	69
AFZ61526.1.A1	69
AFZ61501.1.A1	69
AGE25480.1.A1	69
AGE26255.1.A1	69
ANQ43347.1.A1	69
ANQ43349.1.A1	69
AFH75320.1.A4	69
AFH75330.1.A2	69
CCJ67637.1.A1	69
APU91750.1.A4	69
AGE25480.1.A2	69
ANQ43349.1.A2	69
AAO56328.1.A1	69
WP_100939442.1.A1	69
BCJ07600.1.A1	69
AGM14925.1.A1	69
AFJ23819.1.A1	69
BAC67534.2.A1|Q84BQ6.A1|QDF82254.1.A1	70
BAC67535.1.A2	70
BAC67535.1.A3	70
BAC67536.1.A1|Q84BQ4.A1	70
AAY91419.3.A1	70
CAY48788.1.A3	70
AOA33121.1.A1	70
AOA33122.1.A2	70
AOA33122.1.A3	70
AOA33123.1.A1	70
WP_064118559.1.A1	70
WP_064118559.1.A3	70
WP_064118560.1.A2	70
WP_064118560.1.A3	70
