domain	clade
BAN91483.1.A1	0
EPE34341.1.A1	0
AMM63162.1.A1	0
AFT91378.1.A1	0
EXU96269.1.A1	1
BAE06845.2.A2	2
AZC86156.1.A2	2
CBL93718.1.A1	3
ABX37382.1.A2	4
WP_144411596.1.A1	4
ATP76244.1.A1	5
AAO62588.1.A1	6
CAD29798.1.A1|Q8G982.A1	7
QCQ67881.1.A1	7
AQH32486.1.A1	8
CAD29799.1.A1	9
CFJ82030.1.A1|O86329.A1|Q7D791.A1	10
Ga0173608_11676.A6	11
Ga0173608_112053.A3	12
Ga0173608_112187.A4	12
Ga0173608_112008.A9	13
AHD05614.1.A1	14
ctg1_orf20.A2	15
CBJ79718.1.A1	16
AAC82549.1.A1|O87313.A1	17
EFL06867.1.A2	17
CAB53322.1.A1|Q9RK14.A1	17
WP_234859471.1.A4	18
AHD05617.1.A1	19
AGE11898.1.A2	20
CAJ45639.1.A1	20
AHH53507.1.A1	20
AAX31558.1.A1	20
ARU08074.1.A1	20
NSC23530.1.A1	20
ANZ15839.1.A1	20
ATU31795.1.A1	20
QNH67550.1.A5	20
ctg1_orf1264.A2	20
BAH33409.1.A3	20
AAC82550.1.A1|AAC82550.1.A3|O87314.A1	20
CAB53322.1.A3|Q9RK14.A3	20
A4FE38.A3|CAM02313.1.A3	20
AAZ55898.1.A1	20
CBG75492.1.A3	20
WP_084702182.1.A3	20
ctg1_orf1265.A2	20
ctg1_orf1265.A3	20
ctg1_orf20.A3	20
O87314.A3	20
AAZ23077.1.A1	20
AAZ55900.1.A1	20
CBA63680.1.A1|D2TVG0.A1	20
CBG75492.1.A4	20
EFL06866.1.A1	20
CP001614.2.A1	20
AGE11899.1.A2	20
CBG75492.1.A5	20
WP_084702182.1.A6	20
BAH33409.1.A1	20
ACU36654.1.A1	20
AEP18655.1.A4	20
AEP18656.1.A7	20
BAV56270.1.A2	20
QWM97319.1.A2	20
BAV56270.1.A7	20
QWM97319.1.A7	20
QWP75305.1.A3	21
CAE14173.1.A1|WP_232507913.1.A1	22
AAY37647.1.A5	22
AF047828.1.A5|O85168.A5	22
QUS58938.1.A1	22
WP_041826607.1.A5	22
AGM16413.1.A2	22
AGM16414.1.A2	22
ABS74209.1.A2|CAE11277.1.A2	23
CAA84360.1.A2|P39845.A2	23
AAC36721.1.A2|O87606.A2	23
AAC06347.1.A2|O68007.A2	24
AGM16412.1.A1	25
AGM16412.1.A4	25
ATY37608.1.A4	25
ATY37608.1.A5	25
ATY37608.1.A7	25
BAA06146.1.A3|Q44928.A3	25
P0C063.A3	25
CAA43838.1.A3	25
BAH43766.1.A5	25
O30409.A5	25
EFL02193.1.A1	26
A8BB73.A1	26
APD26279.1.A1	26
SOV25622.1.A2|WP_013184461.1.A2	27
BAW32324.1.A1	28
BAW32334.1.A1	28
AAX16297.1.A2	29
CAJ96470.1.A1	30
CAQ71829.1.A1	30
CAQ71829.1.A3	30
NAO96320.1.A4	30
ABX37382.1.A5	30
ADJ63842.1.A7	30
AAX16325.1.A2	30
AAX16327.1.A3	30
AAX16297.1.A4	30
AAX16296.1.A2	30
AAY93354.1.A2	30
AAY93356.2.A2	30
QDG75033.1.A1	31
AAS47562.1.A1	31
AHJ31215.1.A3	32
ATP76246.1.A3	32
OAL11435.1.A1	32
QOE83923.1.A1	32
AAC06347.1.A1|O68007.A1	33
ABX37382.1.A4	34
AAX16296.1.A1	35
AAY93354.1.A3	36
AAY93356.2.A3	36
ABV79985.1.A1	37
ACZ55945.1.A1	37
AAT09804.1.A2	38
CAE15497.1.A1	39
CAE15497.1.A3	39
AFP87549.1.A1	39
AFP87549.1.A4	39
AFP87549.1.A3	39
AFP87549.1.A5	39
WP_047195042.1.A1	40
CCP42826.1.A1	40
YP_856990.1.A1	40
ACC81021.1.A2	40
ACZ55942.1.A2	40
ABV79985.1.A2	40
ACZ55945.1.A2	40
AAG31130.1.A1	40
QRK05501.1.A1	40
AFH75322.1.A6	40
CCJ67640.1.A6	40
APU91751.1.A6	40
SOV25622.1.A3|WP_013184461.1.A3	40
WP_013184461.1.A1	40
SOV25622.1.A1	40
SOV25619.1.A1|WP_013184464.1.A1	40
PHM49485.1.A6	40
BAH22764.1.A1	40
ABB80392.1.A3	40
AJY78094.1.A1	40
QIE07359.1.A1	40
AED90002.1.A2	41
WP_013184463.1.A2	41
SOV25620.1.A2	41
AEH59100.1.A2	42
AXA91302.1.A4	42
ABD65957.1.A2	43
Q93LR1.A1	44
AAL82383.1.A1|Q8RTG4.A1	45
BAA83994.1.A1|Q9S1A7.A1	46
CBG75492.1.A1	47
ACU36654.1.A2	47
ABG94125.1.A2|YP_702283.1.A2	47
WP_084702182.1.A1	47
ATY37589.1.A2	48
ATY37590.1.A4	48
ATY37591.1.A3	48
AAY29580.1.A4	48
EOY45602.1.A1	49
ATO51563.1.A5	49
EFE73313.1.A2	50
WP_078857611.1.A1	50
