domain	clade
ASX95241.1.A4	0
BBA20967.1.A4	0
AAD44234.1.A1	1
EWS95122.1.A2	2
EWS95124.1.A3	2
AHH53507.1.A6	2
AEA30272.1.A2	2
WP_050383084.1.A1	2
WP_050383084.1.A2	2
WP_015507662.1.A4	2
WP_015507662.1.A6	2
WP_041826607.1.A2	2
QED88054.1.A4	2
QED88055.1.A1	2
QED55421.1.A2	2
QPI18728.1.A1	2
QPI18728.1.A2	2
QRG35013.1.A1	2
AHH53507.1.A3	3
AGN74885.1.A3	4
Ga0173608_111792.A3	5
Ga0173608_111990.A1	5
Ga0173608_111990.A2	5
WP_234859471.1.A5	5
WP_010973248.1.A2	6
AAY93354.1.A1	6
AAY93355.1.A2	6
AAF99707.2.A5|Q9FDB3.A5	6
AAO72424.1.A1|Q83VS1.A1	6
AAO72424.1.A5|Q83VS1.A5	6
AAO72425.1.A2|Q83VS0.A5	6
AAO72425.1.A3|Q83VS0.A6	6
AAO72425.1.A7|Q83VS0.A10	6
AAO72425.1.A9|Q83VS0.A12	6
CDG17982.1.A1	6
AHZ34238.1.A3	6
AHZ34238.1.A4	6
AHZ34239.1.A1	6
AHZ34239.1.A2	6
AHZ34241.1.A4	6
AHZ34242.1.A2	6
AHZ34243.1.A3	6
KPN90376.1.A2	6
KPN90376.1.A6	6
KPN93063.1.A3	6
KPN93063.1.A4	6
KPN93063.1.A5	6
KPN93063.1.A7	6
KPN93064.1.A4	6
WP_013428324.1.A4	6
WP_013428324.1.A6	6
WP_013428774.1.A5	6
CAD92850.1.A3	6
CAD29797.1.A2	6
ACZ55944.1.A2	6
AGD80623.1.A1	6
AGD80623.1.A2	6
AGD80623.1.A3	6
BAO84861.1.A1	6
AAL33756.1.A1	6
ABI22131.1.A2	6
AAG02356.1.A1|Q9FB26.A1	6
CAJ46691.1.A1|Q0VZ71.A1	6
AAS98786.1.A1	6
AAO62586.1.A2	6
AAF00960.1.A2|Q9RNB1.A2	6
AAK57184.1.A1	6
ABL74937.1.A1	6
AIW82284.1.A3	6
AJF34464.1.A3	6
CAD17793.1.A4	6
AGC45618.1.A1	6
WP_011146892.1.A2	6
AQH32484.1.A2	6
AXN93581.1.A5	6
AXN93590.1.A5	6
WP_010973247.1.A1	6
QWP75305.1.A1	6
QCP68976.1.A1	6
QCQ67879.1.A2	6
WP_004942674.1.A1	6
QKM21619.1.A2	6
QKM21620.1.A1	6
WP_108867380.1.A1	6
UHJ79953.1.A1	6
UHJ79953.1.A3	6
NHN68324.1.A2	6
NHN68325.1.A1	6
BAA83992.1.A2|Q9S1A9.A2	6
Q50857.A1	6
CDG17980.1.A2	7
WP_013428324.1.A5	8
QKM21620.1.A3	9
NHN68325.1.A3	9
AAZ23076.1.A1	10
AGZ03651.1.A1	11
ABD14711.1.A2	12
CAD92850.1.A1	13
BAP05596.1.A1	14
AOZ21320.1.A1	15
BAX89999.1.A1	16
BAX90000.1.A2	16
Q53526.A1	17
Q8K744.A1|Q8P0J9.A1|Q99ZA6.A1	17
Q8VM67.A1	17
AAN00653.1.A1|P59591.A1	17
