domain	clade
A9LJA2.A3	0
ACC81022.1.A1	1
ACM68684.1.A1	2
ABV79988.1.A1	2
AAO23334.1.A1	2
CAC01606.1.A1|Q9K5L9.A1	2
ABI26079.1.A1	2
BAH22765.1.A1	2
BAH22764.1.A3	2
ABI26078.1.A3	2
ATP76246.1.A2	2
AAF15891.2.A1|Q9RAH4.A1	2
WP_012408783.1.A1	2
AEU11003.1.A3	2
WP_108867381.1.A1	3
WP_234859471.1.A2	3
ATY37590.1.A1	4
AAY29580.1.A1	4
AFJ14794.1.A1	5
AGM16413.1.A4	5
AGM16414.1.A3	5
AAD04759.1.A1|O66071.A1|O69247.A1	6
RAT94091.1.A1	7
ATY37609.1.A1	8
AAC06346.1.A1|O68006.A1	8
AAC06346.1.A5|O68006.A5	8
AAC06348.1.A1|O68008.A1	8
Ga0173608_11675.A7	9
Ga0173608_11675.A9	9
Ga0173608_112187.A6	9
Ga0173608_111989.A6	9
AZZ09613.1.A1	10
EHA53213.1.A1	11
BBC83957.1.A7	12
EKJ70673.1.A6	13
EJP62835.1.A3	14
CAP93139.1.A2	15
MAA_10043.A4	16
CBF73453.1.A3	17
ESU17760.1.A3	18
ACZ66258.1.A2|D2IKP5.A2	19
AQM58286.1.A2	20
AFK57215.1.A3	21
WP_019634550.1.A1	22
AAZ23078.1.A2	23
ABC36785.1.A3	24
AFR69334.1.A3	24
AHB38497.1.A2	25
WP_004571777.1.A1	26
QNH85840.1.A2	27
BolH.A2	27
CAE15637.1.A1|WP_011147463.1.A1	28
CAE15497.1.A2	29
CAE15497.1.A4	29
AEH59100.1.A3	30
AJF34463.1.A2	30
AJF34463.1.A6	30
AJF34463.1.A5	30
AJF34464.1.A5	30
ADH04679.1.A1	30
QWP75304.1.A2	30
AHY86403.1.A2	31
KPN90376.1.A9	31
AHZ34241.1.A2	32
KPN93064.1.A2	33
AFH75322.1.A3	33
APU91751.1.A3	33
AAY91420.2.A2	34
ABH06368.2.A2	35
ANQ43348.1.A2	35
ABH06369.2.A3	35
AGE25480.1.A4	35
ANQ43349.1.A4	35
CAY48789.1.A3	35
AFZ61526.1.A3	35
AOA33123.1.A2	36
ABA73955.1.A2	36
ABA73956.1.A4	36
BAC67536.1.A3|Q84BQ4.A3	36
WP_064118559.1.A4	36
QNL34618.1.A4	36
BAC67536.1.A4|Q84BQ4.A4	36
QDF82259.1.A4	36
WP_100939443.1.A3	37
AGM14934.1.A4	38
BCJ07529.1.A3	38
AFJ23826.1.A3	39
A9LJA2.A2	40
AHF21229.1.A2	41
WP_129549209.1.A2	41
WP_129549303.1.A9	42
WP_129549209.1.A1	43
ABS74205.1.A1	44
AAB00093.1.A1|Q45563.A1	44
CAA84364.1.A1|P94460.A1	44
EJK79842.1.A1	45
AEG64698.1.A1	46
QDJ74273.1.A3	47
DAB41478.1.A1	48
AIW58892.1.A3	49
AFO85453.1.A1	50
AHB38497.1.A1	51
WP_041826607.1.A3	52
WP_041826607.1.A1	52
WP_015507661.1.A1	52
WP_041826607.1.A4	52
BAV56271.1.A4	53
QWM97320.1.A4	53
BAX64247.1.A2	54
ATL73036.1.A4	55
ANZ15840.1.A4	56
WP_015507662.1.A1	57
ABW17376.1.A6	58
ABW17376.1.A2	59
WP_013428774.1.A4	60
WP_013428774.1.A6	60
CDG17980.1.A5	61
