domain	clade
AAF00962.1.A1|Q9RNA9.A1	0
CBF76038.1.A1	1
CAE15637.1.A3|WP_011147463.1.A3	2
PHM49485.1.A4	3
UEF20578.1.A1	4
UEF20580.1.A2	4
QKF54436.1.A1	4
QKF54438.1.A2	4
APZ78833.1.A2	5
CDG17980.1.A4	6
OTA20325.1.A1	7
CUX79061.1.A2	8
CAE15637.1.A2|WP_011147463.1.A2	9
CAE15637.1.A4|WP_011147463.1.A4	9
CAE15637.1.A5|WP_011147463.1.A5	9
CBJ90082.1.A2	9
AFP87549.1.A2	9
WP_011146892.1.A1	9
WP_011146892.1.A3	9
WP_011146892.1.A6	9
WP_011146892.1.A10	9
WP_011146892.1.A13	9
AAO23334.1.A4	10
AIT38302.1.A1	11
ABF87031.1.A3|YP_631961.1.A2	12
QOG08944.1.A1	13
OTA20325.1.A3	14
CCC55922.1.A1	15
QCY50741.1.A1|ctg1_42.A1	16
CAC48360.1.A1|Q939Z1.A1	17
EME52990.1.A1	17
CAA11794.1.A1|O52819.A1	17
AEI58865.1.A1	17
OKA09423.1.A1	17
AHB38497.1.A4	18
ABW00331.1.A2	19
WP_008704344.1.A1	20
FGSG_15673.A2	21
AAM78457.1.A11	22
ABW17377.1.A2	23
ATY37591.1.A2	24
ACR78148.1.A2|D1FVF0.A2	25
OAQ83772.1.A5	26
AAM78457.1.A14	27
ABW00331.1.A6	28
QNH67550.1.A3	28
QNH67551.1.A1	28
APZ78821.1.A2|CAG29031.1.A2|Q50JA3.A2	29
APZ78845.1.A2	29
THA23574.1.A2	29
CAA82227.1.A2|Q09164.A4|ctg1_orf003.A2	30
CAA82227.1.A3|Q09164.A5|ctg1_orf003.A3	30
CAA82227.1.A8|Q09164.A10|ctg1_orf003.A8	30
CAA82227.1.A10|Q09164.A2|ctg1_orf003.A10	30
ATQ39428.1.A2	30
ATQ39428.1.A3	30
ATQ39428.1.A8	30
ATQ39428.1.A10	30
ALG65318.1.A1	30
QBA57736.1.A1	30
ACJ04424.1.A8|B6SF67.A8	31
ATO51563.1.A3	32
AFJ14794.1.A4	33
AFJ14794.1.A7	34
CUX79062.1.A1	35
ACA97576.1.A1	36
AJM89735.1.A1	36
BAX64244.1.A2	37
WP_013428324.1.A1	38
CAD92850.1.A2	39
CAD92851.1.A4	39
CAD92851.1.A6	39
CAD92852.1.A2	39
AFK57215.1.A1	40
AWI62626.1.A3	40
WP_012408785.1.A1	41
CAJ21198.2.A1|Q0W980.A1	42
AAC06346.1.A3|O68006.A3	43
AHZ34232.1.A2	44
CAK15814.1.A2	45
CAK15815.1.A6	46
AEC14346.1.A2	47
AAU22002.1.A3|AAU39359.1.A3	48
AAU39360.1.A3	49
AEH59099.1.A1	50
AEH59099.1.A2	51
AEH59099.1.A4	52
AEH59100.1.A1	53
ABW17376.1.A1	54
CAE02630.1.A3	55
CAE02631.1.A3	56
AAO56328.1.A2	57
AGM14933.1.A3	58
AGM14933.1.A7	59
AFK57219.1.A1	60
AAF00961.1.A1|Q9RNB0.A1	61
AAF15891.2.A4|Q9RAH4.A4	62
AAF17280.1.A1|Q9RAH2.A1	63
APZ78680.1.A1	64
APZ78692.1.A1	65
APZ78704.1.A1	66
APZ78716.1.A1	67
APZ78729.1.A1	68
APZ78729.1.A2	69
APZ78744.1.A1	70
APZ78756.1.A1	71
AQM37584.1.A1	72
APZ78769.1.A1	73
APZ78782.1.A1	74
APZ78795.1.A1	75
APZ78809.1.A1	76
APZ78856.1.A1	77
ATY37592.1.A1	78
WP_047195042.1.A3	79
AFJ23825.1.A3	80
WP_012408783.1.A4	81
WP_100939442.1.A2	82
QWP75305.1.A2	83
QWP75304.1.A1	84
BCJ07532.1.A1	85
BCJ07532.1.A5	86
Q45675.A3|WP_069322367.1.A3	87
BAA02522.1.A3|P27206.A3	88
CAA06323.1.A3|Q45295.A3	89
CAA06324.1.A3|O66070.A3|O69246.A3	90
BAA83993.1.A1|Q9S1A8.A1	91
O66069.A3	92
Q04747.A3	93
AHZ34233.1.A1	94
AHZ34233.1.A4	94
AFH75330.1.A2	94
ABW17375.1.A1	94
AFH75320.1.A4	94
AAO56328.1.A1	94
CCJ67637.1.A1	94
CAY48789.1.A1	94
APU91750.1.A4	94
AYA44686.1.A1	94
AYA44686.1.A4	94
WP_100939442.1.A1	94
WP_100939443.1.A1	94
BCJ07600.1.A1	94
AGM14925.1.A1	94
AFZ61526.1.A1	94
AFZ61501.1.A1	94
AFJ23819.1.A1	94
AGE25480.1.A1	94
AGE25480.1.A2	94
AGE26255.1.A1	94
ANQ43347.1.A1	94
ANQ43349.1.A1	94
ANQ43349.1.A2	94
AAO56329.1.A1	95
AAO56329.1.A4	95
AAO56329.1.A5	95
WP_100939443.1.A4	95
WP_100939443.1.A5	95
BAC67534.2.A1|Q84BQ6.A1|QDF82254.1.A1	96
BAC67535.1.A2	97
BAC67535.1.A3	98
BAC67536.1.A1|Q84BQ4.A1	99
AHZ34232.1.A1	100
AHZ34233.1.A5	101
ABH06368.2.A3	102
ABH06369.2.A1	103
AFH75328.1.A1	104
AFH75329.1.A3	105
AFH75330.1.A1	106
AAY91419.3.A1	107
AAY91420.2.A3	108
AAY91421.3.A1	109
AAY91421.3.A2	110
ABW17377.1.A1	111
AFH75321.1.A5	112
CCJ67638.1.A1	113
CCJ67639.1.A2	114
CCJ67640.1.A3	115
AGM14934.1.A1	116
CAY48788.1.A3	117
AOA33121.1.A1	118
AOA33122.1.A2	119
AOA33122.1.A3	120
AOA33123.1.A1	121
WP_064118559.1.A1	122
WP_064118559.1.A3	123
WP_064118560.1.A2	124
WP_064118560.1.A3	125
WP_064118561.1.A1	126
APU91750.1.A7	127
APU91750.1.A11	128
AFJ23826.1.A1	129
ABA73954.1.A1	130
ABA73955.1.A3	131
ABA73956.1.A1	132
ABA73956.1.A2	133
QDF82255.1.A2	134
QDF82255.1.A3	135
QDF82259.1.A1	136
QDF82259.1.A3	137
QNL34616.1.A1	138
QNL34617.1.A2	139
QNL34617.1.A3	140
QNL34618.1.A1	141
QNL34618.1.A3	142
BCJ07531.1.A1	143
AFZ61525.1.A3	144
AGE25479.1.A2	145
AGE25479.1.A3	146
ANQ43348.1.A3	147
Q84BQ5.A2	148
Q84BQ5.A3	149
AFH75321.1.A1	150
AGM14934.1.A2	151
BCJ07529.1.A1	151
CAK15815.1.A3	152
Ga0173608_111990.A3	152
Ga0173608_111990.A5	152
Ga0173608_111498.A4	152
Ga0173608_111474.A3	152
Ga0173608_111474.A5	152
Ga0173608_112008.A7	152
AHB38515.1.A2	153
CUX96954.1.A2	153
WP_234859471.1.A1	154
WP_234859472.1.A4	154
CBJ79915.1.A1	155
CBJ79915.1.A2	155
CBJ79916.1.A3	155
CBJ79916.1.A4	155
ATY37589.1.A1	156
AAU22002.1.A2|AAU39359.1.A2	157
CAA06323.1.A2|O66069.A2|Q45295.A2	157
CAE02630.1.A2	157
BAA02522.1.A2|P27206.A2	157
XP_003044554.1.A5	158
CBZ42146.1.A2	159
AKA59436.1.A2	160
BAH43766.1.A6	161
BAA06146.1.A4|CAA43838.1.A4|P0C063.A4|Q44928.A4	161
O30409.A6	161
AJM89735.1.A2	162
AEZ51516.1.A2	163
QRN75755.1.A2	164
ATD05719.1.A2|WP_010369430.1.A2	165
WP_008704344.1.A2	165
AHZ34243.1.A6	166
CAK15814.1.A4	167
CAA49818.1.A1|Q08787.A1	168
ABV56582.1.A1	169
CDG17981.1.A1	170
AKA59447.1.A1	171
