domain	clade
WP_043882190.1.A5	0
AHF21228.1.A10	0
WP_129549303.1.A10	0
AAU22002.1.A1|AAU39359.1.A1	0
CAA06323.1.A1	0
O66069.A1|Q45295.A1	0
AAD04757.1.A1	0
CAE02630.1.A1	0
BAA02522.1.A1	0
P27206.A1	0
ABS74180.1.A4|CAE11249.1.A4	0
AAN07013.1.A4	0
AHD05678.1.A3	0
BAB69699.1.A3	0
Q93I55.A3	0
AAF08796.1.A3	0
Q9R9J0.A3	0
AAC06346.1.A4|O68006.A4	1
AHI59109.1.A1	2
AHI59109.1.A2	3
AAC06348.1.A4|O68008.A4	3
AAU39360.1.A2	3
CAA06324.1.A2|O69246.A2	3
O66070.A2	3
CAE02631.1.A2	3
Q45675.A2|WP_069322367.1.A2	3
Q04747.A2	3
Ga0173608_111792.A5	4
Ga0173608_112008.A1	4
A05163.A1	5
Q9RNB3.A1	6
AAC15909.1.A1|P40976.A1	6
AAA34747.1.A1|P07702.A1	6
ADB02855.1.A1	7
AXM43064.1.A1	8
AET13875.1.A2|AET13879.1.A2	9
BBC83957.1.A5	10
FGSG_15673.A1	11
AAM78457.1.A6	12
AAM78457.1.A17	12
CBF76036.1.A2	13
CBF76036.1.A1	14
ESU15173.1.A3	15
BN849_0052030.A3	15
QCC62999.1.A2	15
EKJ70673.1.A4	16
BAO73252.1.A4	16
QCC62999.1.A3	17
CBF73453.1.A5	18
FGSG_15673.A4	19
UHJ79951.1.A4	20
AAA63415.1.A1|ABA70582.1.A1|ABR12615.1.A1|P19787.A1|P26046.A1	21
AAA03914.1.A1|P27742.A1	21
KFH48607.1.A1|P25464.A1	21
AAK1902.1.A1|AAK21902.1.A1|Q9C1G0.A1	21
BAA08846.1.A1|P94873.A1	21
CAA40561.1.A1|P27743.A1	21
EDY47118.1.A1	21
AAB39900.1.A1|Q01757.A1	21
ATD05719.1.A1	22
WP_010369430.1.A1	22
ATD05720.1.A2|ERG36783.1.A2	22
WP_010369428.1.A2	22
ABV56594.1.A1	23
AFK57212.1.A1	23
AFK57212.1.A2	23
CCM44336.1.A1	24
QEO74981.1.A4	25
QEO75074.1.A1	25
QBG38784.1.A4	26
UEF20578.1.A2	27
QKF54436.1.A2	27
BAV56271.1.A2	28
QWM97320.1.A2	28
AEP18655.1.A2	29
AEP18656.1.A2	29
ALK27916.1.A3	30
ABD65956.1.A1|Q06YZ3.A1	31
OKA09423.1.A3	32
AEI58865.1.A3	32
EME52990.1.A3	32
CAA11794.1.A3|O52819.A3	32
CAC48360.1.A3|Q939Z1.A3	32
CAD55498.1.A1	32
ALV82388.1.A1	32
ALV82356.1.A5	32
ALV82356.1.A4	32
ALV82384.1.A1	32
CAB38518.1.A5|Q9Z4X6.A5	32
CAB38518.1.A4|Q9Z4X6.A4	32
CAB38517.1.A1|Q9Z4X5.A1	32
AAX31557.1.A2|Q50E74.A2	32
AAZ23075.1.A2|Q45R85.A2	32
AHH53506.1.A2	32
AEA30272.1.A3	32
AAZ23078.1.A1	32
AHH53508.1.A1	32
AAZ23075.1.A3|Q45R85.A3	32
AAZ23077.1.A4	32
CAJ18237.2.A1	32
AHH53507.1.A2	32
AHH53506.1.A3	32
AHH53507.1.A4	32
QED55422.1.A1	32
QED55423.1.A2	32
QBC75022.1.A1	32
QBC75022.1.A2	32
QBC75021.1.A3	32
QBC75022.1.A5	32
QBC75023.1.A1	32
ARU08074.1.A3	32
AEG64697.1.A4	32
AEG64696.1.A1	32
AEG64697.1.A2	32
CAM56770.1.A2	32
CAM56770.1.A4	32
AAZ23076.1.A2	32
AAZ23077.1.A2	32
AAX31557.1.A3|Q50E74.A3	32
AAX31558.1.A2	32
AAX31558.1.A4	32
AJW76709.1.A1	32
ANZ15839.1.A2	32
ATU31795.1.A2	32
CBG67541.1.A4	32
WP_107406787.1.A2	32
BAX89998.1.A2	32
ALV82384.1.A3	32
CAB38517.1.A3	32
Q9Z4X5.A3	32
QDJ74273.1.A2	32
ALG65313.1.A1	32
QBA57741.1.A1	32
AOZ21316.1.A1	33
APZ78756.1.A3	34
AQM37584.1.A3	34
APZ78822.1.A4|CAG29032.1.A4	34
APZ78846.1.A4	34
APZ78834.1.A4	34
APZ78856.1.A4	34
APZ78680.1.A3	34
APZ78704.1.A4	34
APZ78692.1.A4	34
APZ78716.1.A4	34
APZ78729.1.A5	34
APZ78744.1.A4	34
APZ78809.1.A4	34
APZ78795.1.A4	34
APZ78769.1.A4	34
APZ78782.1.A4	34
CCJ67647.1.A2	34
AAX16325.1.A1	34
QUS58937.1.A1	35
QNL34618.1.A2	35
ANQ43347.1.A2	35
AFZ61501.1.A2	35
AGE26255.1.A2	35
AFH75328.1.A2	35
AAY91419.3.A2	35
QNL34618.1.A5	35
WP_064118559.1.A5	35
BAC67536.1.A5|Q84BQ4.A5	35
QDF82259.1.A5	35
BAC67534.2.A2|Q84BQ6.A2	35
QDF82254.1.A2	35
WP_064118561.1.A2	35
QNL34616.1.A2	35
AOA33121.1.A2	35
ABA73954.1.A2	35
AHZ34233.1.A2	35
AGM14934.1.A3	35
BCJ07529.1.A2	35
AGM14933.1.A1	35
BCJ07533.1.A1	35
AGM14933.1.A4	35
BCJ07532.1.A2	35
CAK15815.1.A1	35
CAK15815.1.A4	35
CAK15815.1.A7	35
AGM14933.1.A8	35
BCJ07532.1.A6	35
ABW17376.1.A3	35
WP_100939442.1.A3	35
AHZ34232.1.A3	35
AAO56328.1.A3	35
BCJ07599.1.A1	35
AGM14925.1.A2	35
ABW17375.1.A2	35
AFJ23819.1.A2	35
AOA33122.1.A4	35
ABA73955.1.A4	35
ABA73955.1.A1	35
CCJ67639.1.A1	35
APU91750.1.A10	35
AFH75320.1.A6	35
AFH75321.1.A4	35
AHZ20774.1.A2	36
CZT62784.1.A2	36
BAH43766.1.A2	37
O30409.A2	37
ABS74207.1.A1	38
ABS74209.1.A1|CAE11277.1.A1	38
AAB80956.1.A1|O30981.A1	38
AAC36721.1.A1|O87606.A1	38
CAB13715.1.A1|P39847.A1	38
CAA84360.1.A1|P39845.A1	38
ABS74206.1.A2	38
CAA84363.1.A2|P94459.A2	38
AAB80955.2.A2|O30980.A2	38
QDX19369.1.A1	39
AEP18655.1.A1	40
BAV56271.1.A1	40
QWM97320.1.A1	40
AAG05812.1.A1|Q9I157.A1	41
AAY93445.1.A2	41
Q9L6D0.A1	41
AEU11006.1.A1	42
Q9K5M2.A1|Q9K5M2.A3	42
AAO23333.1.A3	42
AAZ03550.1.A1	42
CZT62794.1.A2	42
WP_047197779.1.A3	43
QDA77045.1.A1	44
WP_013428774.1.A3	45
QWP75305.1.A4	46
QWP75305.1.A5	46
AEH59100.1.A6	46
PHM49485.1.A2	47
KPN90369.1.A3	48
AAY37647.1.A8	48
AF047828.1.A8|O85168.A8	48
AXA91301.1.A2	49
AXA91302.1.A5	49
QKM21619.1.A3	50
NHN68324.1.A3	50
AJF34463.1.A4	50
WP_047197778.1.A2	50
BAH22762.1.A1	51
AAY93356.2.A1	51
CAJ96472.1.A1	51
WP_006051170.1.A1	51
AAO55667.1.A1|Q884E3.A1	51
AAO55665.1.A1	51
ABX37383.1.A1	51
NAO96320.1.A1	51
CAQ71828.1.A2	51
CAJ96471.1.A1	51
NAO96317.1.A1	51
CAQ71827.1.A1	51
AVI26390.1.A2	52
MBV7329455.1.A1	52
AXN93592.1.A1	52
AXN93605.1.A1	52
AXN93602.1.A2	52
AXN93614.1.A2	52
AXN93602.1.A4	52
AXN93615.1.A1	52
AIW82277.1.A1	52
AXN93575.1.A1|AXN93584.1.A1	52
AIW82284.1.A2	52
AIW82283.1.A2	52
AXN93590.1.A2	52
AXN93581.1.A2	52
AXN93581.1.A4|AXN93590.1.A4	52
WP_012408785.1.A3	52
AAF17280.1.A3	52
Q9RAH2.A3	52
AHB82056.1.A1	52
AHB82069.1.A1	52
CCM44336.1.A4	52
PHM26612.1.A4	52
CCM44336.1.A3	52
PHM26612.1.A3	52
ACG60776.1.A3|B9UJ01.A2	52
AAG02359.1.A3|Q9FB23.A2	52
ABL74940.1.A3	52
ACG60782.1.A1	52
AAG02355.1.A1|Q9FB27.A1|WP_078587912.1.A1	52
ABL74936.1.A1	52
AID65222.1.A1|AID65222.1.A2	53
AID65224.1.A1	53
KFL51887.1.A1	53
B8RG41.A1	53
CAJ76286.1.A1	54
CAE52342.1.A1	55
AKP45396.1.A1	55
AHD05627.1.A1	56
C0JRF0.A1	56
ABQ96384.2.A5	57
A9LJA2.A5	57
ATY37608.1.A1	57
BAH43766.1.A1	57
O30409.A1	57
BAB69700.1.A1|Q93I54.A1	57
