domain	clade
BAE06845.2.A2	0
AZC86156.1.A2	0
ATP76244.1.A1	1
AAO62588.1.A1	2
CAD29798.1.A1|Q8G982.A1	3
QCQ67881.1.A1	3
AQH32486.1.A1	4
CAD29799.1.A1	5
Ga0173608_112053.A3	6
Ga0173608_112187.A4	6
AHD05614.1.A1	7
ctg1_orf20.A2	8
CBJ79718.1.A1	9
WP_234859471.1.A4	10
CAJ45639.1.A1	11
AAZ55900.1.A1	12
CBA63680.1.A1|D2TVG0.A1	13
BAH33409.1.A1	14
ACU36654.1.A1	14
BAV56270.1.A2	15
QWM97319.1.A2	15
BAV56270.1.A7	16
QWM97319.1.A7	16
QWP75305.1.A3	17
AAY37647.1.A5	18
AF047828.1.A5|O85168.A5	18
QUS58938.1.A1	18
SOV25622.1.A2|WP_013184461.1.A2	19
BAW32324.1.A1	20
BAW32334.1.A1	20
AAX16297.1.A2	21
QDG75033.1.A1	22
AAS47562.1.A1	22
AHJ31215.1.A3	23
ATP76246.1.A3	23
OAL11435.1.A1	23
QOE83923.1.A1	23
ABX37382.1.A4	24
ABV79985.1.A1	25
ACZ55945.1.A1	25
AAT09804.1.A2	26
CAE15497.1.A1	27
CAE15497.1.A3	27
AFP87549.1.A1	27
AFP87549.1.A4	27
AFP87549.1.A3	27
AFP87549.1.A5	27
BAH22764.1.A1	28
ABB80392.1.A3	28
AEH59100.1.A2	29
AXA91302.1.A4	29
Q93LR1.A1	30
AAL82383.1.A1|Q8RTG4.A1	31
BAA83994.1.A1|Q9S1A7.A1	32
EOY45602.1.A1	33
ATO51563.1.A5	33
