domain	clade
ALK27915.1.A6	0
ALK27914.1.A2	0
ALK27914.1.A4	0
ALK27915.1.A2	0
ALK27915.1.A4	0
WP_125938384.1.A2	0
WP_125939455.1.A1	0
WP_125939455.1.A2	0
WP_125939456.1.A1	0
WP_125939457.1.A1	0
AZM57022.1.A2	0
AZM58102.1.A1	0
DMA15_34345.A1	0
AAM80536.1.A1|Q8KLL6.A1	1
CAD91211.1.A1|Q7WZ75.A1	1
CAC48362.1.A1|Q939Y9.A1	1
AIE77060.1.A1	1
AIG79240.1.A1	1
CAE53353.1.A1|CAG15012.1.A1|Q70AZ6.A1	1
AEI58867.1.A1	1
AGS77310.1.A1	1
OKA09425.1.A1	1
EME52988.1.A1	1
AYA22333.1.A1|OLZ50886.1.A1	1
OLZ52456.1.A1	1
QYC40290.1.A1	1
CAA11796.1.A1|O52821.A1	1
AHF20585.1.A1	1
AIE77058.1.A1	1
AIG79242.1.A1	1
AHF20583.1.A1	1
AQZ69227.1.A1	1
AAM80538.1.A1|Q8KLL4.A1	1
CAE53351.1.A1|Q70AZ8.A1	1
CAG15010.1.A1	1
CAD91221.1.A1|Q7WZ65.A1	1
QYC40288.1.A1	1
AGS77308.1.A1	1
ATL73036.1.A3	2
