domain	clade
AHI59109.1.A3	0
AHF21228.1.A3	0
WP_129549303.1.A3	0
WP_129549303.1.A1	0
ATY37608.1.A6	0
ATY37609.1.A2	0
AHD05621.1.A3	1
Ga0173608_111498.A7	2
Ga0173608_111989.A1	2
AKL78825.1.A1	3
CAE14766.1.A1	4
BBE36469.1.A1	5
AN0607.4.A2	6
AN0607.4.A1	7
AET13875.1.A1	7
AET13879.1.A1	7
CCA29202.1.A1	8
CDG12865.1.A1	8
CAA82227.1.A7|Q09164.A9|ctg1_orf003.A7	9
ATQ39428.1.A7	9
BBC83957.1.A8	10
AAM78457.1.A2	11
QCC62999.1.A8	12
AN2545.A1|CBF87069.1.A1	13
AMT84997.1.A1	14
QCE20598.1.A1|QKW60383.1.A1	15
CCA29203.1.A3	16
CDG12864.1.A3	16
AAU34202.1.A2|Q643C7.A2	17
QBG38782.1.A1	18
UEF20580.1.A3	19
QKF54438.1.A3	19
WP_054234643.1.A3	20
BAX90000.1.A1	21
CAD92849.1.A2	22
ATL73036.1.A5	23
AHB82058.1.A1	24
AHB82071.1.A1	24
AHB82058.1.A3	24
AHB82071.1.A3	24
AHB82059.1.A1	24
AHB82072.1.A1	24
QDA77045.1.A3	25
QDA77059.1.A4	25
WP_053065269.1.A1	26
WP_019032755.1.A1	26
WP_052165466.1.A1	26
EWM63005.1.A1	26
WP_053065270.1.A1	26
WP_019032753.1.A1	26
AHZ20774.1.A3	27
CZT62784.1.A3	27
AAO23333.1.A2	28
AEU11006.1.A2	28
AAF17280.1.A2|Q9RAH2.A2	28
WP_012408785.1.A2	28
QCP68975.1.A1	28
AZH23792.1.A1	28
AZH23822.1.A1	28
AVR48535.1.A3	29
AXN93615.1.A2	30
AAC44129.1.A1|Q50858.A1	31
QIE07364.1.A1	31
WP_013184463.1.A1	31
SOV25620.1.A1	31
AAX31558.1.A5	32
AHH53507.1.A5	32
AHH53506.1.A5	32
AAZ23077.1.A3	32
AAX31557.1.A5|Q50E74.A5	32
BAX64244.1.A1	32
ALV86867.1.A2	32
QED55422.1.A2	32
CAB38517.1.A2|Q9Z4X5.A2	32
ALV82384.1.A2	32
QBC75021.1.A2	32
QBC75022.1.A4	32
QED55421.1.A1	32
QED55422.1.A4	32
ARU08074.1.A4	32
CAM56770.1.A3	32
CAM56770.1.A5	32
AEG64697.1.A1	32
AEG64697.1.A3	32
AEG64697.1.A5	32
QDJ74275.1.A1	33
QDJ74275.1.A2	33
AEA30272.1.A4	33
AEA30274.1.A1	33
AAZ23075.1.A5|Q45R85.A5	33
AGN74885.1.A1	33
EWS95124.1.A1	33
QBC75023.1.A2	33
QED55421.1.A3	33
ADG27359.1.A2|Q9L8H4.A2	34
AKC91857.1.A1	34
Q81DQ0.A1	35
Q81QP7.A1	35
AAD56240.1.A1|CAB15186.3.A1|P45745.A1	35
ABS75232.1.A1	35
AJW76709.1.A2	36
EFE73313.1.A3	37
ABD65958.1.A5	38
AAZ55900.1.A2	39
AAZ55900.1.A3	39
BAH33409.1.A2	39
CAJ96468.1.A1	39
DAB41479.1.A1	39
WP_016638470.1.A1	40
CAJ34374.1.A2	41
QED55423.1.A1	42
AEH59100.1.A5	43
AEP18656.1.A4	43
BAV56270.1.A4	43
QWM97319.1.A4	43
WP_006051170.1.A5	44
TRX17524.1.A5	44
ABI22132.1.A1	44
AAL33757.1.A1	44
QCE20608.1.A1|QKW60392.1.A1	44
YP_856987.1.A1	44
QXJ21809.1.A2	45
AGN74892.1.A1	46
A4PHN0.A1|BAF50727.1.A1	46
QXJ21807.1.A2	46
ADC79642.1.A1|D3Y1I8.A1	47
AVV61987.1.A1	47
WP_004571779.1.A1	48
QDG75035.1.A1	49
AXA20090.1.A1	49
AXA20091.1.A1	49
ADD82940.1.A1|D4NZD4.A1	49
CAB38084.1.A1|Q9Z5F4.A1	49
WP_044617900.1.A1	49
WP_052830344.1.A1	49
AGS06887.1.A1	49
AAS47564.1.A1	49
P40806.A2	49
ADA69239.2.A1	49
AVR48535.1.A1	49
AAV97877.1.A1	49
ADA82585.1.A1	49
ctg1_6.A1	49
BAP05590.1.A1	49
QIE07362.1.A1	49
MCC5025983.1.A1|MCC5026027.1.A1	50
Q8P449.A1	50
Q8PFQ6.A1	50
BBA21071.1.A1	50
DAC76731.1.A1	50
B1GYG6.A1|CAQ18839.1.A1	50
CCA89326.1.A1	50
BBA21068.1.A1	50
DAC76734.1.A1	50
DAC82026.1.A1	50
ARR97039.1.A1	50
CAJ76290.1.A1	51
WP_010973248.1.A1	52
B0B504.A1|CAN89633.1.A1	53
CCJ67647.1.A3	53
WP_047197779.1.A4	54
ABX37383.1.A3	54
NAO96318.1.A2	54
AAX16325.1.A3	54
AIR74926.1.A1|CBD77746.1.A1	54
AIR74925.1.A1|CBD77749.1.A1	54
CAD17793.1.A3	54
AHZ34240.1.A2	54
AHZ34241.1.A3	54
CAD89778.1.A1	55
AAF19815.1.A1	55
CAD92852.1.A4	56
ACC81023.1.A2	57
KFL51886.1.A2	58
KPN93065.1.A3	59
